Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,3643.41
1,810.50,401.00,3815.32
2,810.57,402.00,4032.33
3,810.64,403.00,4295.90
4,810.70,404.00,4681.59
5,810.77,405.00,5105.68
6,810.83,406.00,5505.40
7,810.90,407.00,5989.74
8,810.96,408.00,6499.44
9,811.03,409.00,6863.14
10,811.10,410.00,7301.45
11,811.16,411.00,7696.82
12,811.23,412.00,7988.19
13,811.29,413.00,8168.09
14,811.36,414.00,8252.90
15,811.42,415.00,8256.11
16,811.49,416.00,8239.94
17,811.56,417.00,7987.65
18,811.62,418.00,7816.85
19,811.69,419.00,7499.39
20,811.75,420.00,7087.91
21,811.82,421.00,6638.72
22,811.89,422.00,6209.35
23,811.95,423.00,5801.84
24,812.02,424.00,5365.61
25,812.08,425.00,5106.18
26,812.15,426.00,4735.22
27,812.22,427.00,4466.76
28,812.28,428.00,4187.33
29,812.35,429.00,4103.39
30,812.41,430.00,3843.29
31,812.48,431.00,3850.30
32,812.55,432.00,3663.37
33,812.61,433.00,3578.97
34,812.68,434.00,3433.38
35,812.74,435.00,3456.08
36,812.81,436.00,3256.89
37,812.88,437.00,3184.12
38,812.94,438.00,3156.24
39,813.01,439.00,3001.17
40,813.07,440.00,3047.07
41,813.14,441.00,2882.84
42,813.21,442.00,2907.56
43,813.27,443.00,2828.53
44,813.34,444.00,2772.40
45,813.40,445.00,2738.11
46,813.47,446.00,2698.20
47,813.54,447.00,2665.10
48,813.60,448.00,2666.43
49,813.67,449.00,2676.11
50,813.74,450.00,2641.29
51,813.80,451.00,2669.43
52,813.87,452.00,2678.80
53,813.93,453.00,2755.66
54,814.00,454.00,2832.09
55,814.07,455.00,3047.25
56,814.13,456.00,3177.69
57,814.20,457.00,3270.29
58,814.27,458.00,3471.43
59,814.33,459.00,3719.78
60,814.40,460.00,3826.92
61,814.46,461.00,4158.28
62,814.53,462.00,4461.31
63,814.60,463.00,4936.57
64,814.66,464.00,5303.21
65,814.73,465.00,5872.61
66,814.80,466.00,6279.90
67,814.86,467.00,6930.76
68,814.93,468.00,7457.72
69,815.00,469.00,8059.81
70,815.06,470.00,8744.05
71,815.13,471.00,9484.29
72,815.20,472.00,10126.82
73,815.26,473.00,10840.67
74,815.33,474.00,11494.04
75,815.39,475.00,12076.78
76,815.46,476.00,12630.90
77,815.53,477.00,12975.51
78,815.59,478.00,13419.36
79,815.66,479.00,13574.12
80,815.73,480.00,13811.34
81,815.79,481.00,13821.62
82,815.86,482.00,13785.85
83,815.93,483.00,13803.99
84,815.99,484.00,13570.08
85,816.06,485.00,13477.91
86,816.13,486.00,13150.36
87,816.19,487.00,12966.00
88,816.26,488.00,12498.52
89,816.33,489.00,12304.41
90,816.39,490.00,11954.36
91,816.46,491.00,11699.38
92,816.53,492.00,11322.20
93,816.59,493.00,10834.02
94,816.66,494.00,10356.21
95,816.73,495.00,9721.07
96,816.79,496.00,9169.31
97,816.86,497.00,8763.89
98,816.93,498.00,8230.09
99,816.99,499.00,7647.86
100,817.06,500.00,7091.08
101,817.13,501.00,6570.98
102,817.19,502.00,5991.43
103,817.26,503.00,5489.15
104,817.33,504.00,4949.43
105,817.39,505.00,4602.82
106,817.46,506.00,4146.53
107,817.53,507.00,3898.84
108,817.59,508.00,3415.77
109,817.66,509.00,3279.59
110,817.73,510.00,3033.00
111,817.80,511.00,2859.78
112,817.86,512.00,2688.49
113,817.93,513.00,2510.69
114,818.00,514.00,2254.08
115,818.06,515.00,2183.67
116,818.13,516.00,2038.32
117,818.20,517.00,1996.06
118,818.26,518.00,1856.56
119,818.33,519.00,1731.82
120,818.40,520.00,1689.63
121,818.46,521.00,1573.61
122,818.53,522.00,1533.37
123,818.60,523.00,1465.88
124,818.67,524.00,1490.41
125,818.73,525.00,1478.97
126,818.80,526.00,1477.04
127,818.87,527.00,1478.46
128,818.93,528.00,1522.23
129,819.00,529.00,1484.66
130,819.07,530.00,1571.96
131,819.14,531.00,1569.74
132,819.20,532.00,1687.37
133,819.27,533.00,1717.10
134,819.34,534.00,1810.85
135,819.40,535.00,1806.87
136,819.47,536.00,1999.70
137,819.54,537.00,2000.08
138,819.60,538.00,2164.63
139,819.67,539.00,2205.40
140,819.74,540.00,2448.30
141,819.81,541.00,2507.53
142,819.87,542.00,2657.61
143,819.94,543.00,2844.33
144,820.01,544.00,2929.06
145,820.08,545.00,3121.69
146,820.14,546.00,3260.36
147,820.21,547.00,3437.00
148,820.28,548.00,3495.68
149,820.34,549.00,3485.80
150,820.41,550.00,3437.36
151,820.48,551.00,3333.80
152,820.55,552.00,3152.99
153,820.61,553.00,3016.76
154,820.68,554.00,2736.98
155,820.75,555.00,2688.48
156,820.82,556.00,2399.64
157,820.88,557.00,2271.13
158,820.95,558.00,2059.61
159,821.02,559.00,1904.38
160,821.09,560.00,1635.93
161,821.15,561.00,1636.61
162,821.22,562.00,1443.09
163,821.29,563.00,1370.82
164,821.36,564.00,1266.78
165,821.42,565.00,1184.81
166,821.49,566.00,1142.97
167,821.56,567.00,1098.43
168,821.63,568.00,1069.98
169,821.69,569.00,994.45
170,821.76,570.00,933.45
171,821.83,571.00,779.42
172,821.90,572.00,782.21
173,821.96,573.00,621.06
174,822.03,574.00,545.75
175,822.10,575.00,431.54
176,822.17,576.00,341.44
177,822.23,577.00,283.46
178,822.30,578.00,240.81
179,822.37,579.00,195.63
180,822.44,580.00,168.63
181,822.50,581.00,129.55
182,822.57,582.00,122.25
183,822.64,583.00,96.87
184,822.71,584.00,98.80
185,822.77,585.00,65.89
186,822.84,586.00,78.17
187,822.91,587.00,86.01
188,822.98,588.00,84.51
189,823.05,589.00,72.54
190,823.11,590.00,94.07
191,823.18,591.00,98.24
192,823.25,592.00,111.38
193,823.32,593.00,98.78
194,823.38,594.00,97.12
195,823.45,595.00,130.66
196,823.52,596.00,109.31
197,823.59,597.00,125.27
198,823.66,598.00,111.76
199,823.72,599.00,114.53
200,823.79,600.00,131.06
201,823.86,601.00,116.36
202,823.93,602.00,123.45
203,823.99,603.00,124.11
204,824.06,604.00,118.38
205,824.13,605.00,93.49
206,824.20,606.00,92.19
207,824.27,607.00,99.15
208,824.33,608.00,103.99
209,824.40,609.00,74.25
210,824.47,610.00,65.78
211,824.54,611.00,90.70
212,824.61,612.00,63.20
213,824.67,613.00,68.20
214,824.74,614.00,79.92
215,824.81,615.00,51.78
216,824.88,616.00,90.60
217,824.95,617.00,87.92
218,825.01,618.00,109.52
219,825.08,619.00,112.14
220,825.15,620.00,171.13
221,825.22,621.00,172.43
222,825.29,622.00,210.10
223,825.35,623.00,253.66
224,825.42,624.00,261.51
225,825.49,625.00,301.96
226,825.56,626.00,316.94
227,825.63,627.00,343.50
228,825.70,628.00,379.99
229,825.76,629.00,375.01
230,825.83,630.00,413.54
231,825.90,631.00,426.85
232,825.97,632.00,505.26
233,826.04,633.00,537.29
234,826.10,634.00,606.74
235,826.17,635.00,681.56
236,826.24,636.00,771.35
237,826.31,637.00,861.93
238,826.38,638.00,932.12
239,826.45,639.00,1031.46
240,826.51,640.00,1078.80
241,826.58,641.00,1213.61
242,826.65,642.00,1340.45
243,826.72,643.00,1421.49
244,826.79,644.00,1633.26
245,826.86,645.00,1786.58
246,826.92,646.00,1846.42
247,826.99,647.00,2033.39
248,827.06,648.00,2124.91
249,827.13,649.00,2178.04
250,827.20,650.00,2279.88
251,827.27,651.00,2417.38
252,827.34,652.00,2432.96
253,827.40,653.00,2514.36
254,827.47,654.00,2583.21
255,827.54,655.00,2569.48
256,827.61,656.00,2675.56
257,827.68,657.00,2781.07
258,827.75,658.00,2862.59
259,827.81,659.00,2921.05
260,827.88,660.00,3114.30
261,827.95,661.00,3194.29
262,828.02,662.00,3388.56
263,828.09,663.00,3623.32
