wavenumber,intensity
405.4,450.1000
406.7,564.0200
407.9,480.2600
409.2,504.7000
410.5,566.4000
411.7,633.8400
413.0,610.1000
414.3,556.9500
415.5,657.6800
416.8,710.9400
418.0,700.8100
419.3,808.3800
420.6,742.6900
421.8,885.9200
423.1,821.6200
424.3,963.4000
425.6,877.5400
426.9,1010.2500
428.1,1010.4700
429.4,998.0000
430.6,974.1500
431.9,1044.3500
433.1,1047.2300
434.4,1139.5600
435.7,1056.9000
436.9,1211.8700
438.2,1157.2000
439.4,1176.6300
440.7,1172.0600
442.0,1185.8500
443.2,1259.6100
444.5,1224.8400
445.7,1208.4200
447.0,1249.3900
448.2,1263.2700
449.5,1207.9800
450.8,1225.7200
452.0,1203.9100
453.3,1275.6900
454.5,1302.2500
455.8,1326.9300
457.0,1342.2200
458.3,1375.0500
459.5,1285.8800
460.8,1239.3800
462.0,1349.1900
463.3,1312.1500
464.6,1322.6300
465.8,1305.0600
467.1,1319.9700
468.3,1290.0500
469.6,1278.2500
470.8,1263.4000
472.1,1331.9100
473.3,1271.7700
474.6,1357.0200
475.8,1236.2200
477.1,1259.4500
478.3,1390.5000
479.6,1375.2900
480.8,1284.6500
482.1,1511.4000
483.3,1538.9000
484.6,1572.5800
485.8,1650.6900
487.1,1669.5300
488.3,1710.5700
489.6,1682.6000
490.8,1767.9800
492.1,1738.8600
493.3,1624.9400
494.6,1691.2700
495.8,1647.0000
497.1,1565.3800
498.3,1402.9400
499.6,1447.3200
500.8,1214.7700
502.0,1149.6900
503.3,1089.6200
504.5,937.9400
505.8,839.6500
507.0,820.9100
508.3,722.2700
509.5,563.4000
510.8,568.1400
512.0,383.4200
513.2,474.1900
514.5,323.9100
515.7,243.1700
517.0,242.8000
518.2,161.0600
519.5,79.4600
520.7,79.0500
522.0,49.3000
523.2,31.1900
524.4,23.2100
525.7,0.0000
526.9,53.5100
528.2,0.0000
529.4,0.0000
530.6,47.3000
531.9,37.9800
533.1,0.0000
534.4,0.0000
535.6,0.0000
536.9,23.1300
538.1,11.7200
539.3,0.0000
540.6,0.0000
541.8,8.6900
543.1,0.0000
544.3,40.5600
545.5,18.5600
546.8,9.7900
548.0,67.5600
549.2,36.7000
550.5,7.1000
551.7,0.0000
553.0,18.9300
554.2,0.0000
555.4,91.4200
556.7,0.0000
557.9,25.3600
559.1,46.8800
560.4,21.3600
561.6,0.0000
562.9,7.2900
564.1,5.6200
565.3,26.2600
566.6,45.7100
567.8,0.0000
569.0,32.0700
570.3,71.3700
571.5,78.6600
572.7,0.0000
574.0,1.7300
575.2,9.4100
576.4,34.1400
577.7,0.0000
578.9,63.1100
580.1,40.8000
581.4,33.2900
582.6,64.7400
583.8,51.9700
585.1,114.0600
586.3,125.4600
587.5,142.7600
588.8,231.2500
590.0,127.9800
591.2,166.4800
592.4,111.5600
593.7,215.2400
594.9,223.1800
596.1,204.7500
597.4,254.9400
598.6,299.2500
599.8,321.2800
601.0,322.8300
602.3,375.8700
603.5,245.8800
604.7,334.0200
606.0,369.5200
607.2,322.7000
608.4,302.7900
609.6,380.8900
610.9,330.7000
612.1,232.2300
613.3,265.4800
614.5,308.6200
615.8,341.2600
617.0,279.7000
618.2,186.2500
619.4,159.1400
620.7,209.3000
621.9,180.5100
623.1,100.1400
624.3,164.8200
625.6,112.9700
626.8,101.1700
628.0,101.5500
629.2,53.3500
630.5,71.1500
631.7,56.0000
632.9,83.0700
634.1,95.1200
635.3,49.4500
636.6,0.0000
637.8,48.1000
639.0,0.0000
640.2,0.0000
641.4,4.9700
642.7,66.2600
643.9,9.5500
645.1,22.9800
646.3,15.7200
647.5,0.0000
648.8,27.5700
650.0,17.3800
651.2,33.0400
652.4,15.4300
653.6,56.3300
654.9,15.8500
656.1,47.5800
657.3,71.8700
658.5,38.3400
659.7,0.0000
660.9,0.0000
662.1,82.8400
663.4,107.6000
664.6,63.2700
665.8,49.2400
667.0,41.5100
668.2,62.3200
669.4,33.5400
670.7,32.7100
671.9,42.7300
673.1,39.0800
674.3,26.3500
675.5,40.9500
676.7,56.6900
677.9,76.9800
679.1,66.5900
680.4,51.1100
681.6,94.1300
682.8,53.7200
684.0,1.4500
685.2,34.9100
686.4,99.5300
687.6,97.2700
688.9,75.2100
690.1,78.6500
691.3,82.1000
692.5,65.7800
693.7,107.7100
694.9,48.4700
696.1,47.4700
697.3,69.0700
698.5,29.7200
699.7,16.3600
700.9,0.0000
702.1,73.0200
703.4,60.7000
704.6,0.0000
705.8,16.5100
707.0,4.3400
708.2,60.8500
709.4,0.0000
710.6,40.0100
711.8,36.3800
713.0,0.0000
714.2,86.7700
715.4,84.6100
716.6,56.0900
717.8,0.1200
719.0,36.1600
720.2,103.0200
721.4,88.0400
722.6,72.5200
723.8,11.6800
