wavenumber,intensity
405.4,55.9000
406.7,69.9000
407.9,80.6800
409.2,72.7900
410.5,134.9600
411.7,134.1200
413.0,171.7800
414.3,186.9600
415.5,220.7000
416.8,294.7300
418.0,328.3600
419.3,389.4300
420.6,449.7900
421.8,520.9200
423.1,606.6400
424.3,683.3100
425.6,722.2800
426.9,763.1200
428.1,805.8200
429.4,823.0200
430.6,837.0300
431.9,806.5800
433.1,816.7800
434.4,814.9300
435.7,780.1300
436.9,755.5100
438.2,763.2100
439.4,763.9500
440.7,730.5600
442.0,728.1700
443.2,728.9400
444.5,686.8300
445.7,678.1800
447.0,633.0200
448.2,621.9100
449.5,551.0700
450.8,522.4400
452.0,513.3300
453.3,491.6800
454.5,474.4500
455.8,440.9500
457.0,399.3500
458.3,362.2000
459.5,347.6200
460.8,320.5700
462.0,316.0400
463.3,298.4200
464.6,277.0700
465.8,250.1500
467.1,254.4300
468.3,225.6900
469.6,218.1600
470.8,230.5500
472.1,223.0300
473.3,244.1100
474.6,239.7000
475.8,281.2200
477.1,317.7300
478.3,354.1900
479.6,409.1900
480.8,521.0500
482.1,574.0300
483.3,682.5600
484.6,801.4600
485.8,998.6100
487.1,1144.9300
488.3,1275.0400
489.6,1339.0700
490.8,1331.6000
492.1,1336.4600
493.3,1258.9100
494.6,1167.9500
495.8,1100.4400
497.1,991.2900
498.3,865.1000
499.6,789.3400
500.8,720.4100
502.0,630.7600
503.3,532.6600
504.5,478.0900
505.8,383.2700
507.0,336.8100
508.3,295.9100
509.5,256.8900
510.8,207.5600
512.0,183.2800
513.2,144.4100
514.5,139.0600
515.7,116.0900
517.0,86.4600
518.2,79.3500
519.5,54.0300
520.7,59.0900
522.0,42.9200
523.2,36.4700
524.4,37.3000
525.7,30.8600
526.9,33.5200
528.2,17.4300
529.4,1.3600
530.6,16.7900
531.9,0.2100
533.1,10.2100
534.4,5.7300
535.6,6.0800
536.9,0.0000
538.1,15.4000
539.3,0.9000
540.6,10.5100
541.8,2.6800
543.1,3.8800
544.3,0.0000
545.5,0.6200
546.8,0.0000
548.0,6.4000
549.2,1.6300
550.5,0.0000
551.7,2.6600
553.0,6.0600
554.2,0.0000
555.4,1.1800
556.7,3.0700
557.9,6.1500
559.1,6.8500
560.4,5.7600
561.6,0.0000
562.9,0.0000
564.1,7.3300
565.3,4.0300
566.6,0.0000
567.8,0.0000
569.0,6.7800
570.3,0.0000
571.5,0.0000
572.7,4.5400
574.0,2.5800
575.2,1.2200
576.4,7.5500
577.7,13.2800
578.9,9.5500
580.1,0.0000
581.4,6.7400
582.6,0.0000
583.8,1.8300
585.1,0.0000
586.3,5.4700
587.5,11.9700
588.8,9.6500
590.0,6.7300
591.2,8.5200
592.4,5.0300
593.7,13.8600
594.9,10.9500
596.1,7.4600
597.4,16.2800
598.6,9.8600
599.8,22.1800
601.0,19.2800
602.3,11.7000
603.5,18.7400
604.7,4.7400
606.0,18.2100
607.2,14.1500
