Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,6797.39
1,810.50,401.00,6380.78
2,810.57,402.00,5716.33
3,810.64,403.00,5252.67
4,810.70,404.00,4867.61
5,810.77,405.00,4080.20
6,810.83,406.00,3547.53
7,810.90,407.00,3252.02
8,810.96,408.00,2838.38
9,811.03,409.00,2576.77
10,811.10,410.00,2320.63
11,811.16,411.00,2156.05
12,811.23,412.00,2066.86
13,811.29,413.00,1977.83
14,811.36,414.00,1762.47
15,811.42,415.00,1794.50
16,811.49,416.00,1881.79
17,811.56,417.00,1837.18
18,811.62,418.00,1912.95
19,811.69,419.00,1997.28
20,811.75,420.00,2074.14
21,811.82,421.00,2224.37
22,811.89,422.00,2062.91
23,811.95,423.00,2211.32
24,812.02,424.00,2237.01
25,812.08,425.00,2138.17
26,812.15,426.00,1955.83
27,812.22,427.00,1899.91
28,812.28,428.00,1955.43
29,812.35,429.00,1823.07
30,812.41,430.00,1760.74
31,812.48,431.00,1820.28
32,812.55,432.00,1776.00
33,812.61,433.00,1853.41
34,812.68,434.00,1769.91
35,812.74,435.00,1896.59
36,812.81,436.00,1895.06
37,812.88,437.00,2150.44
38,812.94,438.00,2063.69
39,813.01,439.00,2295.39
40,813.07,440.00,2453.43
41,813.14,441.00,2683.85
42,813.21,442.00,2730.56
43,813.27,443.00,3148.00
44,813.34,444.00,3339.49
45,813.40,445.00,3762.58
46,813.47,446.00,3862.14
47,813.54,447.00,4362.36
48,813.60,448.00,4495.23
49,813.67,449.00,4808.60
50,813.74,450.00,4755.37
51,813.80,451.00,4953.63
52,813.87,452.00,5186.64
53,813.93,453.00,5242.72
54,814.00,454.00,5195.27
55,814.07,455.00,5427.33
56,814.13,456.00,5561.94
57,814.20,457.00,5874.38
58,814.27,458.00,5985.11
59,814.33,459.00,6393.54
60,814.40,460.00,6896.83
61,814.46,461.00,7369.40
62,814.53,462.00,7917.43
63,814.60,463.00,8386.25
64,814.66,464.00,9183.34
65,814.73,465.00,10083.11
66,814.80,466.00,11053.22
67,814.86,467.00,12159.99
68,814.93,468.00,13139.54
69,815.00,469.00,14343.25
70,815.06,470.00,15430.63
71,815.13,471.00,16360.20
72,815.20,472.00,17135.85
73,815.26,473.00,17658.74
74,815.33,474.00,17813.28
75,815.39,475.00,17482.07
76,815.46,476.00,16913.45
77,815.53,477.00,15976.20
78,815.59,478.00,14926.09
79,815.66,479.00,13560.58
80,815.73,480.00,12057.27
81,815.79,481.00,10841.42
82,815.86,482.00,9412.79
83,815.93,483.00,8122.96
84,815.99,484.00,6920.88
85,816.06,485.00,5947.52
86,816.13,486.00,5080.90
87,816.19,487.00,4356.85
88,816.26,488.00,3674.95
89,816.33,489.00,3347.27
90,816.39,490.00,3036.74
91,816.46,491.00,2679.37
92,816.53,492.00,2484.70
93,816.59,493.00,2422.67
94,816.66,494.00,2425.96
95,816.73,495.00,2358.90
96,816.79,496.00,2125.73
97,816.86,497.00,2107.64
98,816.93,498.00,2152.50
99,816.99,499.00,2068.25
100,817.06,500.00,1958.67
101,817.13,501.00,2060.92
102,817.19,502.00,2006.69
103,817.26,503.00,2001.55
104,817.33,504.00,1947.19
105,817.39,505.00,1777.90
106,817.46,506.00,1933.14
107,817.53,507.00,1686.00
108,817.59,508.00,1641.81
109,817.66,509.00,1640.64
110,817.73,510.00,1643.25
111,817.80,511.00,1578.11
112,817.86,512.00,1503.25
113,817.93,513.00,1526.57
114,818.00,514.00,1503.13
115,818.06,515.00,1424.92
116,818.13,516.00,1479.83
117,818.20,517.00,1325.40
118,818.26,518.00,1447.87
119,818.33,519.00,1321.91
120,818.40,520.00,1237.09
121,818.46,521.00,1240.84
122,818.53,522.00,1073.41
123,818.60,523.00,1034.35
124,818.67,524.00,962.65
125,818.73,525.00,707.08
126,818.80,526.00,615.84
127,818.87,527.00,509.72
128,818.93,528.00,463.52
129,819.00,529.00,455.48
130,819.07,530.00,407.13
131,819.14,531.00,467.93
132,819.20,532.00,474.01
133,819.27,533.00,500.83
134,819.34,534.00,505.91
135,819.40,535.00,525.08
136,819.47,536.00,644.05
137,819.54,537.00,695.17
138,819.60,538.00,772.01
139,819.67,539.00,923.71
140,819.74,540.00,1003.24
141,819.81,541.00,1276.78
142,819.87,542.00,1512.75
143,819.94,543.00,1735.28
144,820.01,544.00,2171.94
145,820.08,545.00,2587.36
146,820.14,546.00,2906.14
147,820.21,547.00,3264.52
148,820.28,548.00,3492.14
149,820.34,549.00,3962.26
150,820.41,550.00,4258.93
151,820.48,551.00,4432.09
152,820.55,552.00,4556.22
153,820.61,553.00,4609.79
154,820.68,554.00,4383.21
155,820.75,555.00,4319.37
156,820.82,556.00,3850.18
157,820.88,557.00,3666.91
158,820.95,558.00,3255.18
159,821.02,559.00,3022.77
160,821.09,560.00,2527.77
161,821.15,561.00,2357.05
162,821.22,562.00,2038.12
163,821.29,563.00,1816.99
164,821.36,564.00,1616.90
165,821.42,565.00,1456.48
166,821.49,566.00,1280.70
167,821.56,567.00,1203.43
168,821.63,568.00,1118.27
169,821.69,569.00,1006.78
170,821.76,570.00,855.56
171,821.83,571.00,837.49
172,821.90,572.00,797.90
173,821.96,573.00,657.98
174,822.03,574.00,594.78
175,822.10,575.00,677.60
176,822.17,576.00,533.28
177,822.23,577.00,503.98
178,822.30,578.00,446.78
179,822.37,579.00,403.04
180,822.44,580.00,354.67
181,822.50,581.00,285.94
182,822.57,582.00,261.89
183,822.64,583.00,250.17
184,822.71,584.00,193.86
185,822.77,585.00,196.92
186,822.84,586.00,227.22
187,822.91,587.00,166.73
188,822.98,588.00,193.11
189,823.05,589.00,155.99
190,823.11,590.00,178.83
191,823.18,591.00,162.45
192,823.25,592.00,154.39
193,823.32,593.00,156.30
194,823.38,594.00,181.86
195,823.45,595.00,201.35
196,823.52,596.00,213.78
197,823.59,597.00,228.24
198,823.66,598.00,303.36
199,823.72,599.00,325.62
200,823.79,600.00,433.90
201,823.86,601.00,563.23
202,823.93,602.00,699.59
203,823.99,603.00,862.31
204,824.06,604.00,969.01
205,824.13,605.00,1202.07
206,824.20,606.00,1390.68
207,824.27,607.00,1373.71
208,824.33,608.00,1614.23
209,824.40,609.00,1740.96
210,824.47,610.00,1795.45
211,824.54,611.00,1860.00
212,824.61,612.00,1901.25
213,824.67,613.00,1992.07
214,824.74,614.00,1952.44
215,824.81,615.00,1915.24
216,824.88,616.00,2020.42
217,824.95,617.00,1965.58
218,825.01,618.00,2123.14
219,825.08,619.00,2176.28
220,825.15,620.00,2352.45
221,825.22,621.00,2663.72
222,825.29,622.00,2662.20
223,825.35,623.00,2809.82
224,825.42,624.00,3002.11
225,825.49,625.00,3294.89
226,825.56,626.00,3444.58
227,825.63,627.00,3678.79
228,825.70,628.00,3869.06
229,825.76,629.00,4162.10
230,825.83,630.00,4337.54
231,825.90,631.00,4432.62
232,825.97,632.00,4722.60
233,826.04,633.00,4818.65
234,826.10,634.00,4888.73
235,826.17,635.00,4996.11
236,826.24,636.00,5029.41
237,826.31,637.00,5005.29
238,826.38,638.00,4863.73
239,826.45,639.00,4730.22
240,826.51,640.00,4590.52
241,826.58,641.00,4380.05
242,826.65,642.00,4223.64
243,826.72,643.00,4115.75
244,826.79,644.00,3838.40
245,826.86,645.00,3827.45
246,826.92,646.00,3533.74
247,826.99,647.00,3512.12
248,827.06,648.00,3204.39
249,827.13,649.00,3196.97
250,827.20,650.00,3001.86
251,827.27,651.00,3013.93
252,827.34,652.00,2878.33
253,827.40,653.00,3033.56
254,827.47,654.00,2982.74
255,827.54,655.00,2965.06
256,827.61,656.00,2966.90
257,827.68,657.00,2971.63
258,827.75,658.00,2942.09
259,827.81,659.00,2819.97
260,827.88,660.00,2749.20
261,827.95,661.00,2762.81
262,828.02,662.00,2648.85
263,828.09,663.00,2609.68
264,828.16,664.00,2617.85
265,828.23,665.00,2535.57
266,828.29,666.00,2407.75
267,828.36,667.00,2385.81
268,828.43,668.00,2252.67
269,828.50,669.00,2176.94
270,828.57,670.00,2067.12
271,828.64,671.00,1966.81
272,828.71,672.00,1910.24
273,828.78,673.00,1829.80
274,828.84,674.00,1774.81
275,828.91,675.00,1810.72
276,828.98,676.00,1735.56
277,829.05,677.00,1764.24
278,829.12,678.00,1771.17
279,829.19,679.00,1770.10
280,829.26,680.00,1844.80
281,829.32,681.00,1884.91
282,829.39,682.00,2047.69
283,829.46,683.00,2192.41
284,829.53,684.00,2185.69
285,829.60,685.00,2405.25
286,829.67,686.00,2415.11
287,829.74,687.00,2445.71
288,829.81,688.00,2521.16
289,829.88,689.00,2436.00
290,829.94,690.00,2527.76
291,830.01,691.00,2574.25
292,830.08,692.00,2374.33
293,830.15,693.00,2481.60
294,830.22,694.00,2322.34
295,830.29,695.00,2216.90
296,830.36,696.00,2081.52
297,830.43,697.00,1922.70
298,830.50,698.00,1931.63
299,830.56,699.00,1817.06
300,830.63,700.00,1813.24
301,830.70,701.00,1744.81
302,830.77,702.00,1849.77
303,830.84,703.00,1762.99
304,830.91,704.00,1758.89
305,830.98,705.00,1717.51
306,831.05,706.00,1693.81
307,831.12,707.00,1696.09
308,831.19,708.00,1738.70
309,831.26,709.00,1699.08
310,831.32,710.00,1755.43
311,831.39,711.00,1760.51
312,831.46,712.00,1709.04
313,831.53,713.00,1601.98
314,831.60,714.00,1445.52
315,831.67,715.00,1360.37
316,831.74,716.00,1400.79
317,831.81,717.00,1062.67
318,831.88,718.00,1204.08
319,831.95,719.00,988.03
320,832.02,720.00,1055.43
321,832.09,721.00,993.57
322,832.15,722.00,955.55
323,832.22,723.00,877.48
324,832.29,724.00,851.97
325,832.36,725.00,733.64
326,832.43,726.00,737.53
327,832.50,727.00,620.33
328,832.57,728.00,643.15
329,832.64,729.00,621.45
330,832.71,730.00,690.91
331,832.78,731.00,577.67
332,832.85,732.00,592.42
333,832.92,733.00,554.95
334,832.99,734.00,603.30
335,833.06,735.00,477.90
336,833.13,736.00,530.34
337,833.19,737.00,536.71
338,833.26,738.00,693.05
339,833.33,739.00,692.21
340,833.40,740.00,773.00
341,833.47,741.00,883.88
342,833.54,742.00,821.31
343,833.61,743.00,880.93
344,833.68,744.00,835.90
345,833.75,745.00,796.69
346,833.82,746.00,886.66
347,833.89,747.00,816.66
348,833.96,748.00,988.04
349,834.03,749.00,1089.31
350,834.10,750.00,1284.56
351,834.17,751.00,1450.12
352,834.24,752.00,1610.73
353,834.31,753.00,1655.80
354,834.38,754.00,1749.33
355,834.45,755.00,1748.38
356,834.52,756.00,1985.12
357,834.59,757.00,1879.62
358,834.65,758.00,2213.78
359,834.72,759.00,2124.85
360,834.79,760.00,2465.44
361,834.86,761.00,2568.26
362,834.93,762.00,2494.08
363,835.00,763.00,2605.66
364,835.07,764.00,2364.12
365,835.14,765.00,2332.99
366,835.21,766.00,2258.49
367,835.28,767.00,2044.03
368,835.35,768.00,2072.83
369,835.42,769.00,2170.49
370,835.49,770.00,2391.02
371,835.56,771.00,2451.84
372,835.63,772.00,2686.79
373,835.70,773.00,3038.43
374,835.77,774.00,3259.94
375,835.84,775.00,3564.45
376,835.91,776.00,4102.22
377,835.98,777.00,4550.47
378,836.05,778.00,4964.23
379,836.12,779.00,5443.02
380,836.19,780.00,5564.58
381,836.26,781.00,5939.39
382,836.33,782.00,5862.13
383,836.40,783.00,5792.03
384,836.47,784.00,5438.39
385,836.54,785.00,4954.56
386,836.61,786.00,4592.51
387,836.68,787.00,4005.34
388,836.75,788.00,3688.09
389,836.82,789.00,3268.31
390,836.89,790.00,2828.35
391,836.96,791.00,2648.60
392,837.03,792.00,2348.86
393,837.10,793.00,2153.87
394,837.17,794.00,2028.78
395,837.24,795.00,1991.68
396,837.31,796.00,1933.97
397,837.38,797.00,1902.26
398,837.45,798.00,1841.50
399,837.52,799.00,1805.48
400,837.59,800.00,1801.10
401,837.66,801.00,1767.58
402,837.73,802.00,1757.94
403,837.80,803.00,1680.88
404,837.87,804.00,1707.54
405,837.94,805.00,1632.72
406,838.01,806.00,1455.63
407,838.08,807.00,1473.43
408,838.15,808.00,1224.55
409,838.22,809.00,1137.45
410,838.29,810.00,860.28
411,838.36,811.00,799.58
412,838.43,812.00,598.47
413,838.50,813.00,560.87
414,838.57,814.00,449.49
415,838.64,815.00,432.38
416,838.72,816.00,375.11
417,838.79,817.00,376.45
418,838.86,818.00,288.69
419,838.93,819.00,379.92
420,839.00,820.00,331.92
421,839.07,821.00,344.26
422,839.14,822.00,345.77
423,839.21,823.00,378.35
424,839.28,824.00,368.37
425,839.35,825.00,482.12
426,839.42,826.00,517.40
427,839.49,827.00,529.65
428,839.56,828.00,549.64
429,839.63,829.00,634.11
430,839.70,830.00,606.18
431,839.77,831.00,713.28
432,839.84,832.00,708.41
433,839.91,833.00,791.19
434,839.98,834.00,930.70
435,840.05,835.00,1073.39
436,840.12,836.00,1287.16
437,840.19,837.00,1600.91
438,840.27,838.00,1963.08
439,840.34,839.00,2582.71
440,840.41,840.00,3195.38
441,840.48,841.00,4181.74
442,840.55,842.00,5441.93
443,840.62,843.00,7092.28
444,840.69,844.00,8725.86
445,840.76,845.00,10698.63
446,840.83,846.00,12586.00
447,840.90,847.00,14044.15
448,840.97,848.00,15399.05
449,841.04,849.00,15519.81
450,841.11,850.00,15667.35
451,841.18,851.00,15150.07
452,841.26,852.00,14019.27
453,841.33,853.00,12522.32
454,841.40,854.00,11006.10
455,841.47,855.00,9620.48
456,841.54,856.00,8583.56
457,841.61,857.00,7403.55
458,841.68,858.00,6647.27
459,841.75,859.00,5982.87
460,841.82,860.00,5680.72
461,841.89,861.00,5352.48
462,841.96,862.00,5383.68
463,842.03,863.00,5370.95
464,842.11,864.00,5797.42
465,842.18,865.00,6221.58
466,842.25,866.00,6898.60
467,842.32,867.00,7656.01
468,842.39,868.00,8670.15
469,842.46,869.00,9670.48
470,842.53,870.00,10902.67
471,842.60,871.00,11882.08
472,842.67,872.00,13025.48
473,842.74,873.00,13784.04
474,842.82,874.00,14581.12
475,842.89,875.00,14857.29
476,842.96,876.00,14417.41
477,843.03,877.00,14139.74
478,843.10,878.00,13170.30
479,843.17,879.00,12230.15
480,843.24,880.00,11209.97
481,843.31,881.00,9968.31
482,843.38,882.00,9044.85
483,843.45,883.00,7993.31
484,843.53,884.00,7354.87
485,843.60,885.00,6650.90
486,843.67,886.00,6076.69
487,843.74,887.00,5682.10
488,843.81,888.00,5343.48
489,843.88,889.00,5131.60
490,843.95,890.00,4843.43
491,844.02,891.00,4833.15
492,844.10,892.00,4755.40
493,844.17,893.00,4844.09
494,844.24,894.00,4913.82
495,844.31,895.00,5110.51
496,844.38,896.00,5356.77
497,844.45,897.00,5580.62
498,844.52,898.00,5795.56
499,844.59,899.00,5949.24
500,844.67,900.00,6221.26
501,844.74,901.00,6520.59
502,844.81,902.00,6735.34
503,844.88,903.00,7054.57
504,844.95,904.00,7329.26
505,845.02,905.00,7587.72
506,845.09,906.00,7832.81
507,845.17,907.00,8091.61
508,845.24,908.00,8301.65
509,845.31,909.00,8469.46
510,845.38,910.00,8792.12
511,845.45,911.00,9039.25
512,845.52,912.00,9238.19
513,845.59,913.00,9178.75
514,845.67,914.00,9088.20
515,845.74,915.00,8931.80
516,845.81,916.00,8797.85
517,845.88,917.00,8393.89
518,845.95,918.00,8107.46
519,846.02,919.00,7598.80
520,846.10,920.00,7129.22
521,846.17,921.00,6495.73
522,846.24,922.00,6082.11
523,846.31,923.00,5430.99
524,846.38,924.00,5191.60
525,846.45,925.00,4525.47
526,846.53,926.00,3912.67
527,846.60,927.00,3416.66
528,846.67,928.00,2901.85
529,846.74,929.00,2480.83
530,846.81,930.00,2250.56
531,846.88,931.00,1857.76
532,846.96,932.00,1684.61
533,847.03,933.00,1459.85
534,847.10,934.00,1313.49
535,847.17,935.00,1236.89
536,847.24,936.00,1165.44
537,847.31,937.00,1111.29
538,847.39,938.00,1088.04
539,847.46,939.00,1106.70
540,847.53,940.00,1219.41
541,847.60,941.00,1353.15
542,847.67,942.00,1541.47
543,847.75,943.00,1851.18
544,847.82,944.00,2158.13
545,847.89,945.00,2690.08
546,847.96,946.00,3338.57
547,848.03,947.00,3999.00
548,848.10,948.00,4884.26
549,848.18,949.00,5629.57
550,848.25,950.00,6404.38
551,848.32,951.00,7227.41
552,848.39,952.00,7573.46
553,848.46,953.00,7395.78
554,848.54,954.00,6921.93
555,848.61,955.00,6128.82
556,848.68,956.00,5618.71
557,848.75,957.00,4415.37
558,848.82,958.00,3692.59
559,848.90,959.00,2785.00
560,848.97,960.00,2304.72
561,849.04,961.00,1764.71
562,849.11,962.00,1402.44
563,849.18,963.00,1125.93
564,849.26,964.00,904.88
565,849.33,965.00,776.80
566,849.40,966.00,664.77
567,849.47,967.00,596.03
568,849.55,968.00,566.74
569,849.62,969.00,582.51
570,849.69,970.00,586.07
571,849.76,971.00,636.55
572,849.83,972.00,606.23
573,849.91,973.00,694.91
574,849.98,974.00,692.90
575,850.05,975.00,673.34
576,850.12,976.00,628.16
577,850.20,977.00,650.82
578,850.27,978.00,691.64
579,850.34,979.00,677.51
580,850.41,980.00,704.38
581,850.48,981.00,697.06
582,850.56,982.00,738.36
583,850.63,983.00,813.17
584,850.70,984.00,818.01
585,850.77,985.00,819.51
586,850.85,986.00,793.34
587,850.92,987.00,835.71
588,850.99,988.00,861.40
589,851.06,989.00,978.00
590,851.14,990.00,1179.24
591,851.21,991.00,1248.74
592,851.28,992.00,1429.43
593,851.35,993.00,1714.90
594,851.43,994.00,1809.02
595,851.50,995.00,2106.41
596,851.57,996.00,2157.85
597,851.64,997.00,2375.16
598,851.72,998.00,2641.90
599,851.79,999.00,2515.75
