Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,2481.93
1,810.50,401.00,2816.21
2,810.57,402.00,2874.99
3,810.64,403.00,2779.05
4,810.70,404.00,2835.04
5,810.77,405.00,2950.83
6,810.83,406.00,3149.25
7,810.90,407.00,2996.89
8,810.96,408.00,3204.03
9,811.03,409.00,3162.11
10,811.10,410.00,3098.45
11,811.16,411.00,2920.91
12,811.23,412.00,2847.38
13,811.29,413.00,2623.84
14,811.36,414.00,2782.76
15,811.42,415.00,2513.34
16,811.49,416.00,2323.52
17,811.56,417.00,2452.43
18,811.62,418.00,2471.37
19,811.69,419.00,2256.19
20,811.75,420.00,2297.25
21,811.82,421.00,2239.82
22,811.89,422.00,2591.62
23,811.95,423.00,2568.96
24,812.02,424.00,2668.34
25,812.08,425.00,2817.83
26,812.15,426.00,2921.54
27,812.22,427.00,2855.74
28,812.28,428.00,2894.38
29,812.35,429.00,2773.65
30,812.41,430.00,3044.42
31,812.48,431.00,2779.85
32,812.55,432.00,2589.08
33,812.61,433.00,2627.19
34,812.68,434.00,2595.28
35,812.74,435.00,2347.31
36,812.81,436.00,2135.47
37,812.88,437.00,2061.36
38,812.94,438.00,2218.59
39,813.01,439.00,1883.96
40,813.07,440.00,1954.67
41,813.14,441.00,2012.09
42,813.21,442.00,2115.66
43,813.27,443.00,1959.32
44,813.34,444.00,2007.72
45,813.40,445.00,1928.64
46,813.47,446.00,2115.04
47,813.54,447.00,2070.19
48,813.60,448.00,1992.29
49,813.67,449.00,2096.28
50,813.74,450.00,2067.59
51,813.80,451.00,2117.64
52,813.87,452.00,1974.27
53,813.93,453.00,1954.51
54,814.00,454.00,2174.62
55,814.07,455.00,1955.28
56,814.13,456.00,2084.65
57,814.20,457.00,2235.43
58,814.27,458.00,2427.43
59,814.33,459.00,2422.21
60,814.40,460.00,2586.76
61,814.46,461.00,2392.38
62,814.53,462.00,2776.37
63,814.60,463.00,2836.00
64,814.66,464.00,2847.49
65,814.73,465.00,2792.10
66,814.80,466.00,2706.34
67,814.86,467.00,2742.32
68,814.93,468.00,2528.20
69,815.00,469.00,2376.25
70,815.06,470.00,2498.61
71,815.13,471.00,2235.47
72,815.20,472.00,2261.15
73,815.26,473.00,2118.79
74,815.33,474.00,2282.76
75,815.39,475.00,2107.46
76,815.46,476.00,2266.15
77,815.53,477.00,2288.07
78,815.59,478.00,2573.15
79,815.66,479.00,2571.91
80,815.73,480.00,2725.08
81,815.79,481.00,2849.12
82,815.86,482.00,2963.66
83,815.93,483.00,3169.01
84,815.99,484.00,3175.16
85,816.06,485.00,3205.21
86,816.13,486.00,3488.16
87,816.19,487.00,3389.69
88,816.26,488.00,3284.89
89,816.33,489.00,3363.06
90,816.39,490.00,3301.35
91,816.46,491.00,3077.17
92,816.53,492.00,3027.27
93,816.59,493.00,2872.17
94,816.66,494.00,2982.43
95,816.73,495.00,2705.21
96,816.79,496.00,2776.64
97,816.86,497.00,2694.27
98,816.93,498.00,2687.11
99,816.99,499.00,2682.84
100,817.06,500.00,2650.71
101,817.13,501.00,2531.07
102,817.19,502.00,2638.35
103,817.26,503.00,2542.24
104,817.33,504.00,2409.48
105,817.39,505.00,2211.31
106,817.46,506.00,2048.28
107,817.53,507.00,1788.79
108,817.59,508.00,1803.67
109,817.66,509.00,1589.34
