Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,5.32
1,810.50,401.00,12.86
2,810.57,402.00,12.33
3,810.64,403.00,11.95
4,810.70,404.00,28.88
5,810.77,405.00,20.90
6,810.83,406.00,22.15
7,810.90,407.00,36.60
8,810.96,408.00,22.65
9,811.03,409.00,5.17
10,811.10,410.00,24.65
11,811.16,411.00,17.02
12,811.23,412.00,24.27
13,811.29,413.00,30.89
14,811.36,414.00,32.97
15,811.42,415.00,23.43
16,811.49,416.00,18.79
17,811.56,417.00,35.57
18,811.62,418.00,43.39
19,811.69,419.00,19.76
20,811.75,420.00,31.02
21,811.82,421.00,29.63
22,811.89,422.00,32.94
23,811.95,423.00,12.43
24,812.02,424.00,19.69
25,812.08,425.00,1.99
26,812.15,426.00,0.00
27,812.22,427.00,2.13
28,812.28,428.00,0.00
29,812.35,429.00,0.00
30,812.41,430.00,6.66
31,812.48,431.00,0.00
32,812.55,432.00,5.05
33,812.61,433.00,8.86
34,812.68,434.00,18.89
35,812.74,435.00,0.00
36,812.81,436.00,32.21
37,812.88,437.00,4.10
38,812.94,438.00,23.93
39,813.01,439.00,0.00
40,813.07,440.00,10.71
41,813.14,441.00,7.13
42,813.21,442.00,2.52
43,813.27,443.00,0.00
44,813.34,444.00,0.00
45,813.40,445.00,0.00
46,813.47,446.00,1.67
47,813.54,447.00,0.00
48,813.60,448.00,2.06
49,813.67,449.00,1.34
50,813.74,450.00,8.53
51,813.80,451.00,3.54
52,813.87,452.00,21.83
53,813.93,453.00,15.84
54,814.00,454.00,22.80
55,814.07,455.00,0.00
56,814.13,456.00,15.47
57,814.20,457.00,34.78
58,814.27,458.00,37.77
59,814.33,459.00,8.58
60,814.40,460.00,13.55
61,814.46,461.00,28.22
62,814.53,462.00,17.45
63,814.60,463.00,11.61
64,814.66,464.00,12.28
65,814.73,465.00,13.67
66,814.80,466.00,13.12
67,814.86,467.00,18.79
68,814.93,468.00,34.06
69,815.00,469.00,21.38
70,815.06,470.00,31.83
71,815.13,471.00,19.36
72,815.20,472.00,15.67
73,815.26,473.00,16.77
74,815.33,474.00,21.52
75,815.39,475.00,5.19
76,815.46,476.00,6.75
77,815.53,477.00,8.51
78,815.59,478.00,10.66
79,815.66,479.00,2.46
80,815.73,480.00,5.35
81,815.79,481.00,3.59
82,815.86,482.00,9.74
83,815.93,483.00,6.48
84,815.99,484.00,19.00
85,816.06,485.00,5.92
86,816.13,486.00,35.27
87,816.19,487.00,14.15
88,816.26,488.00,43.04
89,816.33,489.00,32.01
90,816.39,490.00,34.56
91,816.46,491.00,17.14
92,816.53,492.00,16.03
93,816.59,493.00,19.84
94,816.66,494.00,25.51
95,816.73,495.00,4.33
96,816.79,496.00,17.91
97,816.86,497.00,6.08
98,816.93,498.00,22.62
99,816.99,499.00,11.14
100,817.06,500.00,25.87
101,817.13,501.00,11.49
102,817.19,502.00,29.13
103,817.26,503.00,7.92
104,817.33,504.00,28.76
105,817.39,505.00,22.22
106,817.46,506.00,19.99
107,817.53,507.00,17.83
108,817.59,508.00,9.77
109,817.66,509.00,11.44
110,817.73,510.00,15.68
111,817.80,511.00,5.98
112,817.86,512.00,11.88
113,817.93,513.00,13.95
114,818.00,514.00,19.29
115,818.06,515.00,15.86
116,818.13,516.00,41.15
117,818.20,517.00,34.41
118,818.26,518.00,50.25
119,818.33,519.00,19.28
120,818.40,520.00,5.54
121,818.46,521.00,28.70
122,818.53,522.00,21.23
123,818.60,523.00,5.91
124,818.67,524.00,6.98
125,818.73,525.00,11.91
126,818.80,526.00,7.39
127,818.87,527.00,0.00
128,818.93,528.00,0.00
129,819.00,529.00,6.66
130,819.07,530.00,6.65
131,819.14,531.00,0.00
132,819.20,532.00,17.38
133,819.27,533.00,9.50
134,819.34,534.00,27.33
135,819.40,535.00,12.88
136,819.47,536.00,5.98
137,819.54,537.00,8.11
138,819.60,538.00,10.28
139,819.67,539.00,7.49
140,819.74,540.00,13.15
141,819.81,541.00,24.76
142,819.87,542.00,21.68
143,819.94,543.00,13.43
144,820.01,544.00,14.87
145,820.08,545.00,28.48
146,820.14,546.00,29.70
147,820.21,547.00,29.34
148,820.28,548.00,63.26
149,820.34,549.00,36.43
150,820.41,550.00,71.26
151,820.48,551.00,60.33
152,820.55,552.00,52.62
153,820.61,553.00,38.84
154,820.68,554.00,30.78
155,820.75,555.00,19.93
156,820.82,556.00,25.65
157,820.88,557.00,36.45
158,820.95,558.00,27.64
159,821.02,559.00,15.14
160,821.09,560.00,19.65
161,821.15,561.00,31.22
162,821.22,562.00,50.76
163,821.29,563.00,15.16
164,821.36,564.00,56.39
165,821.42,565.00,44.85
166,821.49,566.00,60.94
167,821.56,567.00,27.53
168,821.63,568.00,40.61
