Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,86.54
1,810.50,401.00,86.13
2,810.57,402.00,83.46
3,810.64,403.00,80.76
4,810.70,404.00,80.15
5,810.77,405.00,77.60
6,810.83,406.00,78.83
7,810.90,407.00,80.17
8,810.96,408.00,87.41
9,811.03,409.00,102.17
10,811.10,410.00,112.92
11,811.16,411.00,134.33
12,811.23,412.00,155.06
13,811.29,413.00,160.42
14,811.36,414.00,177.26
15,811.42,415.00,183.15
16,811.49,416.00,188.70
17,811.56,417.00,204.15
18,811.62,418.00,195.79
19,811.69,419.00,189.44
20,811.75,420.00,184.06
21,811.82,421.00,172.73
22,811.89,422.00,173.87
23,811.95,423.00,186.25
24,812.02,424.00,150.30
25,812.08,425.00,147.82
26,812.15,426.00,139.37
27,812.22,427.00,133.82
28,812.28,428.00,128.08
29,812.35,429.00,127.34
30,812.41,430.00,133.52
31,812.48,431.00,128.31
32,812.55,432.00,134.30
33,812.61,433.00,139.90
34,812.68,434.00,158.63
35,812.74,435.00,167.34
36,812.81,436.00,177.88
37,812.88,437.00,194.55
38,812.94,438.00,202.38
39,813.01,439.00,209.28
40,813.07,440.00,204.34
41,813.14,441.00,199.88
42,813.21,442.00,192.97
43,813.27,443.00,193.51
44,813.34,444.00,172.19
45,813.40,445.00,162.12
46,813.47,446.00,154.15
47,813.54,447.00,137.98
48,813.60,448.00,130.40
49,813.67,449.00,124.46
50,813.74,450.00,121.81
51,813.80,451.00,120.07
52,813.87,452.00,117.30
53,813.93,453.00,123.81
54,814.00,454.00,126.94
55,814.07,455.00,127.24
56,814.13,456.00,132.69
57,814.20,457.00,129.62
58,814.27,458.00,137.96
59,814.33,459.00,136.73
60,814.40,460.00,134.56
61,814.46,461.00,135.54
62,814.53,462.00,135.14
63,814.60,463.00,129.66
64,814.66,464.00,124.43
65,814.73,465.00,116.84
66,814.80,466.00,112.30
67,814.86,467.00,109.74
68,814.93,468.00,97.19
69,815.00,469.00,97.68
70,815.06,470.00,94.88
71,815.13,471.00,97.77
72,815.20,472.00,94.90
73,815.26,473.00,95.68
74,815.33,474.00,100.25
75,815.39,475.00,106.69
76,815.46,476.00,107.93
77,815.53,477.00,116.42
78,815.59,478.00,125.04
79,815.66,479.00,131.07
80,815.73,480.00,132.87
81,815.79,481.00,135.03
82,815.86,482.00,140.07
83,815.93,483.00,136.79
84,815.99,484.00,135.81
85,816.06,485.00,129.44
86,816.13,486.00,126.46
87,816.19,487.00,113.23
88,816.26,488.00,107.10
89,816.33,489.00,96.28
90,816.39,490.00,93.10
91,816.46,491.00,82.00
92,816.53,492.00,80.64
93,816.59,493.00,74.15
94,816.66,494.00,73.84
95,816.73,495.00,67.44
96,816.79,496.00,66.56
97,816.86,497.00,63.86
98,816.93,498.00,64.36
99,816.99,499.00,62.48
100,817.06,500.00,60.11
101,817.13,501.00,65.85
102,817.19,502.00,65.29
103,817.26,503.00,65.62
