wavenumber,intensity
112.8,116.0000
119.6,137.0000
126.4,132.0000
133.2,145.0000
140.0,151.0000
146.8,185.0000
153.6,323.0000
160.4,971.0000
167.1,2571.0000
173.8,4746.0000
180.5,6738.0000
187.3,8173.0000
194.0,9194.0000
200.7,9800.0000
207.4,10182.0000
214.2,10171.0000
220.8,10208.0000
227.5,10174.0000
234.1,10178.0000
240.8,10111.0000
247.4,10179.0000
254.1,10132.0000
260.7,10037.0000
267.3,9946.0000
273.9,9905.0000
280.5,9802.0000
287.0,9797.0000
293.7,9674.0000
300.2,9598.0000
306.8,9498.0000
313.3,9473.0000
319.9,9422.0000
326.4,9383.0000
332.9,9358.0000
339.4,9384.0000
345.9,9304.0000
352.4,9341.0000
358.9,9280.0000
365.3,9460.0000
371.8,9335.0000
378.3,9421.0000
384.7,9358.0000
391.1,9444.0000
397.6,9388.0000
404.0,9463.0000
410.4,9390.0000
416.8,9325.0000
423.2,9253.0000
429.6,9232.0000
435.9,9180.0000
442.3,9222.0000
448.6,9073.0000
455.0,9170.0000
461.3,9135.0000
467.6,9196.0000
473.9,9067.0000
480.2,9173.0000
486.6,9144.0000
492.8,9101.0000
499.1,9091.0000
505.3,9107.0000
511.6,9004.0000
517.8,9069.0000
524.1,8868.0000
530.3,8806.0000
536.5,8751.0000
542.7,8727.0000
548.9,8571.0000
555.1,8636.0000
561.3,8527.0000
567.5,8641.0000
573.7,8529.0000
579.8,8614.0000
586.0,8624.0000
592.1,8730.0000
598.2,8685.0000
604.3,8774.0000
610.5,8670.0000
616.6,8558.0000
622.6,8354.0000
628.7,8271.0000
634.8,8206.0000
640.9,8172.0000
646.9,8033.0000
653.0,7998.0000
659.0,7921.0000
665.0,7860.0000
671.0,7776.0000
677.1,7727.0000
683.1,7699.0000
689.1,7776.0000
695.0,7663.0000
701.0,7781.0000
707.0,7794.0000
712.9,7954.0000
718.8,7965.0000
724.8,7975.0000
730.7,7843.0000
736.7,7777.0000
742.6,7525.0000
748.5,7404.0000
754.3,7281.0000
760.2,7202.0000
766.1,7112.0000
772.0,7082.0000
777.8,6931.0000
783.7,6836.0000
789.5,6711.0000
795.3,6659.0000
801.2,6703.0000
807.0,6764.0000
812.8,6935.0000
818.6,7082.0000
824.4,7201.0000
830.1,7648.0000
835.9,7944.0000
841.7,8320.0000
847.4,8391.0000
853.2,8373.0000
858.9,8319.0000
864.6,8404.0000
870.3,8530.0000
876.0,8573.0000
881.7,8365.0000
887.4,8264.0000
893.1,8049.0000
898.8,7878.0000
904.4,7683.0000
910.0,7676.0000
915.7,7625.0000
921.3,7525.0000
926.9,7269.0000
932.6,7106.0000
938.2,7020.0000
943.8,6945.0000
949.3,6865.0000
955.0,6796.0000
960.5,6718.0000
966.1,6828.0000
971.6,6879.0000
977.2,6747.0000
982.8,6318.0000
988.3,5884.0000
993.8,5612.0000
999.3,5547.0000
1004.8,5561.0000
1010.3,5663.0000
1015.8,5674.0000
1021.3,5779.0000
1026.7,5702.0000
1032.2,5700.0000
1037.6,5629.0000
1043.1,5698.0000
1048.5,5636.0000
1053.9,5725.0000
1059.3,5936.0000
1064.7,6404.0000
1070.2,6500.0000
1075.6,6650.0000
1080.9,6682.0000
1086.3,6602.0000
1091.7,6211.0000
1097.1,5779.0000
1102.4,5223.0000
1107.7,5009.0000
1113.0,4835.0000
1118.4,4757.0000
1123.7,4608.0000
1129.0,4307.0000
1134.3,4096.0000
1139.6,3947.0000
1144.8,3905.0000
1150.1,3865.0000
1155.4,3849.0000
1160.7,3836.0000
1165.9,3808.0000
1171.1,3929.0000
1176.4,3972.0000
1181.6,3959.0000
1186.8,4074.0000
1192.0,4174.0000
1197.2,4280.0000
1202.4,4370.0000
1207.5,4431.0000
1212.7,4430.0000
1217.9,4753.0000
1223.0,4906.0000
1228.2,5071.0000
1233.3,5329.0000
1238.4,5510.0000
1243.6,6058.0000
1248.7,6612.0000
1253.8,7547.0000
1258.9,8372.0000
1264.0,9145.0000
1269.0,9269.0000
1274.1,9124.0000
1279.2,8685.0000
1284.2,8331.0000
1289.2,8426.0000
1294.3,9256.0000
1299.3,10670.0000
1304.3,11604.0000
1309.4,10595.0000
1314.4,9311.0000
1319.4,8309.0000
1324.3,7676.0000
1329.3,6918.0000
1334.3,6354.0000
1339.2,6103.0000
1344.2,6030.0000
1349.2,5965.0000
1354.1,5902.0000
1359.0,5799.0000
1364.0,5865.0000
1368.9,5855.0000
1373.8,5741.0000
1378.7,5577.0000
1383.6,5448.0000
1388.4,5386.0000
1393.3,5486.0000
1398.2,5690.0000
1403.0,5874.0000
1407.9,5885.0000
1412.7,6098.0000
1417.5,6622.0000
1422.4,7196.0000
1427.2,8357.0000
1432.0,11118.0000
1436.8,15218.0000
1441.6,17284.0000
1446.4,16023.0000
1451.1,14459.0000
1455.9,13168.0000
1460.7,11869.0000
1465.5,10071.0000
1470.2,8592.0000
1474.9,7292.0000
1479.6,6382.0000
1484.3,5816.0000
1489.0,5485.0000
1493.8,5240.0000
1498.5,5119.0000
1503.2,4936.0000
1507.8,4905.0000
1512.5,4758.0000
1517.2,4741.0000
1521.8,4637.0000
