wavenumber,intensity
302.3,3187.8780
305.3,3258.8210
308.4,3056.9820
311.4,2964.0320
314.4,2530.0050
317.4,2572.8100
320.4,2338.2140
323.5,2423.1590
326.5,2322.1830
329.5,2483.6990
332.5,2541.3460
335.5,2617.6480
338.5,2584.3990
341.5,2692.1680
344.5,2627.5730
347.4,2715.3850
350.4,2804.0170
353.4,2921.4690
356.4,3136.4650
359.4,3387.3420
362.3,3224.0700
365.3,3015.4120
368.3,2634.1420
371.2,2566.8350
374.2,2521.7570
377.2,2591.2990
380.1,2745.9940
383.1,2996.2990
386.0,3662.0180
389.0,4225.9400
391.9,5354.1160
394.9,6446.9020
397.8,6137.4520
400.7,5514.9170
403.7,4063.0950
406.6,3648.3330
409.5,3427.6290
412.5,3540.7380
415.4,3177.4480
418.3,2941.7460
421.2,2634.8400
424.1,2648.3950
427.0,2722.3030
429.9,2943.9510
432.9,3300.9690
435.8,3672.7740
438.7,3524.2030
441.5,3452.7330
444.4,2766.4220
447.3,2503.8850
450.2,2219.4100
453.1,2220.1550
456.0,2100.2870
458.9,2098.5360
461.7,2114.2640
464.6,2148.4670
467.5,2224.8530
470.4,2298.6430
473.2,2216.3270
476.1,2288.2670
478.9,2276.5230
481.8,2332.9060
484.6,2372.5170
487.5,2480.8790
490.3,2519.5610
493.2,2606.2440
496.0,2458.3780
498.9,2527.4750
501.7,2401.9040
504.5,2406.1490
507.4,2432.8130
510.2,2554.3240
513.0,3112.0420
515.9,3605.1800
518.7,4459.8920
521.5,5276.5420
524.3,4728.9690
527.1,4448.5310
529.9,4417.5300
532.7,4832.6880
535.5,4936.8150
538.3,5158.8560
541.1,4806.2100
543.9,4938.0100
546.7,4543.5750
549.5,4603.0380
552.3,3908.9010
555.1,3654.2590
557.9,2902.6760
560.6,2760.7800
563.4,2485.4830
566.2,2449.1420
568.9,2447.5870
571.7,2506.2020
574.5,2666.5590
577.2,2879.0370
580.0,3042.1110
582.7,3100.7030
585.5,2571.7330
588.2,2389.4920
591.0,2152.8370
593.7,2123.0890
596.5,2019.3090
599.2,2084.2270
602.0,2013.9130
604.7,2022.5960
607.4,2038.4380
610.1,2044.7980
612.9,2071.7440
615.6,2097.5480
618.3,2156.9480
621.0,2240.8360
623.7,2351.8930
626.5,2558.0590
629.2,2867.9930
631.9,3164.7740
634.6,3573.3670
637.3,3876.2490
640.0,3529.4880
642.7,3291.8890
645.4,2654.7010
648.1,2438.1860
650.7,2148.7940
653.4,2078.1120
656.1,1911.6700
658.8,1923.8770
661.5,1882.1600
664.1,1857.0250
666.8,1866.5540
669.5,1859.7870
672.1,1906.5630
674.8,2007.0520
677.5,1980.1110
680.1,2011.8990
682.8,1950.7190
685.4,1947.3430
688.1,1966.8310
690.7,2001.2490
693.4,2076.3350
696.0,2104.9690
698.6,2103.5580
701.3,2120.1060
703.9,2076.2210
706.5,2031.5760
709.2,1943.3110
711.8,1969.1180
714.4,1935.5320
717.0,1919.1720
719.6,1928.0230
722.3,1921.6890
724.9,2011.0160
727.5,2123.9590
730.1,2235.8310
732.7,2394.2070
735.3,2336.1070
737.9,2246.5130
740.5,2033.4510
743.1,1965.1700
745.7,1879.7830
