Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,1089.98
1,810.50,401.00,1125.24
2,810.57,402.00,1193.94
3,810.64,403.00,1272.22
4,810.70,404.00,1339.12
5,810.77,405.00,1476.05
6,810.83,406.00,1518.06
7,810.90,407.00,1688.72
8,810.96,408.00,1793.78
9,811.03,409.00,1905.77
10,811.10,410.00,2012.07
11,811.16,411.00,2174.62
12,811.23,412.00,2338.81
13,811.29,413.00,2462.24
14,811.36,414.00,2681.45
15,811.42,415.00,2814.30
16,811.49,416.00,3166.74
17,811.56,417.00,3486.41
18,811.62,418.00,3732.40
19,811.69,419.00,4141.89
20,811.75,420.00,4494.98
21,811.82,421.00,4998.47
22,811.89,422.00,5552.91
23,811.95,423.00,5982.41
24,812.02,424.00,6745.31
25,812.08,425.00,7399.29
26,812.15,426.00,7864.47
27,812.22,427.00,8701.33
28,812.28,428.00,9335.34
29,812.35,429.00,9971.34
30,812.41,430.00,10701.45
31,812.48,431.00,11247.52
32,812.55,432.00,11470.51
33,812.61,433.00,11756.28
34,812.68,434.00,11759.48
35,812.74,435.00,11699.20
36,812.81,436.00,11549.83
37,812.88,437.00,11359.56
38,812.94,438.00,10880.05
39,813.01,439.00,10399.58
40,813.07,440.00,10087.61
41,813.14,441.00,9433.19
42,813.21,442.00,8847.69
43,813.27,443.00,7993.64
44,813.34,444.00,7571.65
45,813.40,445.00,6943.05
46,813.47,446.00,6587.74
47,813.54,447.00,6030.41
48,813.60,448.00,5883.25
49,813.67,449.00,5528.42
50,813.74,450.00,5569.99
51,813.80,451.00,5440.79
52,813.87,452.00,5641.16
53,813.93,453.00,6009.82
54,814.00,454.00,6319.71
55,814.07,455.00,6899.27
56,814.13,456.00,7941.67
57,814.20,457.00,9061.36
58,814.27,458.00,10707.33
59,814.33,459.00,12572.21
60,814.40,460.00,15444.94
61,814.46,461.00,18472.61
62,814.53,462.00,22811.40
63,814.60,463.00,27899.21
64,814.66,464.00,34142.56
65,814.73,465.00,41225.46
66,814.80,466.00,48728.69
67,814.86,467.00,56526.88
68,814.93,468.00,63652.83
69,815.00,469.00,70226.70
70,815.06,470.00,74810.91
71,815.13,471.00,77222.41
72,815.20,472.00,76964.39
73,815.26,473.00,73829.35
74,815.33,474.00,67982.65
75,815.39,475.00,60343.14
76,815.46,476.00,52305.38
77,815.53,477.00,43395.69
78,815.59,478.00,35632.54
79,815.66,479.00,28087.25
80,815.73,480.00,21985.11
81,815.79,481.00,16958.08
82,815.86,482.00,13039.36
83,815.93,483.00,10195.14
84,815.99,484.00,7712.00
85,816.06,485.00,6178.79
86,816.13,486.00,4853.64
87,816.19,487.00,4050.20
88,816.26,488.00,3352.15
89,816.33,489.00,2978.30
90,816.39,490.00,2563.25
91,816.46,491.00,2325.94
92,816.53,492.00,2253.63
93,816.59,493.00,2066.62
94,816.66,494.00,2000.65
95,816.73,495.00,1864.00
96,816.79,496.00,1871.18
97,816.86,497.00,1911.44
98,816.93,498.00,1845.23
99,816.99,499.00,1874.62
100,817.06,500.00,1805.44
101,817.13,501.00,1757.43
102,817.19,502.00,1633.23
103,817.26,503.00,1577.97
104,817.33,504.00,1436.75
105,817.39,505.00,1343.80
106,817.46,506.00,1259.42
107,817.53,507.00,1209.32
108,817.59,508.00,1153.62
109,817.66,509.00,1031.15
110,817.73,510.00,928.37
111,817.80,511.00,889.07
112,817.86,512.00,837.90
113,817.93,513.00,813.67
114,818.00,514.00,681.95
115,818.06,515.00,617.82
116,818.13,516.00,646.52
117,818.20,517.00,614.71
118,818.26,518.00,510.14
119,818.33,519.00,502.77
120,818.40,520.00,464.45
121,818.46,521.00,485.71
122,818.53,522.00,388.21
123,818.60,523.00,321.85
124,818.67,524.00,290.06
125,818.73,525.00,247.01
126,818.80,526.00,254.15
127,818.87,527.00,252.70
128,818.93,528.00,273.41
129,819.00,529.00,342.95
130,819.07,530.00,325.40
131,819.14,531.00,332.69
132,819.20,532.00,410.51
133,819.27,533.00,406.79
134,819.34,534.00,390.33
135,819.40,535.00,589.79
136,819.47,536.00,511.55
137,819.54,537.00,549.99
138,819.60,538.00,605.44
139,819.67,539.00,528.57
140,819.74,540.00,583.31
141,819.81,541.00,486.94
142,819.87,542.00,331.32
143,819.94,543.00,300.26
144,820.01,544.00,194.84
145,820.08,545.00,185.87
146,820.14,546.00,161.88
147,820.21,547.00,102.83
148,820.28,548.00,98.76
149,820.34,549.00,79.41
150,820.41,550.00,59.22
151,820.48,551.00,93.59
152,820.55,552.00,78.30
153,820.61,553.00,93.29
154,820.68,554.00,105.65
155,820.75,555.00,118.94
156,820.82,556.00,111.97
157,820.88,557.00,123.56
158,820.95,558.00,141.36
159,821.02,559.00,137.28
160,821.09,560.00,109.64
161,821.15,561.00,81.79
162,821.22,562.00,76.87
163,821.29,563.00,58.19
164,821.36,564.00,58.16
165,821.42,565.00,8.36
166,821.49,566.00,15.24
167,821.56,567.00,40.02
168,821.63,568.00,29.22
169,821.69,569.00,6.82
170,821.76,570.00,6.08
171,821.83,571.00,17.95
172,821.90,572.00,29.79
173,821.96,573.00,0.00
174,822.03,574.00,28.49
175,822.10,575.00,58.53
176,822.17,576.00,3.85
177,822.23,577.00,10.83
178,822.30,578.00,0.00
179,822.37,579.00,55.09
180,822.44,580.00,56.41
181,822.50,581.00,0.00
182,822.57,582.00,1.71
183,822.64,583.00,7.22
184,822.71,584.00,3.66
185,822.77,585.00,0.00
186,822.84,586.00,0.23
187,822.91,587.00,0.00
188,822.98,588.00,0.33
189,823.05,589.00,0.00
190,823.11,590.00,0.00
191,823.18,591.00,0.00
192,823.25,592.00,0.00
193,823.32,593.00,0.00
194,823.38,594.00,0.00
195,823.45,595.00,0.00
196,823.52,596.00,0.03
197,823.59,597.00,0.00
198,823.66,598.00,0.01
199,823.72,599.00,0.00
200,823.79,600.00,0.00
201,823.86,601.00,0.00
202,823.93,602.00,0.00
203,823.99,603.00,0.00
204,824.06,604.00,0.00
205,824.13,605.00,1.92
206,824.20,606.00,9.35
207,824.27,607.00,2.17
208,824.33,608.00,45.68
209,824.40,609.00,0.00
210,824.47,610.00,17.19
211,824.54,611.00,0.85
212,824.61,612.00,0.00
213,824.67,613.00,72.54
214,824.74,614.00,0.00
215,824.81,615.00,0.00
216,824.88,616.00,0.00
217,824.95,617.00,0.00
218,825.01,618.00,0.00
219,825.08,619.00,0.00
220,825.15,620.00,0.00
221,825.22,621.00,5.51
222,825.29,622.00,9.57
223,825.35,623.00,21.56
224,825.42,624.00,18.28
225,825.49,625.00,0.00
226,825.56,626.00,0.00
227,825.63,627.00,0.00
228,825.70,628.00,30.14
229,825.76,629.00,25.67
230,825.83,630.00,46.42
231,825.90,631.00,0.00
232,825.97,632.00,0.00
233,826.04,633.00,0.00
234,826.10,634.00,0.00
235,826.17,635.00,0.00
236,826.24,636.00,6.28
237,826.31,637.00,5.01
238,826.38,638.00,4.88
239,826.45,639.00,16.35
240,826.51,640.00,0.00
241,826.58,641.00,0.00
242,826.65,642.00,0.00
243,826.72,643.00,9.89
244,826.79,644.00,40.15
245,826.86,645.00,29.91
246,826.92,646.00,56.71
247,826.99,647.00,11.48
248,827.06,648.00,5.55
249,827.13,649.00,10.44
250,827.20,650.00,15.80
251,827.27,651.00,31.34
252,827.34,652.00,42.35
253,827.40,653.00,0.00
254,827.47,654.00,41.71
255,827.54,655.00,50.81
256,827.61,656.00,65.38
257,827.68,657.00,80.48
258,827.75,658.00,77.18
259,827.81,659.00,68.38
260,827.88,660.00,75.17
261,827.95,661.00,69.95
262,828.02,662.00,99.36
263,828.09,663.00,82.68
264,828.16,664.00,69.37
265,828.23,665.00,67.50
266,828.29,666.00,68.61
267,828.36,667.00,26.71
268,828.43,668.00,69.83
269,828.50,669.00,17.01
270,828.57,670.00,54.45
271,828.64,671.00,41.03
272,828.71,672.00,52.80
273,828.78,673.00,38.23
274,828.84,674.00,32.28
275,828.91,675.00,19.11
276,828.98,676.00,21.09
277,829.05,677.00,32.48
278,829.12,678.00,31.89
279,829.19,679.00,21.69
280,829.26,680.00,51.01
281,829.32,681.00,36.99
282,829.39,682.00,38.01
283,829.46,683.00,5.23
284,829.53,684.00,17.33
285,829.60,685.00,0.32
286,829.67,686.00,14.89
287,829.74,687.00,0.00
288,829.81,688.00,39.12
289,829.88,689.00,9.45
290,829.94,690.00,8.02
291,830.01,691.00,0.00
292,830.08,692.00,0.00
293,830.15,693.00,6.68
294,830.22,694.00,0.00
295,830.29,695.00,4.33
296,830.36,696.00,17.96
297,830.43,697.00,0.00
298,830.50,698.00,0.00
299,830.56,699.00,0.00
300,830.63,700.00,8.50
