Pixel,Wavelength,Wavenumber,Processed
0,810.44,400.00,7.08
1,810.50,401.00,16.92
2,810.57,402.00,35.73
3,810.64,403.00,11.51
4,810.70,404.00,24.76
5,810.77,405.00,61.73
6,810.83,406.00,86.27
7,810.90,407.00,79.29
8,810.96,408.00,129.40
9,811.03,409.00,93.55
10,811.10,410.00,101.67
11,811.16,411.00,47.25
12,811.23,412.00,116.64
13,811.29,413.00,91.73
14,811.36,414.00,53.67
15,811.42,415.00,46.32
16,811.49,416.00,51.51
17,811.56,417.00,0.00
18,811.62,418.00,35.64
19,811.69,419.00,1.26
20,811.75,420.00,15.12
21,811.82,421.00,14.07
22,811.89,422.00,39.80
23,811.95,423.00,0.00
24,812.02,424.00,28.09
25,812.08,425.00,29.99
26,812.15,426.00,22.45
27,812.22,427.00,27.80
28,812.28,428.00,35.31
29,812.35,429.00,50.74
30,812.41,430.00,81.67
31,812.48,431.00,86.94
32,812.55,432.00,57.79
33,812.61,433.00,4.13
34,812.68,434.00,73.82
35,812.74,435.00,0.00
36,812.81,436.00,75.47
37,812.88,437.00,61.51
38,812.94,438.00,153.26
39,813.01,439.00,64.07
40,813.07,440.00,64.41
41,813.14,441.00,68.74
42,813.21,442.00,74.76
43,813.27,443.00,66.06
44,813.34,444.00,34.09
45,813.40,445.00,45.34
46,813.47,446.00,85.41
47,813.54,447.00,123.04
48,813.60,448.00,62.70
49,813.67,449.00,105.00
50,813.74,450.00,124.19
51,813.80,451.00,133.97
52,813.87,452.00,199.17
53,813.93,453.00,159.05
54,814.00,454.00,224.15
55,814.07,455.00,328.97
56,814.13,456.00,279.63
57,814.20,457.00,257.56
58,814.27,458.00,295.93
59,814.33,459.00,350.77
60,814.40,460.00,349.18
61,814.46,461.00,280.28
62,814.53,462.00,504.05
63,814.60,463.00,490.08
64,814.66,464.00,422.17
65,814.73,465.00,419.16
66,814.80,466.00,413.55
67,814.86,467.00,439.33
68,814.93,468.00,461.42
69,815.00,469.00,463.80
70,815.06,470.00,419.37
71,815.13,471.00,461.83
72,815.20,472.00,345.65
73,815.26,473.00,398.02
74,815.33,474.00,367.13
75,815.39,475.00,376.24
76,815.46,476.00,387.47
77,815.53,477.00,332.50
78,815.59,478.00,361.45
79,815.66,479.00,357.68
80,815.73,480.00,382.10
81,815.79,481.00,333.92
82,815.86,482.00,430.36
83,815.93,483.00,437.85
84,815.99,484.00,482.64
85,816.06,485.00,521.61
86,816.13,486.00,505.48
87,816.19,487.00,508.49
88,816.26,488.00,567.85
89,816.33,489.00,625.34
90,816.39,490.00,675.23
91,816.46,491.00,674.61
92,816.53,492.00,783.53
93,816.59,493.00,776.25
94,816.66,494.00,844.42
95,816.73,495.00,1003.90
96,816.79,496.00,1020.23
97,816.86,497.00,1118.36
98,816.93,498.00,1251.01
99,816.99,499.00,1385.95
100,817.06,500.00,1550.96
101,817.13,501.00,1701.47
102,817.19,502.00,1944.21
103,817.26,503.00,2317.27
104,817.33,504.00,2579.56
105,817.39,505.00,3117.28
106,817.46,506.00,3543.43
107,817.53,507.00,4313.91
108,817.59,508.00,5072.24
109,817.66,509.00,6169.51
110,817.73,510.00,7329.27
111,817.80,511.00,8987.74
112,817.86,512.00,10491.80
113,817.93,513.00,12426.59
114,818.00,514.00,14775.49
115,818.06,515.00,17143.04
116,818.13,516.00,18879.24
117,818.20,517.00,21092.06
118,818.26,518.00,22860.80
119,818.33,519.00,23294.41
120,818.40,520.00,24276.54
121,818.46,521.00,23038.35
122,818.53,522.00,22291.99
123,818.60,523.00,19837.59
124,818.67,524.00,17776.61
125,818.73,525.00,15635.89
126,818.80,526.00,12876.68
127,818.87,527.00,10567.14
128,818.93,528.00,8301.76
129,819.00,529.00,6459.90
130,819.07,530.00,5089.22
131,819.14,531.00,4056.06
132,819.20,532.00,3008.23
133,819.27,533.00,2321.64
134,819.34,534.00,1795.54
135,819.40,535.00,1421.81
136,819.47,536.00,1239.95
137,819.54,537.00,1082.38
138,819.60,538.00,936.89
139,819.67,539.00,874.03
140,819.74,540.00,762.10
141,819.81,541.00,752.54
142,819.87,542.00,726.64
143,819.94,543.00,787.36
144,820.01,544.00,807.42
145,820.08,545.00,776.56
146,820.14,546.00,791.17
147,820.21,547.00,815.24
148,820.28,548.00,804.10
149,820.34,549.00,767.17
150,820.41,550.00,752.22
151,820.48,551.00,655.13
152,820.55,552.00,579.45
153,820.61,553.00,511.40
154,820.68,554.00,397.78
155,820.75,555.00,342.76
156,820.82,556.00,260.16
157,820.88,557.00,229.04
158,820.95,558.00,188.57
159,821.02,559.00,150.51
160,821.09,560.00,158.89
161,821.15,561.00,172.51
162,821.22,562.00,172.24
163,821.29,563.00,149.00
164,821.36,564.00,179.83
165,821.42,565.00,193.83
166,821.49,566.00,223.44
167,821.56,567.00,227.59
168,821.63,568.00,239.34
169,821.69,569.00,307.24
170,821.76,570.00,317.48
171,821.83,571.00,302.50
172,821.90,572.00,344.95
173,821.96,573.00,312.26
174,822.03,574.00,273.96
175,822.10,575.00,242.77
176,822.17,576.00,208.86
177,822.23,577.00,213.02
178,822.30,578.00,146.09
179,822.37,579.00,135.72
180,822.44,580.00,94.56
181,822.50,581.00,109.21
182,822.57,582.00,144.43
183,822.64,583.00,125.66
184,822.71,584.00,143.98
185,822.77,585.00,160.89
186,822.84,586.00,199.75
187,822.91,587.00,198.18
188,822.98,588.00,250.82
189,823.05,589.00,282.71
190,823.11,590.00,352.69
191,823.18,591.00,413.28
192,823.25,592.00,453.15
193,823.32,593.00,505.68
194,823.38,594.00,547.80
195,823.45,595.00,557.53
196,823.52,596.00,615.26
197,823.59,597.00,649.44
198,823.66,598.00,667.96
199,823.72,599.00,720.98
200,823.79,600.00,759.76
201,823.86,601.00,782.91
202,823.93,602.00,871.70
203,823.99,603.00,915.33
204,824.06,604.00,1078.62
205,824.13,605.00,1222.21
206,824.20,606.00,1415.27
207,824.27,607.00,1713.65
208,824.33,608.00,1953.04
209,824.40,609.00,2233.53
210,824.47,610.00,2839.44
211,824.54,611.00,3542.30
212,824.61,612.00,4109.90
213,824.67,613.00,4901.49
214,824.74,614.00,5634.75
215,824.81,615.00,6534.64
216,824.88,616.00,7472.23
217,824.95,617.00,8219.58
218,825.01,618.00,8881.81
219,825.08,619.00,9061.51
220,825.15,620.00,9679.99
221,825.22,621.00,9467.85
222,825.29,622.00,9445.58
223,825.35,623.00,8933.42
224,825.42,624.00,8620.08
225,825.49,625.00,7831.53
226,825.56,626.00,7224.62
227,825.63,627.00,6216.03
228,825.70,628.00,5360.79
229,825.76,629.00,4608.10
230,825.83,630.00,3966.86
231,825.90,631.00,3252.51
232,825.97,632.00,2700.83
233,826.04,633.00,2225.26
234,826.10,634.00,1839.03
235,826.17,635.00,1536.12
236,826.24,636.00,1245.94
237,826.31,637.00,1045.38
238,826.38,638.00,858.96
239,826.45,639.00,708.50
240,826.51,640.00,588.34
241,826.58,641.00,531.85
242,826.65,642.00,460.92
243,826.72,643.00,420.62
244,826.79,644.00,361.96
245,826.86,645.00,348.60
246,826.92,646.00,304.91
247,826.99,647.00,257.52
248,827.06,648.00,259.54
249,827.13,649.00,270.41
250,827.20,650.00,274.99
251,827.27,651.00,256.47
252,827.34,652.00,190.16
253,827.40,653.00,188.69
254,827.47,654.00,213.44
255,827.54,655.00,205.48
256,827.61,656.00,248.11
257,827.68,657.00,229.50
258,827.75,658.00,252.80
259,827.81,659.00,157.23
260,827.88,660.00,152.39
261,827.95,661.00,136.61
262,828.02,662.00,180.22
263,828.09,663.00,184.22
264,828.16,664.00,181.45
265,828.23,665.00,151.61
266,828.29,666.00,149.15
267,828.36,667.00,165.03
268,828.43,668.00,141.33
269,828.50,669.00,121.68
270,828.57,670.00,127.34
271,828.64,671.00,175.35
272,828.71,672.00,164.21
273,828.78,673.00,188.08
274,828.84,674.00,260.85
275,828.91,675.00,142.65
276,828.98,676.00,111.45
277,829.05,677.00,87.93
278,829.12,678.00,161.07
279,829.19,679.00,82.01
280,829.26,680.00,104.11
281,829.32,681.00,55.19
282,829.39,682.00,58.99
283,829.46,683.00,26.20
284,829.53,684.00,51.20
285,829.60,685.00,36.98
286,829.67,686.00,44.45
287,829.74,687.00,13.66
288,829.81,688.00,29.27
289,829.88,689.00,37.11
290,829.94,690.00,44.88
291,830.01,691.00,11.06
292,830.08,692.00,17.21
293,830.15,693.00,27.79
294,830.22,694.00,65.94
295,830.29,695.00,22.80
296,830.36,696.00,78.41
297,830.43,697.00,105.69
298,830.50,698.00,107.74
299,830.56,699.00,11.65
