wavenumber,intensity
405.4,22.4600
406.7,23.2800
407.9,22.8200
409.2,10.1400
410.5,21.2500
411.7,28.5000
413.0,13.2800
414.3,0.0000
415.5,11.5200
416.8,22.3700
418.0,2.4900
419.3,8.2200
420.6,5.0000
421.8,15.1900
423.1,6.8700
424.3,0.0000
425.6,8.0000
426.9,13.6000
428.1,3.2900
429.4,4.4500
430.6,0.0000
431.9,2.8100
433.1,8.2700
434.4,1.6700
435.7,12.8300
436.9,0.0000
438.2,4.3200
439.4,16.9500
440.7,5.5400
442.0,0.0000
443.2,11.6100
444.5,22.7300
445.7,14.9300
447.0,0.0000
448.2,16.3000
449.5,10.9900
450.8,0.6500
452.0,8.5400
453.3,18.3100
454.5,29.9500
455.8,6.4600
457.0,20.6000
458.3,10.9200
459.5,4.3900
460.8,0.0000
462.0,0.6800
463.3,24.0900
464.6,13.7800
465.8,15.3300
467.1,18.1300
468.3,9.0800
469.6,24.3300
470.8,9.7000
472.1,0.6800
473.3,10.9600
474.6,13.1600
475.8,4.2000
477.1,17.5600
478.3,1.1600
479.6,11.4800
480.8,31.0600
482.1,32.6800
483.3,36.7700
484.6,39.0100
485.8,35.6800
487.1,36.0700
488.3,45.6900
489.6,38.6800
490.8,48.9100
492.1,57.9000
493.3,48.4300
494.6,46.9600
495.8,50.4100
497.1,44.6500
498.3,37.6700
499.6,31.3100
500.8,23.1200
502.0,38.8200
503.3,23.2900
504.5,18.7900
505.8,32.0200
507.0,32.4100
508.3,15.7000
509.5,12.4400
510.8,18.9400
512.0,5.9300
513.2,0.0000
514.5,0.0000
515.7,7.1800
517.0,5.8300
518.2,15.7200
519.5,25.6000
520.7,5.7400
522.0,34.1100
523.2,31.5500
524.4,47.1700
525.7,73.0500
526.9,54.1400
528.2,80.0000
529.4,84.0700
530.6,112.9000
531.9,130.2300
533.1,155.3800
534.4,194.9600
535.6,253.7900
536.9,301.1000
538.1,382.0600
539.3,479.7600
540.6,611.0200
541.8,807.6000
543.1,1113.2100
544.3,1546.8800
545.5,2212.7300
546.8,3064.8100
548.0,3838.0500
549.2,4180.6000
550.5,4021.9900
551.7,3179.4900
553.0,2507.6800
554.2,1778.6900
555.4,1335.8600
556.7,1073.1200
557.9,912.0400
559.1,883.4400
560.4,813.7800
561.6,807.8900
562.9,752.0400
564.1,716.4700
565.3,675.5900
566.6,675.1400
567.8,699.6400
569.0,696.8100
570.3,675.0100
571.5,707.7700
572.7,694.2900
574.0,720.4900
575.2,679.8000
576.4,581.7900
577.7,527.6300
578.9,430.9900
580.1,382.2800
581.4,319.4600
582.6,253.7600
583.8,218.7900
585.1,206.2500
586.3,164.2700
587.5,148.2400
588.8,125.1700
590.0,105.6500
591.2,104.3700
592.4,113.6700
593.7,87.7300
594.9,76.4900
596.1,64.0900
597.4,52.2900
598.6,48.7100
599.8,68.5500
601.0,51.5000
602.3,52.0200
603.5,27.4000
604.7,45.4700
606.0,32.5600
607.2,30.7600
608.4,23.1300
609.6,14.9200
610.9,17.3800
612.1,9.9300
613.3,24.5400
614.5,25.7600
615.8,1.3800
617.0,9.0700
618.2,3.9800
619.4,0.8400
620.7,11.0900
621.9,0.0000
623.1,6.0900
624.3,18.1000
625.6,2.2900
626.8,10.9400
628.0,5.1000
629.2,0.0000
630.5,2.4600
631.7,1.0200
632.9,14.6500
634.1,0.0000
635.3,11.2700
636.6,0.0000
637.8,0.0000
639.0,17.6500
640.2,14.8300
641.4,11.4500
642.7,14.9800
643.9,7.5700
645.1,5.3500
646.3,5.4300
647.5,1.4900
648.8,7.3200
