ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200309-358603-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,2-butanol
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,573
Timestamp,2025-02-20 20:03:09.358603
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,998.00,966.00
1,793.43,134.69,NA,1013.00,984.00
2,793.58,137.12,NA,1030.50,985.00
3,793.73,139.56,NA,1005.50,981.00
4,793.89,141.99,NA,1013.00,988.00
5,794.04,144.42,NA,1017.00,987.50
6,794.19,146.86,NA,1011.50,989.00
7,794.35,149.29,NA,1004.00,970.50
8,794.50,151.72,NA,1028.50,995.00
9,794.65,154.15,NA,1011.00,985.50
10,794.81,156.58,NA,1038.00,1002.50
11,794.96,159.01,NA,1033.00,1007.50
12,795.12,161.44,NA,1009.50,975.50
13,795.27,163.87,NA,1044.00,1008.50
14,795.42,166.30,NA,1016.50,976.00
15,795.58,168.73,NA,1031.00,994.00
16,795.73,171.16,NA,1017.00,987.50
17,795.88,173.58,NA,1023.00,982.00
18,796.04,176.01,NA,1047.50,1009.50
19,796.19,178.44,NA,1048.50,1005.50
20,796.35,180.86,NA,1048.50,998.00
21,796.50,183.29,NA,1027.50,991.50
22,796.65,185.71,NA,1079.00,1030.00
23,796.81,188.14,NA,1050.00,1017.00
24,796.96,190.56,NA,1047.50,995.00
25,797.11,192.98,NA,1055.00,1014.50
26,797.27,195.41,NA,1071.50,1029.50
27,797.42,197.83,NA,1062.50,1014.00
28,797.58,200.25,NA,1070.00,1015.00
29,797.73,202.67,NA,1052.00,1000.50
30,797.88,205.09,NA,1048.50,990.50
31,798.04,207.51,NA,1052.00,1002.50
32,798.19,209.93,NA,1043.50,996.00
33,798.35,212.35,NA,1058.00,999.00
34,798.50,214.77,NA,1057.00,1000.00
35,798.66,217.18,NA,1074.00,1004.50
36,798.81,219.60,NA,1053.00,997.00
37,798.96,222.02,NA,1101.50,1013.50
38,799.12,224.43,NA,1100.50,995.00
39,799.27,226.85,NA,1143.50,1008.50
40,799.43,229.27,NA,1275.50,1021.00
41,799.58,231.68,NA,1487.00,1000.00
42,799.74,234.09,NA,1897.00,1006.50
43,799.89,236.51,NA,2468.50,1054.00
44,800.04,238.92,NA,2914.50,1045.50
45,800.20,241.33,NA,3195.50,996.00
46,800.35,243.75,NA,3374.00,1007.00
47,800.51,246.16,99.34,3497.00,1007.50
48,800.66,248.57,372.54,3597.00,1023.00
49,800.82,250.98,560.74,3711.00,1046.50
50,800.97,253.39,644.70,3826.50,1027.50
51,801.13,255.80,701.84,3938.00,1021.00
52,801.28,258.21,733.99,4005.00,1028.50
53,801.43,260.61,793.99,4062.00,1012.50
54,801.59,263.02,902.36,4193.00,1027.50
55,801.74,265.43,991.63,4250.00,999.00
56,801.90,267.83,1065.53,4341.50,1020.00
57,802.05,270.24,1123.95,4393.50,1024.00
58,802.21,272.65,1191.59,4450.50,1021.00
59,802.36,275.05,1180.15,4419.00,1014.50
60,802.52,277.46,1100.22,4314.50,1017.00
61,802.67,279.86,1068.90,4273.00,1030.00
62,802.83,282.26,966.72,4139.00,1038.00
63,802.98,284.66,826.76,3940.50,1019.00
64,803.14,287.07,684.72,3783.00,1042.50
65,803.29,289.47,554.26,3589.50,1021.00
66,803.45,291.87,417.21,3413.50,1037.00
67,803.60,294.27,336.31,3262.00,1010.50
