ENLIGHTEN Version,4.1.22
Measurement ID,20250220-202605-414334-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,benzene
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,32
Timestamp,2025-02-20 20:26:05.414334
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,853.20,850.10
1,793.43,134.69,NA,850.20,848.40
2,793.58,137.12,NA,853.40,849.60
3,793.73,139.56,NA,851.00,847.40
4,793.89,141.99,NA,849.00,849.40
5,794.04,144.42,NA,852.90,851.00
6,794.19,146.86,NA,852.00,851.70
7,794.35,149.29,NA,850.80,849.80
8,794.50,151.72,NA,851.80,850.10
9,794.65,154.15,NA,853.20,849.60
10,794.81,156.58,NA,852.40,848.60
11,794.96,159.01,NA,851.60,850.60
12,795.12,161.44,NA,852.60,848.80
13,795.27,163.87,NA,853.80,852.40
14,795.42,166.30,NA,849.60,850.60
15,795.58,168.73,NA,851.80,850.20
16,795.73,171.16,NA,852.60,847.70
17,795.88,173.58,NA,851.60,850.60
18,796.04,176.01,NA,852.00,851.40
19,796.19,178.44,NA,854.90,849.20
20,796.35,180.86,NA,852.90,849.40
21,796.50,183.29,NA,852.10,847.70
22,796.65,185.71,NA,853.10,853.80
23,796.81,188.14,NA,852.80,852.80
24,796.96,190.56,NA,850.40,847.60
25,797.11,192.98,NA,853.10,854.50
26,797.27,195.41,NA,853.10,850.60
27,797.42,197.83,NA,854.70,851.80
28,797.58,200.25,NA,852.40,853.40
29,797.73,202.67,NA,853.30,851.60
30,797.88,205.09,NA,852.90,848.90
31,798.04,207.51,NA,851.40,851.60
32,798.19,209.93,NA,852.20,852.70
33,798.35,212.35,NA,853.50,851.00
34,798.50,214.77,NA,854.00,849.80
35,798.66,217.18,NA,854.10,852.40
36,798.81,219.60,NA,853.00,850.60
37,798.96,222.02,NA,855.60,851.20
38,799.12,224.43,NA,854.80,849.80
39,799.27,226.85,NA,857.30,849.80
40,799.43,229.27,NA,866.20,851.40
41,799.58,231.68,NA,876.70,849.60
42,799.74,234.09,NA,897.00,850.00
43,799.89,236.51,NA,922.20,855.60
44,800.04,238.92,NA,940.00,853.00
45,800.20,241.33,NA,951.70,850.80
46,800.35,243.75,NA,952.00,849.60
47,800.51,246.16,8.75,951.70,851.60
48,800.66,248.57,20.38,951.10,853.50
49,800.82,250.98,16.06,945.70,853.60
50,800.97,253.39,13.96,944.10,851.20
51,801.13,255.80,7.13,939.50,852.60
52,801.28,258.21,2.36,932.00,852.20
53,801.43,260.61,2.67,931.20,851.00
54,801.59,263.02,0.66,928.40,853.60
55,801.74,265.43,3.61,926.30,848.60
56,801.90,267.83,2.15,926.20,852.40
57,802.05,270.24,6.21,926.90,849.60
58,802.21,272.65,1.09,923.60,850.80
59,802.36,275.05,0.00,919.70,852.30
60,802.52,277.46,0.00,918.70,852.40
61,802.67,279.86,0.46,921.50,852.80
62,802.83,282.26,0.00,918.50,854.80
63,802.98,284.66,2.21,920.40,852.00
64,803.14,287.07,0.00,916.50,852.40
65,803.29,289.47,0.00,915.20,851.80
66,803.45,291.87,0.24,917.00,851.80
67,803.60,294.27,0.00,914.70,851.30
68,803.76,296.67,0.00,916.00,852.30
69,803.91,299.07,0.00,908.30,848.20
70,804.07,301.47,0.00,915.80,853.60
71,804.22,303.87,2.36,916.30,850.20
72,804.38,306.26,0.00,913.30,852.60
73,804.53,308.66,0.00,913.10,852.00
