ENLIGHTEN Version,4.1.22
Measurement ID,20250220-203100-186764-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,caffeine
Declared Match,
Declared Score,0
Scan Averaging,4
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,300
Timestamp,2025-02-20 20:31:00.186764
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,967.50,909.50
1,793.43,134.69,NA,974.00,921.25
2,793.58,137.12,NA,989.25,919.50
3,793.73,139.56,NA,977.00,910.25
4,793.89,141.99,NA,981.50,914.25
5,794.04,144.42,NA,977.25,917.50
6,794.19,146.86,NA,978.00,915.00
7,794.35,149.29,NA,968.75,908.00
8,794.50,151.72,NA,989.00,927.50
9,794.65,154.15,NA,985.00,916.75
10,794.81,156.58,NA,991.25,920.00
11,794.96,159.01,NA,994.00,918.25
12,795.12,161.44,NA,977.25,915.75
13,795.27,163.87,NA,1002.50,923.50
14,795.42,166.30,NA,986.25,913.50
15,795.58,168.73,NA,994.75,916.75
16,795.73,171.16,NA,989.00,916.75
17,795.88,173.58,NA,994.50,921.75
18,796.04,176.01,NA,1006.25,923.00
19,796.19,178.44,NA,1006.25,927.50
20,796.35,180.86,NA,1006.00,922.00
21,796.50,183.29,NA,998.75,921.50
22,796.65,185.71,NA,1029.75,942.00
23,796.81,188.14,NA,1009.00,929.50
24,796.96,190.56,NA,1012.25,927.50
25,797.11,192.98,NA,1009.75,931.50
26,797.27,195.41,NA,1022.50,936.25
27,797.42,197.83,NA,1023.00,928.00
28,797.58,200.25,NA,1028.50,929.50
29,797.73,202.67,NA,1026.25,925.50
30,797.88,205.09,NA,1012.00,917.50
31,798.04,207.51,NA,1024.75,926.00
32,798.19,209.93,NA,1021.75,922.50
33,798.35,212.35,NA,1034.25,930.50
34,798.50,214.77,NA,1029.25,923.50
35,798.66,217.18,NA,1050.00,927.25
36,798.81,219.60,NA,1052.75,926.50
37,798.96,222.02,NA,1088.25,935.50
38,799.12,224.43,NA,1140.25,929.75
39,799.27,226.85,NA,1264.00,932.00
40,799.43,229.27,NA,1545.50,936.50
41,799.58,231.68,NA,2103.75,930.50
42,799.74,234.09,NA,3055.00,929.50
43,799.89,236.51,NA,4172.75,952.25
44,800.04,238.92,NA,5013.75,952.50
45,800.20,241.33,NA,5399.25,928.75
46,800.35,243.75,NA,5442.25,930.75
47,800.51,246.16,283.69,5325.25,930.50
48,800.66,248.57,250.11,5168.00,944.75
49,800.82,250.98,56.82,5092.75,949.25
50,800.97,253.39,0.80,4956.00,940.50
51,801.13,255.80,0.00,4895.75,943.75
52,801.28,258.21,0.00,4872.25,943.50
53,801.43,260.61,0.00,4830.75,934.75
54,801.59,263.02,0.00,4843.50,938.75
55,801.74,265.43,0.00,4813.25,929.75
56,801.90,267.83,0.00,4853.75,936.75
57,802.05,270.24,0.00,4873.75,935.75
58,802.21,272.65,0.00,4891.00,942.25
59,802.36,275.05,0.00,4908.75,939.75
60,802.52,277.46,0.72,4961.50,940.50
61,802.67,279.86,23.77,5016.75,944.00
62,802.83,282.26,42.98,5037.50,951.50
63,802.98,284.66,42.27,5038.75,936.50
64,803.14,287.07,54.04,5094.00,951.25
65,803.29,289.47,58.29,5100.75,939.75
66,803.45,291.87,120.00,5196.00,948.00
67,803.60,294.27,144.77,5219.25,928.50
68,803.76,296.67,141.37,5269.00,952.75
69,803.91,299.07,181.49,5324.75,920.00
70,804.07,301.47,259.08,5470.75,939.50
71,804.22,303.87,358.36,5600.50,932.00
72,804.38,306.26,508.49,5796.00,932.25
73,804.53,308.66,652.31,5974.00,941.00
74,804.69,311.06,820.16,6153.75,937.00
75,804.84,313.45,941.42,6272.75,925.50
76,805.00,315.85,918.11,6272.00,938.00
77,805.15,318.24,800.64,6176.00,948.75
78,805.31,320.64,676.33,6051.75,937.75
79,805.46,323.03,465.65,5813.00,931.00
80,805.62,325.42,316.06,5666.75,941.00
81,805.77,327.82,161.07,5478.75,929.00
82,805.93,330.21,59.46,5370.00,940.25
83,806.09,332.60,12.05,5305.25,943.50
84,806.24,334.99,0.71,5257.75,930.50
85,806.40,337.38,0.00,5216.75,927.50
86,806.55,339.77,0.00,5218.25,935.75
87,806.71,342.16,0.00,5218.75,929.25
88,806.86,344.55,0.00,5265.25,941.50
89,807.02,346.94,0.01,5322.50,942.50
90,807.17,349.32,3.41,5397.00,929.25
91,807.33,351.71,47.08,5565.75,946.00
92,807.48,354.10,187.78,5774.25,936.50
93,807.64,356.48,412.66,6081.50,946.25
94,807.80,358.87,742.20,6512.50,945.25
95,807.95,361.25,1101.60,6934.25,936.25
96,808.11,363.63,1481.43,7386.75,945.25
97,808.26,366.02,1694.62,7643.25,933.50
98,808.42,368.40,1752.18,7773.25,934.25
99,808.57,370.78,1649.28,7724.00,938.75
100,808.73,373.16,1531.23,7644.00,935.50
101,808.89,375.55,1339.80,7478.25,950.00
102,809.04,377.93,1178.17,7319.75,927.00
103,809.20,380.31,1055.73,7233.25,932.50
104,809.35,382.68,1017.47,7215.25,932.50
105,809.51,385.06,1172.83,7414.50,942.50
106,809.66,387.44,1445.07,7666.75,939.00
107,809.82,389.82,1712.18,7867.00,932.75
108,809.98,392.19,1763.82,7866.25,927.00
109,810.13,394.57,1510.07,7643.25,947.50
110,810.29,396.95,1076.92,7226.75,943.00
111,810.44,399.32,617.80,6715.50,935.25
112,810.60,401.70,296.28,6346.75,931.25
113,810.76,404.07,84.75,6093.50,937.50
114,810.91,406.44,8.30,5925.00,934.25
115,811.07,408.82,0.00,5803.00,934.75
116,811.22,411.19,0.00,5786.50,941.25
117,811.38,413.56,0.00,5788.75,929.50
118,811.54,415.93,0.00,5867.50,939.50
119,811.69,418.30,0.30,5899.00,928.00
120,811.85,420.67,16.92,6003.00,929.00
121,812.00,423.04,111.81,6158.75,945.50
122,812.16,425.41,188.95,6227.50,934.50
123,812.32,427.77,257.30,6395.50,941.75
124,812.47,430.14,324.38,6616.50,939.75
125,812.63,432.51,472.91,6991.25,934.50
126,812.79,434.87,791.95,7605.50,929.75
127,812.94,437.24,1486.67,8652.00,941.50
128,813.10,439.60,2564.07,9860.50,927.75
129,813.26,441.97,3786.48,11022.75,935.75
130,813.41,444.33,4426.42,11576.50,939.25
131,813.57,446.69,4078.51,11314.25,942.50
132,813.72,449.06,3026.79,10376.25,927.00
133,813.88,451.42,1894.37,9217.25,924.00
134,814.04,453.78,1004.47,8087.25,931.25
135,814.19,456.14,516.67,7321.00,922.00
136,814.35,458.50,242.99,6796.50,927.25
137,814.51,460.86,132.52,6574.25,938.50
138,814.66,463.22,84.13,6457.50,921.50
139,814.82,465.58,71.85,6460.00,947.50
140,814.98,467.93,128.33,6591.25,929.00
141,815.13,470.29,234.82,6863.50,929.25
142,815.29,472.65,451.88,7374.50,932.75
143,815.45,475.00,975.97,8388.50,943.00
144,815.60,477.36,2042.50,9887.00,932.75
145,815.76,479.71,3756.53,11690.25,932.00
146,815.92,482.06,5505.35,13149.25,920.00
147,816.07,484.42,6015.23,13496.50,915.50
148,816.23,486.77,4861.65,12604.00,937.75
149,816.39,489.12,2920.94,10837.75,930.75
150,816.54,491.47,1316.48,8981.75,956.50
151,816.70,493.82,460.08,7653.25,949.25
152,816.86,496.17,100.18,6830.00,925.00
153,817.01,498.52,9.17,6429.00,931.75
154,817.17,500.87,0.05,6201.75,937.00
155,817.33,503.22,0.00,6095.75,931.25
156,817.48,505.57,0.00,6055.00,929.50
157,817.64,507.91,0.00,6021.00,945.00
158,817.80,510.26,0.00,6006.50,928.50
159,817.95,512.60,0.00,6041.50,918.25
160,818.11,514.95,0.00,6048.25,938.25
161,818.27,517.29,0.00,6132.75,935.00
162,818.42,519.64,0.00,6174.00,936.25
163,818.58,521.98,0.00,6295.00,940.50
164,818.74,524.32,0.00,6445.50,933.50
165,818.90,526.66,4.26,6609.75,920.50
166,819.05,529.00,57.45,6864.00,936.75
167,819.21,531.34,251.10,7211.25,921.25
168,819.37,533.68,550.47,7681.25,934.00
169,819.52,536.02,940.60,8397.25,938.00
170,819.68,538.36,1416.24,9394.75,946.25
171,819.84,540.70,2162.89,10944.75,923.00
172,819.99,543.04,3403.04,13429.25,948.25
173,820.15,545.37,5363.57,16880.25,936.25
174,820.31,547.71,8652.58,21896.25,933.50
175,820.47,550.04,13262.67,27844.25,940.75
176,820.62,552.38,18510.46,33741.25,927.75
177,820.78,554.71,22291.04,37701.50,938.25
178,820.94,557.05,22743.41,38334.50,935.75
179,821.10,559.38,19992.99,35803.75,930.50
180,821.25,561.71,15552.55,31064.50,926.75
181,821.41,564.04,11256.49,25716.00,929.75
182,821.57,566.37,8081.61,21078.75,927.75
183,821.72,568.70,5961.45,17510.25,934.50
184,821.88,571.03,4579.40,14952.00,930.75
185,822.04,573.36,3527.35,12986.75,942.25
186,822.20,575.69,2758.22,11576.25,936.75
187,822.35,578.02,2130.91,10491.75,946.00
188,822.51,580.34,1618.19,9609.00,935.00
189,822.67,582.67,1212.67,8908.75,934.00
190,822.83,584.99,876.89,8338.00,936.25
191,822.98,587.32,579.69,7916.00,936.00
192,823.14,589.64,251.74,7525.50,933.00
193,823.30,591.97,50.49,7191.75,921.00
194,823.46,594.29,1.90,6931.50,932.00
195,823.61,596.61,0.00,6781.75,941.50
196,823.77,598.93,0.00,6622.25,929.50
197,823.93,601.25,0.00,6625.00,934.50
198,824.09,603.57,0.00,6699.25,917.00
199,824.24,605.89,12.10,6833.00,928.00
200,824.40,608.21,127.79,6954.00,930.75
201,824.56,610.53,366.06,7044.50,924.00
202,824.72,612.85,361.42,7008.00,943.50
203,824.87,615.17,165.92,6847.25,927.00
204,825.03,617.48,39.06,6728.75,932.75
205,825.19,619.80,1.43,6569.00,940.00
206,825.35,622.11,0.00,6461.00,942.75
207,825.50,624.43,0.00,6350.50,939.25
208,825.66,626.74,0.00,6328.50,939.25
209,825.82,629.05,0.00,6357.50,919.00
210,825.98,631.36,4.21,6609.75,925.50
211,826.14,633.68,82.40,7113.75,928.00
212,826.29,635.99,506.62,8052.50,930.25
213,826.45,638.30,1622.45,9537.75,934.50
214,826.61,640.61,3261.72,11139.50,936.75
215,826.77,642.92,4666.05,12303.00,927.50
216,826.92,645.22,4816.71,12424.00,926.25
217,827.08,647.53,3647.33,11489.75,931.50
218,827.24,649.84,1990.94,9822.00,919.75
219,827.40,652.14,822.43,8275.75,930.25
220,827.56,654.45,260.19,7208.00,934.50
221,827.71,656.76,55.44,6579.00,924.50
222,827.87,659.06,5.58,6270.75,934.50
223,828.03,661.36,0.17,6131.75,927.50
224,828.19,663.67,0.00,6034.50,931.75
225,828.34,665.97,0.00,6003.25,916.75
226,828.50,668.27,0.00,5971.50,957.25
227,828.66,670.57,0.00,5951.50,932.25
228,828.82,672.87,0.00,5932.00,937.00
229,828.98,675.17,0.00,5920.50,916.50
230,829.13,677.47,0.00,5953.50,925.00
231,829.29,679.77,0.00,5918.25,926.00
232,829.45,682.06,0.00,5984.50,935.50
233,829.61,684.36,0.00,5941.75,928.75
234,829.77,686.66,0.00,6016.00,966.00
235,829.92,688.95,0.05,6034.75,920.50
236,830.08,691.25,9.57,6162.25,929.00
237,830.24,693.54,61.69,6243.50,929.75
238,830.40,695.83,231.02,6412.50,927.00
239,830.56,698.13,368.71,6506.00,932.25
240,830.72,700.42,338.45,6499.25,923.00
241,830.87,702.71,141.41,6363.75,918.00
242,831.03,705.00,31.35,6262.75,906.50
243,831.19,707.29,1.17,6183.00,941.50
244,831.35,709.58,0.00,6126.00,928.50
245,831.51,711.87,0.00,6102.50,942.50
246,831.66,714.15,0.00,6079.00,916.50
247,831.82,716.44,0.00,6142.75,918.00
248,831.98,718.73,0.92,6224.25,931.25
249,832.14,721.01,15.16,6294.75,912.25
250,832.30,723.30,69.78,6439.00,919.25
251,832.46,725.58,179.26,6702.00,930.00
252,832.61,727.87,342.71,7133.75,938.25
253,832.77,730.15,591.80,7763.25,925.00
254,832.93,732.43,1173.41,8985.00,906.25
255,833.09,734.71,2278.45,10763.75,942.50
256,833.25,736.99,4124.25,12970.00,935.75
257,833.41,739.27,6009.21,14762.75,936.75
258,833.56,741.55,6724.00,15382.50,925.50
259,833.72,743.83,5661.10,14486.50,928.00
260,833.88,746.11,3761.81,12646.25,924.50
261,834.04,748.39,2099.89,10584.25,923.25
262,834.20,750.66,1123.10,8979.50,926.25
263,834.36,752.94,658.79,7990.25,940.75
264,834.51,755.22,486.59,7499.00,930.00
265,834.67,757.49,409.18,7216.25,934.00
266,834.83,759.76,410.75,7094.50,928.75
267,834.99,762.04,478.86,7097.25,931.00
268,835.15,764.31,469.53,7021.25,932.25
269,835.31,766.58,378.61,6930.75,921.50
270,835.47,768.85,156.83,6731.50,916.25
271,835.62,771.12,30.13,6606.00,939.25
272,835.78,773.39,0.86,6428.75,920.50
273,835.94,775.66,0.00,6359.00,929.25
274,836.10,777.93,0.00,6337.00,921.50
275,836.26,780.20,0.00,6327.50,926.00
276,836.42,782.46,0.00,6339.50,922.50
277,836.57,784.73,0.00,6364.50,920.50
278,836.73,787.00,0.33,6430.50,920.75
279,836.89,789.26,8.78,6560.50,924.00
280,837.05,791.52,56.72,6768.50,915.25
281,837.21,793.79,232.62,7244.00,930.00
282,837.37,796.05,716.66,8040.00,933.75
283,837.53,798.31,1662.33,9051.50,929.75
284,837.69,800.57,2602.85,9779.25,922.00
285,837.84,802.83,2638.15,9848.50,951.50
286,838.00,805.09,1719.19,9133.00,921.75
287,838.16,807.35,763.49,8136.50,923.00
288,838.32,809.61,275.49,7327.00,925.50
289,838.48,811.87,99.45,6839.75,921.75
290,838.64,814.13,64.76,6705.50,932.25
291,838.80,816.38,30.53,6542.25,928.50
292,838.95,818.64,33.94,6525.75,927.00
293,839.11,820.89,22.82,6505.75,921.00
294,839.27,823.15,4.18,6487.25,922.75
295,839.43,825.40,0.00,6435.75,927.00
296,839.59,827.65,0.00,6460.00,929.50
297,839.75,829.90,0.00,6472.75,937.75
298,839.91,832.15,0.00,6455.75,920.00
299,840.07,834.40,21.74,6534.00,936.00
300,840.22,836.65,0.00,6468.25,944.00
301,840.38,838.90,0.00,6494.25,932.75
302,840.54,841.15,0.00,6470.00,920.25
303,840.70,843.40,0.00,6513.00,927.50
304,840.86,845.65,0.00,6515.50,936.25
305,841.02,847.89,0.00,6520.00,926.50
306,841.18,850.14,0.92,6587.25,937.50
307,841.34,852.38,17.85,6639.25,926.50
308,841.50,854.63,29.43,6672.00,954.25
309,841.65,856.87,78.63,6736.50,932.75
310,841.81,859.11,81.26,6746.50,926.00
311,841.97,861.35,114.83,6806.75,919.00
312,842.13,863.60,126.06,6846.25,931.25
313,842.29,865.84,140.13,6869.50,924.00
314,842.45,868.07,134.17,6873.75,922.75
315,842.61,870.31,120.98,6880.50,924.50
316,842.77,872.55,81.81,6851.75,935.00
317,842.93,874.79,63.49,6829.75,932.25
318,843.08,877.03,54.48,6824.75,937.00
319,843.24,879.26,51.75,6816.25,912.25
320,843.40,881.50,23.68,6802.00,912.25
321,843.56,883.73,0.00,6756.75,932.50
322,843.72,885.97,4.50,6808.75,933.50
323,843.88,888.20,6.31,6810.50,922.00
324,844.04,890.43,6.27,6815.00,921.25
325,844.20,892.66,32.89,6869.00,932.25
326,844.36,894.89,37.97,6894.50,923.50
327,844.52,897.12,0.00,6834.00,922.50
328,844.67,899.35,0.00,6866.50,933.75
329,844.83,901.58,0.43,6887.25,927.25
330,844.99,903.81,0.00,6875.25,910.50
331,845.15,906.04,0.00,6856.50,920.50
332,845.31,908.26,0.51,6937.75,929.50
333,845.47,910.49,8.57,6995.75,917.00
334,845.63,912.71,25.95,7067.00,932.50
335,845.79,914.94,71.42,7207.75,927.00
336,845.95,917.16,158.35,7469.25,931.50
