ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200944-384161-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,cyclohexanol
Declared Match,
Declared Score,0
Scan Averaging,6
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,198
Timestamp,2025-02-20 20:09:44.384161
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,898.17,887.17
1,793.43,134.69,NA,905.00,891.00
2,793.58,137.12,NA,905.00,896.00
3,793.73,139.56,NA,900.50,886.83
4,793.89,141.99,NA,901.50,891.83
5,794.04,144.42,NA,902.17,886.33
6,794.19,146.86,NA,900.67,891.00
7,794.35,149.29,NA,898.00,886.67
8,794.50,151.72,NA,910.17,895.83
9,794.65,154.15,NA,905.17,889.83
10,794.81,156.58,NA,909.50,896.83
11,794.96,159.01,NA,910.33,895.83
12,795.12,161.44,NA,900.50,889.33
13,795.27,163.87,NA,911.17,898.83
14,795.42,166.30,NA,901.50,890.00
15,795.58,168.73,NA,910.83,896.50
16,795.73,171.16,NA,903.67,887.67
17,795.88,173.58,NA,907.50,894.33
18,796.04,176.01,NA,910.17,900.00
19,796.19,178.44,NA,914.67,898.33
20,796.35,180.86,NA,908.50,898.83
21,796.50,183.29,NA,903.67,891.83
22,796.65,185.71,NA,922.67,910.50
23,796.81,188.14,NA,910.50,901.83
24,796.96,190.56,NA,909.67,898.67
25,797.11,192.98,NA,915.83,903.00
26,797.27,195.41,NA,917.33,903.50
27,797.42,197.83,NA,917.17,902.67
28,797.58,200.25,NA,922.17,907.00
29,797.73,202.67,NA,912.33,894.67
30,797.88,205.09,NA,912.50,896.17
31,798.04,207.51,NA,914.17,895.83
32,798.19,209.93,NA,912.50,894.50
33,798.35,212.35,NA,914.33,899.17
34,798.50,214.77,NA,914.83,894.83
35,798.66,217.18,NA,917.83,898.00
36,798.81,219.60,NA,915.67,892.00
37,798.96,222.02,NA,926.00,902.50
38,799.12,224.43,NA,924.50,895.83
39,799.27,226.85,NA,936.17,897.83
40,799.43,229.27,NA,975.00,904.00
41,799.58,231.68,NA,1018.17,895.50
42,799.74,234.09,NA,1106.67,898.50
43,799.89,236.51,NA,1238.00,920.00
44,800.04,238.92,NA,1340.83,913.33
45,800.20,241.33,NA,1375.33,894.00
46,800.35,243.75,NA,1392.50,898.83
47,800.51,246.16,29.48,1394.00,896.00
48,800.66,248.57,63.67,1393.83,904.17
49,800.82,250.98,45.06,1382.17,905.67
50,800.97,253.39,14.93,1359.83,908.83
51,801.13,255.80,13.66,1354.50,906.00
52,801.28,258.21,8.41,1344.00,905.33
53,801.43,260.61,3.46,1331.50,898.00
54,801.59,263.02,0.12,1329.50,906.00
55,801.74,265.43,0.00,1307.83,893.33
56,801.90,267.83,0.00,1313.17,903.00
57,802.05,270.24,0.00,1315.50,906.50
58,802.21,272.65,0.00,1312.67,901.50
59,802.36,275.05,0.71,1315.67,901.50
60,802.52,277.46,0.00,1302.50,899.83
61,802.67,279.86,0.00,1304.33,907.33
62,802.83,282.26,0.00,1312.83,909.17
63,802.98,284.66,0.00,1306.33,903.67
64,803.14,287.07,0.00,1323.67,911.83
65,803.29,289.47,0.00,1314.67,901.17
66,803.45,291.87,1.25,1336.67,911.17
67,803.60,294.27,11.73,1340.50,897.33
68,803.76,296.67,23.62,1365.33,912.67
69,803.91,299.07,46.05,1373.33,888.83
70,804.07,301.47,66.67,1415.83,901.33
71,804.22,303.87,101.67,1462.50,901.83
72,804.38,306.26,135.07,1503.33,904.67
73,804.53,308.66,178.89,1550.33,905.00
74,804.69,311.06,211.55,1578.50,899.33
75,804.84,313.45,212.80,1580.83,895.17
76,805.00,315.85,191.95,1575.83,901.00
77,805.15,318.24,170.72,1572.83,908.33
78,805.31,320.64,152.87,1558.50,905.50
79,805.46,323.03,163.85,1577.67,898.67
80,805.62,325.42,184.67,1625.17,908.00
81,805.77,327.82,234.08,1691.17,897.00
82,805.93,330.21,318.92,1816.50,908.67
83,806.09,332.60,460.60,1980.00,905.00
84,806.24,334.99,608.95,2124.33,896.33
85,806.40,337.38,736.51,2252.67,893.17
86,806.55,339.77,777.30,2316.17,906.00
87,806.71,342.16,744.07,2297.00,901.33
88,806.86,344.55,660.13,2229.83,906.17
89,807.02,346.94,564.34,2131.17,908.00
90,807.17,349.32,494.40,2038.83,898.00
91,807.33,351.71,430.36,1962.00,907.17
92,807.48,354.10,387.61,1893.17,899.33
93,807.64,356.48,352.25,1844.17,903.00
94,807.80,358.87,329.02,1816.17,910.17
95,807.95,361.25,311.59,1780.50,899.67
96,808.11,363.63,290.46,1756.17,905.50
97,808.26,366.02,284.50,1736.50,895.33
98,808.42,368.40,278.34,1732.33,899.17
99,808.57,370.78,261.57,1715.67,902.67
100,808.73,373.16,258.58,1711.83,899.67
101,808.89,375.55,255.87,1719.50,908.67
102,809.04,377.93,262.20,1723.00,898.00
103,809.20,380.31,261.88,1729.83,898.33
104,809.35,382.68,283.67,1765.83,898.33
105,809.51,385.06,321.07,1826.17,905.33
106,809.66,387.44,377.03,1901.67,900.50
107,809.82,389.82,428.71,1983.33,899.67
108,809.98,392.19,505.70,2116.00,896.17
109,810.13,394.57,591.48,2291.83,904.17
110,810.29,396.95,718.89,2529.17,906.33
111,810.44,399.32,953.53,2887.00,903.67
112,810.60,401.70,1337.50,3364.83,903.83
113,810.76,404.07,1863.08,3901.50,898.83
114,810.91,406.44,2298.09,4282.83,905.00
115,811.07,408.82,2393.25,4353.33,900.50
116,811.22,411.19,2027.29,4042.83,908.67
117,811.38,413.56,1460.27,3496.17,901.17
118,811.54,415.93,954.05,2922.33,906.50
119,811.69,418.30,640.85,2478.33,898.17
120,811.85,420.67,466.86,2179.67,897.83
121,812.00,423.04,392.78,2027.17,903.67
122,812.16,425.41,362.08,1938.00,899.33
123,812.32,427.77,353.31,1910.17,909.00
124,812.47,430.14,363.76,1907.50,899.83
125,812.63,432.51,377.48,1943.00,907.67
126,812.79,434.87,398.18,1985.17,895.17
127,812.94,437.24,442.63,2098.67,904.83
128,813.10,439.60,538.39,2280.00,894.00
129,813.26,441.97,701.15,2581.67,904.50
130,813.41,444.33,984.68,3015.50,896.83
131,813.57,446.69,1441.48,3634.67,898.17
132,813.72,449.06,2014.35,4304.50,894.00
133,813.88,451.42,2571.31,4904.83,897.00
134,814.04,453.78,2918.29,5283.67,902.00
135,814.19,456.14,2901.89,5311.00,893.00
136,814.35,458.50,2556.88,5028.50,895.00
137,814.51,460.86,2116.30,4640.17,907.67
138,814.66,463.22,1762.38,4285.67,892.00
139,814.82,465.58,1586.26,4148.33,912.83
140,814.98,467.93,1669.97,4291.00,896.50
141,815.13,470.29,2048.67,4790.17,896.33
142,815.29,472.65,2701.49,5532.17,896.83
143,815.45,475.00,3472.45,6306.50,903.67
144,815.60,477.36,4030.42,6809.33,898.83
145,815.76,479.71,4009.70,6772.83,898.83
146,815.92,482.06,3426.28,6192.00,889.67
147,816.07,484.42,2610.38,5323.67,894.67
148,816.23,486.77,1859.20,4414.33,906.33
149,816.39,489.12,1292.75,3598.17,895.00
150,816.54,491.47,913.70,3000.67,912.33
151,816.70,493.82,676.75,2574.33,912.00
152,816.86,496.17,520.82,2258.33,893.17
153,817.01,498.52,416.55,2067.33,902.00
154,817.17,500.87,337.17,1919.83,899.50
155,817.33,503.22,267.72,1803.67,901.00
156,817.48,505.57,220.05,1721.50,892.83
157,817.64,507.91,165.11,1651.33,904.67
158,817.80,510.26,132.83,1591.33,893.17
159,817.95,512.60,106.93,1545.50,892.67
160,818.11,514.95,104.76,1541.67,898.33
161,818.27,517.29,93.55,1526.17,904.33
162,818.42,519.64,85.65,1511.83,900.67
163,818.58,521.98,76.20,1507.17,906.33
164,818.74,524.32,70.58,1490.67,895.00
165,818.90,526.66,76.69,1499.00,891.00
166,819.05,529.00,85.40,1525.33,902.17
167,819.21,531.34,104.74,1550.00,893.83
168,819.37,533.68,133.73,1602.50,895.00
169,819.52,536.02,172.19,1686.33,904.00
170,819.68,538.36,228.51,1807.67,902.00
171,819.84,540.70,310.03,1996.50,891.50
172,819.99,543.04,446.64,2353.67,906.33
173,820.15,545.37,702.72,2943.33,903.17
174,820.31,547.71,1213.57,3941.17,899.83
175,820.47,550.04,2177.68,5450.17,899.17
176,820.62,552.38,3763.64,7414.67,893.83
177,820.78,554.71,5609.20,9291.00,902.00
178,820.94,557.05,6807.38,10386.50,900.33
179,821.10,559.38,6494.59,10135.83,897.00
180,821.25,561.71,5029.00,8805.00,895.67
181,821.41,564.04,3296.71,6921.00,898.17
182,821.57,566.37,1997.09,5167.67,893.17
183,821.72,568.70,1222.60,3885.17,899.17
184,821.88,571.03,779.29,2994.17,896.00
185,822.04,573.36,545.81,2482.67,908.67
186,822.20,575.69,403.50,2151.67,901.00
187,822.35,578.02,293.29,1931.17,910.33
188,822.51,580.34,227.80,1788.67,897.83
189,822.67,582.67,181.38,1694.50,893.83
190,822.83,584.99,147.20,1637.67,902.83
191,822.98,587.32,130.58,1605.00,901.67
192,823.14,589.64,101.95,1552.00,895.67
193,823.30,591.97,82.82,1517.83,892.17
194,823.46,594.29,70.07,1501.33,896.17
195,823.61,596.61,57.30,1484.67,899.33
196,823.77,598.93,42.16,1459.67,898.83
197,823.93,601.25,40.46,1455.33,898.17
198,824.09,603.57,31.02,1428.67,890.00
199,824.24,605.89,30.54,1429.00,892.83
200,824.40,608.21,24.31,1428.00,898.67
201,824.56,610.53,12.61,1415.33,901.83
202,824.72,612.85,5.11,1402.00,901.83
203,824.87,615.17,7.61,1398.50,893.33
204,825.03,617.48,2.72,1396.17,899.83
205,825.19,619.80,1.06,1395.00,902.83
206,825.35,622.11,0.39,1393.67,904.33
207,825.50,624.43,3.53,1393.83,901.00
208,825.66,626.74,0.00,1383.33,902.50
209,825.82,629.05,0.88,1377.17,888.50
210,825.98,631.36,0.00,1372.50,894.50
211,826.14,633.68,0.00,1379.67,898.00
212,826.29,635.99,0.96,1389.33,898.50
213,826.45,638.30,1.59,1391.17,901.50
214,826.61,640.61,8.01,1403.17,898.83
215,826.77,642.92,11.69,1401.33,891.83
216,826.92,645.22,28.43,1434.33,894.17
217,827.08,647.53,44.76,1464.33,897.83
218,827.24,649.84,66.91,1496.83,891.83
219,827.40,652.14,91.16,1542.67,895.67
220,827.56,654.45,134.04,1613.67,900.67
221,827.71,656.76,186.52,1671.17,892.17
222,827.87,659.06,237.38,1731.33,899.00
223,828.03,661.36,270.66,1762.33,896.00
224,828.19,663.67,250.40,1743.17,897.83
225,828.34,665.97,201.15,1684.17,886.67
226,828.50,668.27,135.19,1625.67,911.00
227,828.66,670.57,101.25,1568.83,902.50
228,828.82,672.87,70.87,1509.50,899.67
229,828.98,675.17,58.85,1474.83,891.17
230,829.13,677.47,43.85,1454.17,898.83
231,829.29,679.77,26.20,1421.50,896.17
232,829.45,682.06,18.89,1414.17,900.17
233,829.61,684.36,7.81,1388.00,894.67
