ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201019-664913-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,diethylamine
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,573
Timestamp,2025-02-20 20:10:19.664913
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1014.00,968.50
1,793.43,134.69,NA,1023.50,981.00
2,793.58,137.12,NA,1042.00,995.50
3,793.73,139.56,NA,1021.00,983.00
4,793.89,141.99,NA,1027.50,988.50
5,794.04,144.42,NA,1022.00,986.00
6,794.19,146.86,NA,1026.50,981.00
7,794.35,149.29,NA,1012.00,969.00
8,794.50,151.72,NA,1039.00,993.50
9,794.65,154.15,NA,1022.00,991.50
10,794.81,156.58,NA,1044.50,997.00
11,794.96,159.01,NA,1044.50,1000.00
12,795.12,161.44,NA,1022.00,975.00
13,795.27,163.87,NA,1046.50,1002.00
14,795.42,166.30,NA,1023.50,968.00
15,795.58,168.73,NA,1035.00,989.50
16,795.73,171.16,NA,1027.50,981.00
17,795.88,173.58,NA,1042.00,990.50
18,796.04,176.01,NA,1056.00,1011.00
19,796.19,178.44,NA,1060.50,1008.50
20,796.35,180.86,NA,1051.50,998.00
21,796.50,183.29,NA,1038.00,993.50
22,796.65,185.71,NA,1086.00,1024.00
23,796.81,188.14,NA,1073.00,1019.00
24,796.96,190.56,NA,1053.50,1001.00
25,797.11,192.98,NA,1076.00,1007.00
26,797.27,195.41,NA,1082.00,1030.00
27,797.42,197.83,NA,1077.00,1017.00
28,797.58,200.25,NA,1078.00,1008.50
29,797.73,202.67,NA,1068.50,995.00
30,797.88,205.09,NA,1060.00,993.50
31,798.04,207.51,NA,1068.00,998.00
32,798.19,209.93,NA,1070.00,995.00
33,798.35,212.35,NA,1081.50,1002.00
34,798.50,214.77,NA,1070.00,997.00
35,798.66,217.18,NA,1087.00,1008.50
36,798.81,219.60,NA,1075.00,989.50
37,798.96,222.02,NA,1120.50,1020.00
38,799.12,224.43,NA,1127.00,1002.00
39,799.27,226.85,NA,1178.50,1007.00
40,799.43,229.27,NA,1334.00,1018.00
41,799.58,231.68,NA,1608.00,1009.50
42,799.74,234.09,NA,2108.00,1011.50
43,799.89,236.51,NA,2771.50,1053.00
44,800.04,238.92,NA,3310.50,1045.50
45,800.20,241.33,NA,3616.00,1002.00
46,800.35,243.75,NA,3779.00,1007.50
47,800.51,246.16,88.62,3856.00,1004.50
48,800.66,248.57,300.03,3912.50,1023.00
49,800.82,250.98,316.39,3903.50,1039.50
50,800.97,253.39,222.28,3845.00,1029.50
51,801.13,255.80,178.60,3817.00,1031.00
52,801.28,258.21,159.11,3785.00,1021.00
53,801.43,260.61,104.09,3698.50,1010.50
54,801.59,263.02,77.72,3661.50,1023.00
55,801.74,265.43,82.47,3626.50,1001.50
56,801.90,267.83,62.84,3604.50,1006.00
57,802.05,270.24,23.67,3566.50,1009.50
58,802.21,272.65,2.65,3543.00,1031.50
59,802.36,275.05,2.86,3530.50,1020.00
60,802.52,277.46,0.00,3511.00,1026.50
61,802.67,279.86,19.58,3556.50,1031.50
62,802.83,282.26,40.51,3571.00,1039.00
63,802.98,284.66,52.38,3557.00,1022.00
64,803.14,287.07,93.63,3626.50,1041.50
65,803.29,289.47,149.96,3671.50,1023.50
66,803.45,291.87,164.93,3684.00,1032.00
67,803.60,294.27,244.39,3738.50,1000.00
68,803.76,296.67,267.49,3797.50,1049.00
69,803.91,299.07,299.78,3754.00,981.00
70,804.07,301.47,284.65,3766.50,1022.00
71,804.22,303.87,256.24,3702.50,1000.00
72,804.38,306.26,203.96,3641.50,1008.00
73,804.53,308.66,126.93,3572.50,1028.50
74,804.69,311.06,60.24,3504.00,1019.00
75,804.84,313.45,9.35,3408.50,997.00
76,805.00,315.85,0.14,3371.00,1019.00
77,805.15,318.24,0.00,3363.50,1034.50
78,805.31,320.64,0.00,3338.50,1022.00
79,805.46,323.03,0.00,3291.50,1016.00
80,805.62,325.42,0.00,3315.50,1033.50
81,805.77,327.82,0.00,3265.00,1000.00
82,805.93,330.21,0.00,3292.50,1028.00
