ENLIGHTEN Version,4.1.22
Measurement ID,20250220-202910-748359-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,glycine
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,428
Timestamp,2025-02-20 20:29:10.748359
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,973.33,940.33
1,793.43,134.69,NA,989.00,950.33
2,793.58,137.12,NA,989.33,962.00
3,793.73,139.56,NA,983.00,947.00
4,793.89,141.99,NA,986.67,947.00
5,794.04,144.42,NA,989.00,954.33
6,794.19,146.86,NA,982.67,950.00
7,794.35,149.29,NA,978.00,934.67
8,794.50,151.72,NA,1004.33,962.67
9,794.65,154.15,NA,990.33,947.00
10,794.81,156.58,NA,996.67,962.00
11,794.96,159.01,NA,1004.67,960.00
12,795.12,161.44,NA,977.67,943.67
13,795.27,163.87,NA,1001.33,969.67
14,795.42,166.30,NA,990.33,946.33
15,795.58,168.73,NA,998.67,952.67
16,795.73,171.16,NA,981.67,946.33
17,795.88,173.58,NA,999.33,950.67
18,796.04,176.01,NA,1010.67,967.33
19,796.19,178.44,NA,1006.33,964.00
20,796.35,180.86,NA,1006.33,964.33
21,796.50,183.29,NA,998.00,951.67
22,796.65,185.71,NA,1032.67,982.00
23,796.81,188.14,NA,1014.00,963.00
24,796.96,190.56,NA,1010.00,962.00
25,797.11,192.98,NA,1033.33,970.33
26,797.27,195.41,NA,1029.67,976.67
27,797.42,197.83,NA,1023.00,974.67
28,797.58,200.25,NA,1026.33,970.00
29,797.73,202.67,NA,1016.33,958.00
30,797.88,205.09,NA,1015.00,952.00
31,798.04,207.51,NA,1025.67,959.67
32,798.19,209.93,NA,1013.33,955.33
33,798.35,212.35,NA,1025.33,965.33
34,798.50,214.77,NA,1022.67,953.67
35,798.66,217.18,NA,1041.33,971.00
36,798.81,219.60,NA,1030.33,951.67
37,798.96,222.02,NA,1062.67,970.67
38,799.12,224.43,NA,1077.33,958.00
39,799.27,226.85,NA,1144.67,968.00
40,799.43,229.27,NA,1296.33,981.00
41,799.58,231.68,NA,1539.67,960.67
42,799.74,234.09,NA,2040.33,964.67
43,799.89,236.51,NA,2596.00,1002.00
44,800.04,238.92,NA,3085.00,990.33
45,800.20,241.33,NA,3330.67,960.00
46,800.35,243.75,NA,3473.00,967.33
47,800.51,246.16,43.74,3502.00,961.33
48,800.66,248.57,67.66,3492.67,978.00
49,800.82,250.98,61.12,3508.00,994.33
50,800.97,253.39,27.60,3476.00,981.00
51,801.13,255.80,21.10,3482.67,981.67
52,801.28,258.21,1.38,3450.33,984.67
53,801.43,260.61,7.79,3452.33,971.00
54,801.59,263.02,7.65,3462.00,983.67
55,801.74,265.43,11.44,3438.33,957.33
56,801.90,267.83,20.84,3459.67,971.33
57,802.05,270.24,30.15,3473.00,970.33
58,802.21,272.65,5.95,3463.67,983.00
59,802.36,275.05,0.86,3447.00,974.33
