ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201939-285122-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,ibuprofen
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,1000
Timestamp,2025-02-20 20:19:39.285122
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1138.50,1065.50
1,793.43,134.69,NA,1161.00,1102.00
2,793.58,137.12,NA,1185.00,1113.50
3,793.73,139.56,NA,1139.50,1076.00
4,793.89,141.99,NA,1156.00,1094.50
5,794.04,144.42,NA,1176.50,1094.00
6,794.19,146.86,NA,1167.00,1094.00
7,794.35,149.29,NA,1123.50,1051.50
8,794.50,151.72,NA,1185.00,1119.50
9,794.65,154.15,NA,1173.00,1091.00
10,794.81,156.58,NA,1197.50,1119.50
11,794.96,159.01,NA,1195.50,1125.00
12,795.12,161.44,NA,1156.50,1079.50
13,795.27,163.87,NA,1219.00,1133.50
14,795.42,166.30,NA,1158.50,1083.00
15,795.58,168.73,NA,1181.50,1102.50
16,795.73,171.16,NA,1178.00,1086.50
17,795.88,173.58,NA,1189.50,1103.50
18,796.04,176.01,NA,1215.50,1127.00
19,796.19,178.44,NA,1231.50,1126.00
20,796.35,180.86,NA,1200.50,1129.00
21,796.50,183.29,NA,1194.50,1104.00
22,796.65,185.71,NA,1270.00,1171.50
23,796.81,188.14,NA,1242.00,1135.00
24,796.96,190.56,NA,1227.00,1113.00
25,797.11,192.98,NA,1245.00,1138.50
26,797.27,195.41,NA,1264.50,1155.00
27,797.42,197.83,NA,1269.50,1145.50
28,797.58,200.25,NA,1264.50,1140.50
29,797.73,202.67,NA,1240.50,1112.50
30,797.88,205.09,NA,1222.00,1108.00
31,798.04,207.51,NA,1224.00,1116.00
32,798.19,209.93,NA,1249.50,1110.00
33,798.35,212.35,NA,1259.00,1120.50
34,798.50,214.77,NA,1268.50,1115.00
35,798.66,217.18,NA,1302.00,1128.00
36,798.81,219.60,NA,1283.50,1108.00
37,798.96,222.02,NA,1360.50,1138.50
38,799.12,224.43,NA,1403.50,1126.00
39,799.27,226.85,NA,1570.50,1141.50
40,799.43,229.27,NA,1917.00,1161.50
41,799.58,231.68,NA,2644.00,1127.00
42,799.74,234.09,NA,3917.00,1136.50
43,799.89,236.51,NA,5567.50,1223.00
44,800.04,238.92,NA,6997.50,1200.50
45,800.20,241.33,NA,8002.50,1124.50
46,800.35,243.75,NA,8667.50,1140.50
47,800.51,246.16,326.39,9060.00,1125.50
48,800.66,248.57,1346.58,9504.50,1168.00
49,800.82,250.98,2175.58,9997.50,1195.50
50,800.97,253.39,2407.67,10424.50,1169.00
51,801.13,255.80,2695.29,10968.00,1172.00
52,801.28,258.21,3179.70,11524.00,1185.00
53,801.43,260.61,3738.28,11943.50,1138.50
54,801.59,263.02,4063.51,12158.00,1181.50
55,801.74,265.43,4025.00,11949.50,1118.50
56,801.90,267.83,3527.93,11457.50,1161.50
57,802.05,270.24,2711.57,10581.00,1153.50
58,802.21,272.65,1895.86,9621.00,1166.00
59,802.36,275.05,1273.18,8795.50,1158.00
60,802.52,277.46,712.30,8114.50,1165.00
61,802.67,279.86,240.79,7573.50,1177.50
62,802.83,282.26,26.91,7138.50,1191.00
63,802.98,284.66,0.26,6823.50,1171.00
64,803.14,287.07,0.00,6683.00,1191.50
65,803.29,289.47,0.00,6441.00,1154.50
66,803.45,291.87,0.00,6336.50,1185.00
67,803.60,294.27,0.00,6321.50,1134.00
68,803.76,296.67,0.00,6469.00,1212.00
69,803.91,299.07,3.53,6632.50,1102.00
70,804.07,301.47,102.71,7045.50,1149.00
71,804.22,303.87,566.11,7531.50,1154.00
72,804.38,306.26,1280.19,8003.00,1152.00
73,804.53,308.66,1699.87,8303.00,1168.00
74,804.69,311.06,1591.21,8261.50,1160.50
75,804.84,313.45,1169.27,7941.00,1125.00
76,805.00,315.85,692.03,7532.50,1156.00
77,805.15,318.24,385.81,7212.00,1199.00
78,805.31,320.64,228.90,6930.50,1166.00
79,805.46,323.03,175.53,6780.50,1139.50
80,805.62,325.42,205.83,6813.50,1177.50
81,805.77,327.82,277.09,6779.50,1123.00
82,805.93,330.21,424.94,6921.50,1164.50
83,806.09,332.60,419.18,6905.00,1185.00
84,806.24,334.99,315.47,6752.50,1121.50
85,806.40,337.38,198.24,6625.00,1100.00
86,806.55,339.77,115.90,6592.00,1161.50
87,806.71,342.16,85.32,6528.50,1136.00
88,806.86,344.55,93.19,6584.50,1170.50
89,807.02,346.94,170.03,6717.00,1156.50
90,807.17,349.32,359.57,6983.00,1129.00
91,807.33,351.71,700.45,7458.50,1175.50
92,807.48,354.10,1171.79,7942.50,1148.00
93,807.64,356.48,1691.50,8478.00,1169.00
94,807.80,358.87,2068.48,8845.50,1202.00
95,807.95,361.25,2186.37,8901.50,1168.00
96,808.11,363.63,1948.66,8685.00,1173.50
97,808.26,366.02,1399.19,8116.50,1134.00
98,808.42,368.40,875.49,7595.50,1139.50
99,808.57,370.78,453.39,7077.00,1156.50
100,808.73,373.16,238.82,6687.00,1126.00
101,808.89,375.55,204.01,6657.50,1190.50
102,809.04,377.93,225.41,6553.00,1132.00
103,809.20,380.31,420.33,6730.50,1131.00
104,809.35,382.68,580.51,6813.00,1131.00
105,809.51,385.06,629.44,6889.00,1191.00
106,809.66,387.44,479.00,6685.00,1147.00
107,809.82,389.82,372.71,6586.00,1139.50
108,809.98,392.19,218.73,6399.00,1112.00
109,810.13,394.57,83.03,6243.50,1157.50
110,810.29,396.95,48.73,6182.00,1161.50
111,810.44,399.32,41.70,6131.50,1148.00
112,810.60,401.70,86.19,6202.00,1140.00
113,810.76,404.07,165.75,6329.50,1143.00
