ENLIGHTEN Version,4.1.22
Measurement ID,20250220-203145-477888-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,melamine
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,201
Timestamp,2025-02-20 20:31:45.477888
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,911.80,886.00
1,793.43,134.69,NA,917.40,891.00
2,793.58,137.12,NA,919.40,897.80
3,793.73,139.56,NA,916.80,890.40
4,793.89,141.99,NA,917.80,894.20
5,794.04,144.42,NA,915.40,893.00
6,794.19,146.86,NA,919.60,894.40
7,794.35,149.29,NA,910.60,885.40
8,794.50,151.72,NA,925.60,895.60
9,794.65,154.15,NA,919.00,893.80
10,794.81,156.58,NA,922.00,891.80
11,794.96,159.01,NA,928.00,895.60
12,795.12,161.44,NA,918.80,890.40
13,795.27,163.87,NA,932.60,897.80
14,795.42,166.30,NA,914.20,891.40
15,795.58,168.73,NA,928.20,892.40
16,795.73,171.16,NA,921.80,891.80
17,795.88,173.58,NA,923.20,897.00
18,796.04,176.01,NA,932.40,901.80
19,796.19,178.44,NA,936.80,895.80
20,796.35,180.86,NA,934.40,896.20
21,796.50,183.29,NA,932.00,893.60
22,796.65,185.71,NA,942.60,910.60
23,796.81,188.14,NA,936.00,900.20
24,796.96,190.56,NA,933.60,896.20
25,797.11,192.98,NA,939.40,903.20
26,797.27,195.41,NA,942.20,901.20
27,797.42,197.83,NA,944.20,905.20
28,797.58,200.25,NA,946.00,903.00
29,797.73,202.67,NA,940.00,899.40
30,797.88,205.09,NA,932.80,895.60
31,798.04,207.51,NA,944.20,902.00
32,798.19,209.93,NA,948.40,897.60
33,798.35,212.35,NA,944.60,901.60
34,798.50,214.77,NA,945.80,896.80
35,798.66,217.18,NA,948.80,898.40
36,798.81,219.60,NA,955.20,897.20
37,798.96,222.02,NA,978.60,904.20
38,799.12,224.43,NA,996.80,896.20
39,799.27,226.85,NA,1055.80,902.00
40,799.43,229.27,NA,1210.40,907.00
41,799.58,231.68,NA,1494.80,901.00
42,799.74,234.09,NA,1991.40,905.00
43,799.89,236.51,NA,2566.40,927.20
44,800.04,238.92,NA,2980.20,921.00
45,800.20,241.33,NA,3175.80,904.60
46,800.35,243.75,NA,3257.20,908.60
47,800.51,246.16,308.00,3358.20,901.40
48,800.66,248.57,947.38,3376.40,912.40
49,800.82,250.98,1045.03,3305.80,918.80
50,800.97,253.39,657.03,3088.20,916.60
51,801.13,255.80,307.74,2810.40,912.80
52,801.28,258.21,88.90,2548.20,920.60
53,801.43,260.61,12.53,2355.20,904.20
54,801.59,263.02,0.18,2218.00,913.20
55,801.74,265.43,0.00,2115.60,906.80
56,801.90,267.83,0.00,2067.60,910.20
57,802.05,270.24,0.00,2011.60,912.80
58,802.21,272.65,0.00,1973.40,909.40
59,802.36,275.05,0.00,1921.00,912.00
60,802.52,277.46,0.00,1926.80,916.20
61,802.67,279.86,0.00,1902.40,918.80
62,802.83,282.26,0.00,1900.00,920.40
63,802.98,284.66,0.00,1881.80,919.00
64,803.14,287.07,0.00,1873.40,918.20
65,803.29,289.47,0.00,1867.00,909.60
66,803.45,291.87,0.00,1870.80,918.40
67,803.60,294.27,0.00,1853.20,907.60
68,803.76,296.67,0.00,1863.40,917.00
69,803.91,299.07,0.00,1843.60,898.20
70,804.07,301.47,0.00,1836.40,911.80
71,804.22,303.87,0.00,1831.20,912.00
72,804.38,306.26,0.00,1836.00,910.60
73,804.53,308.66,0.00,1843.40,914.20
74,804.69,311.06,0.00,1844.80,910.40
75,804.84,313.45,0.00,1849.80,903.00
76,805.00,315.85,0.00,1863.40,907.80
77,805.15,318.24,0.00,1882.80,921.20
78,805.31,320.64,0.00,1899.20,917.60
79,805.46,323.03,0.08,1919.60,908.00
80,805.62,325.42,1.36,1941.80,914.20
81,805.77,327.82,18.59,1978.40,904.60
82,805.93,330.21,44.14,2016.80,914.60
83,806.09,332.60,73.21,2051.40,913.20
84,806.24,334.99,104.34,2085.80,901.80
85,806.40,337.38,142.45,2149.00,907.80
86,806.55,339.77,165.33,2191.00,910.80
87,806.71,342.16,197.91,2242.20,909.60
88,806.86,344.55,248.64,2323.20,917.60
89,807.02,346.94,292.59,2382.60,914.40
90,807.17,349.32,338.18,2445.00,906.20
91,807.33,351.71,380.73,2523.40,915.00
92,807.48,354.10,447.86,2622.60,909.40
93,807.64,356.48,522.07,2745.00,911.00
94,807.80,358.87,601.93,2894.80,915.80
95,807.95,361.25,742.64,3155.80,909.20
96,808.11,363.63,904.19,3510.00,916.20
97,808.26,366.02,1190.72,4083.40,907.60
98,808.42,368.40,1745.03,5045.20,904.60
99,808.57,370.78,2774.26,6527.60,915.20
100,808.73,373.16,4457.02,8536.20,914.40
101,808.89,375.55,6428.83,10643.60,919.60
102,809.04,377.93,7812.93,12185.00,904.60
103,809.20,380.31,8154.05,12906.00,912.00
104,809.35,382.68,7924.70,13033.60,905.40
105,809.51,385.06,7743.09,12985.20,918.00
106,809.66,387.44,7806.63,12931.80,915.80
107,809.82,389.82,7636.87,12493.00,910.40
108,809.98,392.19,6945.10,11583.00,908.00
109,810.13,394.57,5765.51,10246.20,917.00
110,810.29,396.95,4522.83,8791.40,916.40
111,810.44,399.32,3557.93,7541.40,910.20
112,810.60,401.70,2896.32,6568.60,910.00
113,810.76,404.07,2495.58,5909.00,916.60
114,810.91,406.44,2180.33,5350.20,911.80
115,811.07,408.82,1984.96,4991.40,904.20
116,811.22,411.19,1762.50,4643.80,911.40
117,811.38,413.56,1547.51,4327.80,909.60
118,811.54,415.93,1343.25,4048.00,913.80
119,811.69,418.30,1128.18,3746.80,905.20
120,811.85,420.67,952.49,3516.20,905.00
121,812.00,423.04,770.09,3278.80,916.20
122,812.16,425.41,660.67,3114.00,905.80
123,812.32,427.77,591.41,3012.00,910.60
124,812.47,430.14,547.18,2943.20,916.40
125,812.63,432.51,535.00,2914.00,912.80
126,812.79,434.87,538.02,2911.40,905.80
127,812.94,437.24,538.93,2930.80,913.60
128,813.10,439.60,552.97,2954.80,904.60
129,813.26,441.97,603.41,3036.00,908.40
130,813.41,444.33,680.42,3138.80,908.60
