ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200339-486237-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,methyl ethyl ketone
Declared Match,
Declared Score,0
Scan Averaging,4
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,333
Timestamp,2025-02-20 20:03:39.486237
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,931.50,919.50
1,793.43,134.69,NA,944.00,925.50
2,793.58,137.12,NA,947.50,928.50
3,793.73,139.56,NA,942.75,920.50
4,793.89,141.99,NA,945.50,925.50
5,794.04,144.42,NA,941.25,924.50
6,794.19,146.86,NA,941.75,927.75
7,794.35,149.29,NA,933.75,914.75
8,794.50,151.72,NA,956.75,933.00
9,794.65,154.15,NA,945.50,922.00
10,794.81,156.58,NA,953.75,934.25
11,794.96,159.01,NA,959.00,931.75
12,795.12,161.44,NA,943.50,923.50
13,795.27,163.87,NA,962.25,939.75
14,795.42,166.30,NA,944.00,915.25
15,795.58,168.73,NA,953.00,927.75
16,795.73,171.16,NA,947.00,924.00
17,795.88,173.58,NA,951.75,929.75
18,796.04,176.01,NA,961.50,936.50
19,796.19,178.44,NA,965.00,938.50
20,796.35,180.86,NA,958.25,936.00
21,796.50,183.29,NA,961.75,931.25
22,796.65,185.71,NA,978.50,951.50
23,796.81,188.14,NA,967.75,939.00
24,796.96,190.56,NA,964.50,932.00
25,797.11,192.98,NA,975.25,941.50
26,797.27,195.41,NA,980.25,947.75
27,797.42,197.83,NA,978.50,941.50
28,797.58,200.25,NA,973.00,947.50
29,797.73,202.67,NA,970.25,934.75
30,797.88,205.09,NA,963.50,929.00
31,798.04,207.51,NA,967.50,931.00
32,798.19,209.93,NA,973.00,932.50
33,798.35,212.35,NA,977.25,935.25
34,798.50,214.77,NA,979.50,927.50
35,798.66,217.18,NA,992.00,936.25
36,798.81,219.60,NA,976.50,928.00
