ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201824-319544-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,mineral oil
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,438
Timestamp,2025-02-20 20:18:24.319544
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,983.67,938.00
1,793.43,134.69,NA,998.00,952.67
2,793.58,137.12,NA,1002.67,961.33
3,793.73,139.56,NA,998.67,949.67
4,793.89,141.99,NA,998.67,945.67
5,794.04,144.42,NA,996.67,957.33
6,794.19,146.86,NA,1002.00,950.67
7,794.35,149.29,NA,984.33,939.33
8,794.50,151.72,NA,1011.33,961.00
9,794.65,154.15,NA,995.67,957.67
10,794.81,156.58,NA,1003.67,969.67
11,794.96,159.01,NA,1011.33,961.33
12,795.12,161.44,NA,1002.33,950.67
13,795.27,163.87,NA,1015.00,967.33
14,795.42,166.30,NA,999.33,947.33
15,795.58,168.73,NA,1006.33,955.67
16,795.73,171.16,NA,999.33,948.00
17,795.88,173.58,NA,1003.33,954.67
18,796.04,176.01,NA,1013.67,964.00
19,796.19,178.44,NA,1026.67,970.33
20,796.35,180.86,NA,1017.00,966.33
21,796.50,183.29,NA,1015.67,956.33
22,796.65,185.71,NA,1045.00,985.00
23,796.81,188.14,NA,1031.67,973.67
24,796.96,190.56,NA,1029.33,968.00
25,797.11,192.98,NA,1040.00,971.67
26,797.27,195.41,NA,1050.00,982.33
27,797.42,197.83,NA,1052.67,983.00
28,797.58,200.25,NA,1048.00,971.67
29,797.73,202.67,NA,1034.00,967.33
30,797.88,205.09,NA,1034.00,954.33
31,798.04,207.51,NA,1042.67,956.33
32,798.19,209.93,NA,1033.00,960.00
33,798.35,212.35,NA,1043.00,958.67
34,798.50,214.77,NA,1046.67,961.33
35,798.66,217.18,NA,1064.67,977.33
36,798.81,219.60,NA,1061.33,954.33
37,798.96,222.02,NA,1108.33,974.00
38,799.12,224.43,NA,1143.33,962.33
39,799.27,226.85,NA,1267.00,965.33
40,799.43,229.27,NA,1557.67,981.00
41,799.58,231.68,NA,2161.67,966.00
42,799.74,234.09,NA,3220.00,973.33
43,799.89,236.51,NA,4498.33,1011.67
44,800.04,238.92,NA,5658.00,999.33
45,800.20,241.33,NA,6288.00,966.00
46,800.35,243.75,NA,6592.00,974.00
47,800.51,246.16,244.08,6685.67,965.33
