ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200657-363996-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,n-butyl acetate
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,808
Timestamp,2025-02-20 20:06:57.363996
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1101.50,1029.50
1,793.43,134.69,NA,1129.00,1060.50
2,793.58,137.12,NA,1129.00,1053.00
3,793.73,139.56,NA,1102.50,1033.50
4,793.89,141.99,NA,1123.00,1042.50
5,794.04,144.42,NA,1125.00,1049.00
6,794.19,146.86,NA,1127.50,1040.00
7,794.35,149.29,NA,1097.00,1016.00
8,794.50,151.72,NA,1142.50,1064.50
9,794.65,154.15,NA,1132.50,1046.50
10,794.81,156.58,NA,1145.00,1054.00
11,794.96,159.01,NA,1146.00,1063.50
12,795.12,161.44,NA,1117.00,1046.50
13,795.27,163.87,NA,1154.00,1074.00
14,795.42,166.30,NA,1119.50,1044.50
15,795.58,168.73,NA,1143.50,1056.00
16,795.73,171.16,NA,1130.00,1037.00
17,795.88,173.58,NA,1138.50,1052.00
18,796.04,176.01,NA,1160.50,1064.00
19,796.19,178.44,NA,1153.50,1080.50
20,796.35,180.86,NA,1155.00,1067.50
21,796.50,183.29,NA,1137.00,1055.00
22,796.65,185.71,NA,1205.00,1111.00
23,796.81,188.14,NA,1170.00,1078.50
24,796.96,190.56,NA,1140.50,1068.00
25,797.11,192.98,NA,1168.00,1081.50
26,797.27,195.41,NA,1193.50,1097.00
27,797.42,197.83,NA,1188.00,1090.00
