ENLIGHTEN Version,4.1.22
Measurement ID,20250220-203344-882014-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,polyethylene glycol
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2025-02-20 20:33:44.882014
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1340.00,1309.00
1,793.43,134.69,NA,1399.00,1336.00
2,793.58,137.12,NA,1437.00,1366.00
3,793.73,139.56,NA,1336.00,1311.00
4,793.89,141.99,NA,1376.00,1313.00
5,794.04,144.42,NA,1389.00,1340.00
6,794.19,146.86,NA,1404.00,1334.00
7,794.35,149.29,NA,1332.00,1287.00
8,794.50,151.72,NA,1448.00,1393.00
9,794.65,154.15,NA,1406.00,1336.00
10,794.81,156.58,NA,1425.00,1421.00
11,794.96,159.01,NA,1463.00,1382.00
12,795.12,161.44,NA,1353.00,1328.00
13,795.27,163.87,NA,1456.00,1406.00
14,795.42,166.30,NA,1378.00,1315.00
15,795.58,168.73,NA,1448.00,1349.00
16,795.73,171.16,NA,1391.00,1338.00
17,795.88,173.58,NA,1423.00,1355.00
18,796.04,176.01,NA,1488.00,1406.00
19,796.19,178.44,NA,1471.00,1418.00
20,796.35,180.86,NA,1446.00,1414.00
21,796.50,183.29,NA,1410.00,1359.00
22,796.65,185.71,NA,1560.00,1492.00
23,796.81,188.14,NA,1495.00,1444.00
24,796.96,190.56,NA,1450.00,1399.00
25,797.11,192.98,NA,1499.00,1467.00
26,797.27,195.41,NA,1535.00,1488.00
27,797.42,197.83,NA,1522.00,1452.00
28,797.58,200.25,NA,1518.00,1456.00
29,797.73,202.67,NA,1454.00,1406.00
30,797.88,205.09,NA,1433.00,1366.00
31,798.04,207.51,NA,1450.00,1387.00
32,798.19,209.93,NA,1442.00,1374.00
33,798.35,212.35,NA,1494.00,1391.00
34,798.50,214.77,NA,1478.00,1382.00
35,798.66,217.18,NA,1516.00,1440.00
36,798.81,219.60,NA,1471.00,1364.00
37,798.96,222.02,NA,1581.00,1444.00
38,799.12,224.43,NA,1564.00,1404.00
39,799.27,226.85,NA,1653.00,1406.00
40,799.43,229.27,NA,1934.00,1480.00
41,799.58,231.68,NA,2293.00,1416.00
42,799.74,234.09,NA,3067.00,1439.00
43,799.89,236.51,NA,4168.00,1619.00
44,800.04,238.92,NA,5013.00,1585.00
45,800.20,241.33,NA,5325.00,1427.00
46,800.35,243.75,NA,5549.00,1439.00
47,800.51,246.16,64.39,5486.00,1418.00
48,800.66,248.57,217.02,5617.00,1509.00
49,800.82,250.98,208.60,5647.00,1571.00
50,800.97,253.39,192.08,5609.00,1516.00
51,801.13,255.80,200.56,5626.00,1492.00
52,801.28,258.21,174.03,5670.00,1539.00
53,801.43,260.61,142.37,5558.00,1448.00
54,801.59,263.02,248.94,5835.00,1539.00
55,801.74,265.43,342.46,5824.00,1406.00
56,801.90,267.83,603.06,6251.00,1492.00
57,802.05,270.24,893.85,6589.00,1492.00
58,802.21,272.65,1254.83,7020.00,1528.00
59,802.36,275.05,1664.14,7400.00,1494.00
60,802.52,277.46,1964.30,7682.00,1513.00
61,802.67,279.86,2048.80,7751.00,1526.00
62,802.83,282.26,1868.49,7650.00,1573.00
63,802.98,284.66,1394.01,7157.00,1507.00
64,803.14,287.07,923.36,6771.00,1604.00
65,803.29,289.47,568.54,6223.00,1503.00
66,803.45,291.87,401.42,6035.00,1543.00
67,803.60,294.27,213.76,5657.00,1440.00
68,803.76,296.67,115.83,5655.00,1581.00
69,803.91,299.07,64.08,5355.00,1370.00
70,804.07,301.47,33.87,5404.00,1494.00
71,804.22,303.87,56.07,5389.00,1469.00
72,804.38,306.26,90.94,5410.00,1469.00
73,804.53,308.66,30.66,5372.00,1495.00
74,804.69,311.06,27.97,5353.00,1463.00
75,804.84,313.45,2.76,5254.00,1414.00
76,805.00,315.85,10.53,5344.00,1492.00
77,805.15,318.24,25.47,5416.00,1556.00
78,805.31,320.64,16.51,5355.00,1516.00
79,805.46,323.03,33.26,5321.00,1465.00
80,805.62,325.42,10.62,5364.00,1532.00
81,805.77,327.82,0.85,5235.00,1427.00
82,805.93,330.21,16.44,5364.00,1514.00
83,806.09,332.60,1.13,5332.00,1537.00
84,806.24,334.99,85.91,5327.00,1412.00
85,806.40,337.38,96.76,5294.00,1391.00
86,806.55,339.77,92.99,5393.00,1486.00
87,806.71,342.16,102.95,5372.00,1437.00
88,806.86,344.55,185.68,5575.00,1511.00
89,807.02,346.94,235.44,5632.00,1503.00
90,807.17,349.32,339.40,5748.00,1459.00
91,807.33,351.71,506.06,6071.00,1528.00
92,807.48,354.10,706.02,6281.00,1465.00
93,807.64,356.48,1023.32,6754.00,1551.00
94,807.80,358.87,1432.17,7202.00,1566.00
95,807.95,361.25,1752.74,7426.00,1516.00
96,808.11,363.63,1915.99,7551.00,1520.00
97,808.26,366.02,1761.74,7310.00,1423.00
98,808.42,368.40,1328.34,6957.00,1454.00
99,808.57,370.78,809.87,6448.00,1501.00
100,808.73,373.16,510.86,6027.00,1469.00
101,808.89,375.55,327.99,5795.00,1552.00
102,809.04,377.93,292.68,5554.00,1402.00
103,809.20,380.31,202.40,5427.00,1456.00
104,809.35,382.68,215.46,5389.00,1425.00
105,809.51,385.06,185.04,5456.00,1562.00
106,809.66,387.44,201.77,5387.00,1484.00
107,809.82,389.82,170.22,5311.00,1456.00
108,809.98,392.19,158.34,5262.00,1421.00
109,810.13,394.57,161.83,5359.00,1511.00
110,810.29,396.95,146.06,5309.00,1501.00
111,810.44,399.32,214.88,5338.00,1463.00
112,810.60,401.70,268.06,5359.00,1435.00
113,810.76,404.07,207.43,5317.00,1463.00
114,810.91,406.44,197.70,5298.00,1442.00
115,811.07,408.82,218.51,5327.00,1450.00
116,811.22,411.19,261.55,5399.00,1494.00
117,811.38,413.56,305.29,5412.00,1475.00
118,811.54,415.93,324.00,5467.00,1497.00
119,811.69,418.30,244.04,5338.00,1463.00
120,811.85,420.67,282.21,5366.00,1435.00
121,812.00,423.04,331.16,5503.00,1532.00
122,812.16,425.41,371.41,5440.00,1444.00
123,812.32,427.77,381.33,5516.00,1518.00
124,812.47,430.14,369.80,5476.00,1490.00
125,812.63,432.51,380.07,5516.00,1503.00
126,812.79,434.87,311.71,5363.00,1454.00
127,812.94,437.24,399.56,5488.00,1467.00
128,813.10,439.60,382.38,5357.00,1385.00
129,813.26,441.97,413.04,5492.00,1480.00
130,813.41,444.33,387.63,5427.00,1450.00
131,813.57,446.69,403.09,5488.00,1499.00
132,813.72,449.06,447.09,5427.00,1401.00
133,813.88,451.42,457.89,5412.00,1393.00
134,814.04,453.78,465.37,5492.00,1461.00
135,814.19,456.14,399.16,5298.00,1355.00
136,814.35,458.50,417.13,5351.00,1383.00
137,814.51,460.86,411.15,5456.00,1511.00
138,814.66,463.22,417.78,5321.00,1376.00
139,814.82,465.58,428.55,5495.00,1541.00
140,814.98,467.93,410.10,5334.00,1431.00
141,815.13,470.29,496.73,5401.00,1402.00
142,815.29,472.65,500.71,5435.00,1435.00
143,815.45,475.00,406.02,5380.00,1505.00
144,815.60,477.36,434.28,5372.00,1456.00
145,815.76,479.71,468.94,5399.00,1454.00
146,815.92,482.06,439.26,5266.00,1387.00
147,816.07,484.42,470.11,5262.00,1347.00
148,816.23,486.77,455.32,5401.00,1511.00
149,816.39,489.12,430.28,5277.00,1435.00
150,816.54,491.47,435.31,5380.00,1562.00
151,816.70,493.82,483.73,5391.00,1535.00
152,816.86,496.17,399.25,5137.00,1404.00
153,817.01,498.52,330.85,5133.00,1486.00
154,817.17,500.87,264.62,5008.00,1461.00
155,817.33,503.22,234.48,4956.00,1467.00
156,817.48,505.57,196.39,4844.00,1425.00
157,817.64,507.91,167.31,4863.00,1497.00
158,817.80,510.26,139.22,4696.00,1391.00
159,817.95,512.60,148.76,4692.00,1397.00
160,818.11,514.95,168.55,4763.00,1456.00
161,818.27,517.29,127.93,4700.00,1452.00
162,818.42,519.64,129.56,4761.00,1492.00
163,818.58,521.98,126.05,4787.00,1511.00
164,818.74,524.32,181.82,4820.00,1437.00
165,818.90,526.66,300.19,4913.00,1344.00
166,819.05,529.00,495.68,5317.00,1499.00
167,819.21,531.34,745.29,5463.00,1393.00
168,819.37,533.68,1068.29,5828.00,1435.00
169,819.52,536.02,1082.97,5871.00,1495.00
170,819.68,538.36,936.25,5714.00,1475.00
171,819.84,540.70,695.47,5357.00,1385.00
172,819.99,543.04,469.87,5188.00,1514.00
173,820.15,545.37,299.51,4892.00,1459.00
174,820.31,547.71,150.62,4658.00,1454.00
175,820.47,550.04,61.43,4510.00,1473.00
176,820.62,552.38,11.82,4288.00,1393.00
177,820.78,554.71,8.17,4330.00,1444.00
178,820.94,557.05,0.58,4261.00,1439.00
179,821.10,559.38,0.00,4214.00,1427.00
180,821.25,561.71,10.10,4167.00,1355.00
181,821.41,564.04,22.71,4193.00,1391.00
182,821.57,566.37,21.23,4168.00,1382.00
183,821.72,568.70,23.53,4218.00,1425.00
184,821.88,571.03,20.50,4199.00,1416.00
185,822.04,573.36,73.76,4425.00,1511.00
186,822.20,575.69,141.55,4436.00,1450.00
187,822.35,578.02,355.86,4757.00,1526.00
188,822.51,580.34,541.77,4774.00,1416.00
189,822.67,582.67,601.92,4751.00,1372.00
190,822.83,584.99,510.07,4753.00,1440.00
191,822.98,587.32,296.17,4592.00,1486.00
192,823.14,589.64,126.24,4301.00,1448.00
193,823.30,591.97,64.53,4083.00,1368.00
194,823.46,594.29,43.71,4085.00,1431.00
195,823.61,596.61,14.34,4039.00,1461.00
196,823.77,598.93,3.39,3965.00,1431.00
197,823.93,601.25,0.00,3903.00,1439.00
198,824.09,603.57,0.00,3836.00,1366.00
199,824.24,605.89,22.03,3880.00,1391.00
200,824.40,608.21,0.00,3850.00,1439.00
201,824.56,610.53,8.95,3870.00,1431.00
202,824.72,612.85,1.94,3876.00,1458.00
203,824.87,615.17,0.00,3753.00,1397.00
204,825.03,617.48,0.00,3779.00,1440.00
205,825.19,619.80,4.19,3888.00,1494.00
206,825.35,622.11,0.00,3800.00,1495.00
207,825.50,624.43,37.62,3861.00,1461.00
208,825.66,626.74,37.94,3857.00,1465.00
209,825.82,629.05,10.53,3700.00,1344.00
210,825.98,631.36,0.87,3726.00,1397.00
211,826.14,633.68,9.52,3734.00,1399.00
212,826.29,635.99,6.62,3764.00,1440.00
213,826.45,638.30,0.37,3749.00,1444.00
214,826.61,640.61,0.00,3707.00,1446.00
215,826.77,642.92,0.00,3662.00,1393.00
216,826.92,645.22,0.00,3656.00,1391.00
217,827.08,647.53,0.00,3677.00,1435.00
218,827.24,649.84,9.12,3648.00,1357.00
219,827.40,652.14,9.23,3677.00,1395.00
220,827.56,654.45,0.00,3703.00,1463.00
221,827.71,656.76,8.19,3671.00,1395.00
222,827.87,659.06,34.27,3745.00,1440.00
223,828.03,661.36,15.57,3709.00,1423.00
224,828.19,663.67,0.00,3682.00,1437.00
225,828.34,665.97,4.93,3603.00,1332.00
226,828.50,668.27,23.92,3884.00,1585.00
227,828.66,670.57,48.62,3739.00,1429.00
228,828.82,672.87,47.13,3785.00,1478.00
229,828.98,675.17,27.32,3622.00,1330.00
230,829.13,677.47,18.20,3701.00,1420.00
231,829.29,679.77,19.91,3707.00,1431.00
232,829.45,682.06,55.66,3774.00,1459.00
233,829.61,684.36,62.58,3728.00,1410.00
234,829.77,686.66,12.42,3903.00,1651.00
235,829.92,688.95,31.37,3648.00,1344.00
236,830.08,691.25,0.00,3673.00,1452.00
237,830.24,693.54,42.50,3738.00,1433.00
238,830.40,695.83,37.38,3690.00,1418.00
