ENLIGHTEN Version,4.1.22
Measurement ID,20250220-204159-163183-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,sodium hydrogen carbonate
Declared Match,
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,464
Timestamp,2025-02-20 20:41:59.163183
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,970.33,943.33
1,793.43,134.69,NA,970.33,952.00
2,793.58,137.12,NA,980.33,966.33
3,793.73,139.56,NA,962.67,956.67
4,793.89,141.99,NA,973.00,959.33
5,794.04,144.42,NA,968.00,953.33
6,794.19,146.86,NA,974.33,950.33
7,794.35,149.29,NA,957.33,943.67
8,794.50,151.72,NA,984.67,975.67
9,794.65,154.15,NA,975.33,954.33
10,794.81,156.58,NA,984.00,974.00
11,794.96,159.01,NA,979.67,974.67
12,795.12,161.44,NA,972.67,953.00
13,795.27,163.87,NA,991.00,973.67
14,795.42,166.30,NA,971.67,953.33
15,795.58,168.73,NA,981.67,962.00
16,795.73,171.16,NA,973.33,950.67
17,795.88,173.58,NA,981.00,966.00
18,796.04,176.01,NA,998.67,978.00
19,796.19,178.44,NA,1003.33,971.67
20,796.35,180.86,NA,986.00,978.33
21,796.50,183.29,NA,976.67,960.67
22,796.65,185.71,NA,1015.67,1001.33
23,796.81,188.14,NA,995.00,983.00
24,796.96,190.56,NA,986.67,971.00
25,797.11,192.98,NA,999.33,988.00
26,797.27,195.41,NA,1008.00,985.33
27,797.42,197.83,NA,1006.33,983.00
28,797.58,200.25,NA,1005.67,988.67
29,797.73,202.67,NA,992.00,969.67
30,797.88,205.09,NA,986.67,963.00
31,798.04,207.51,NA,988.67,969.33
32,798.19,209.93,NA,991.67,966.67
33,798.35,212.35,NA,999.33,970.00
34,798.50,214.77,NA,1000.00,971.33
35,798.66,217.18,NA,1010.33,982.33
36,798.81,219.60,NA,1006.33,971.00
37,798.96,222.02,NA,1041.33,987.67
38,799.12,224.43,NA,1057.00,971.67
39,799.27,226.85,NA,1122.67,970.00
40,799.43,229.27,NA,1277.33,990.67
41,799.58,231.68,NA,1551.67,971.00
42,799.74,234.09,NA,1990.67,982.00
43,799.89,236.51,NA,2488.33,1023.67
