ENLIGHTEN Version,4.1.22
Measurement ID,20250220-204524-005320-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,sodium sulfate
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,217
Timestamp,2025-02-20 20:45:24.005320
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,901.40,888.80
1,793.43,134.69,NA,906.20,895.20
2,793.58,137.12,NA,908.40,901.60
3,793.73,139.56,NA,901.60,893.80
4,793.89,141.99,NA,904.20,903.80
5,794.04,144.42,NA,905.40,896.00
6,794.19,146.86,NA,908.60,898.20
7,794.35,149.29,NA,901.60,886.80
8,794.50,151.72,NA,909.20,907.40
9,794.65,154.15,NA,908.80,896.20
10,794.81,156.58,NA,910.00,900.20
11,794.96,159.01,NA,909.80,901.80
12,795.12,161.44,NA,901.60,892.00
13,795.27,163.87,NA,912.60,905.40
14,795.42,166.30,NA,903.80,893.00
15,795.58,168.73,NA,912.00,899.80
16,795.73,171.16,NA,901.20,895.00
17,795.88,173.58,NA,913.00,900.00
18,796.04,176.01,NA,908.20,902.40
19,796.19,178.44,NA,916.60,901.20
20,796.35,180.86,NA,914.80,904.20
21,796.50,183.29,NA,907.80,899.80
22,796.65,185.71,NA,923.60,909.40
23,796.81,188.14,NA,916.60,904.60
24,796.96,190.56,NA,914.00,898.80
25,797.11,192.98,NA,918.20,905.80
26,797.27,195.41,NA,926.40,912.60
27,797.42,197.83,NA,921.20,905.80
28,797.58,200.25,NA,919.40,909.20
29,797.73,202.67,NA,916.40,900.40
30,797.88,205.09,NA,914.20,899.20
31,798.04,207.51,NA,911.40,902.60
32,798.19,209.93,NA,914.40,899.80
33,798.35,212.35,NA,918.20,902.20
34,798.50,214.77,NA,918.40,898.20
35,798.66,217.18,NA,920.60,906.60
36,798.81,219.60,NA,917.00,900.60
37,798.96,222.02,NA,931.40,905.40
38,799.12,224.43,NA,928.60,907.00
39,799.27,226.85,NA,938.60,906.20
40,799.43,229.27,NA,959.60,912.60
41,799.58,231.68,NA,997.20,900.40
42,799.74,234.09,NA,1085.00,908.20
43,799.89,236.51,NA,1190.40,925.60
44,800.04,238.92,NA,1277.00,918.80
45,800.20,241.33,NA,1319.20,903.60
46,800.35,243.75,NA,1366.40,903.80
47,800.51,246.16,6.56,1385.00,900.20
48,800.66,248.57,5.63,1390.00,913.00
49,800.82,250.98,12.68,1399.80,916.80
50,800.97,253.39,5.97,1397.20,911.60
51,801.13,255.80,0.00,1382.80,909.00
52,801.28,258.21,0.00,1387.00,918.80
53,801.43,260.61,0.00,1378.80,905.80
54,801.59,263.02,0.00,1374.20,914.60
55,801.74,265.43,0.00,1371.00,899.80
56,801.90,267.83,0.00,1385.00,911.20
57,802.05,270.24,0.12,1386.40,903.60
58,802.21,272.65,7.69,1402.60,909.40
59,802.36,275.05,1.96,1396.80,906.60
60,802.52,277.46,0.00,1399.60,913.40
61,802.67,279.86,0.04,1406.40,914.20
62,802.83,282.26,0.00,1405.20,915.80
63,802.98,284.66,6.89,1412.80,907.00
64,803.14,287.07,0.04,1415.00,915.00
65,803.29,289.47,0.00,1403.00,911.00
66,803.45,291.87,0.00,1419.40,914.40
67,803.60,294.27,0.00,1409.80,905.80
68,803.76,296.67,1.83,1434.40,916.00
69,803.91,299.07,13.10,1423.00,893.40
70,804.07,301.47,0.00,1423.80,911.20
71,804.22,303.87,6.17,1437.80,906.40
72,804.38,306.26,1.88,1441.40,907.80
73,804.53,308.66,0.01,1448.60,916.00
74,804.69,311.06,0.00,1447.00,911.80
75,804.84,313.45,0.00,1442.00,901.60
76,805.00,315.85,12.96,1471.40,908.20
77,805.15,318.24,8.56,1472.60,914.20
78,805.31,320.64,0.45,1463.60,909.60
79,805.46,323.03,4.57,1474.60,908.40
80,805.62,325.42,3.62,1483.20,916.40
81,805.77,327.82,10.13,1479.40,901.20
82,805.93,330.21,5.17,1489.40,912.60
83,806.09,332.60,2.78,1490.20,912.40
84,806.24,334.99,11.00,1491.60,900.00
85,806.40,337.38,3.29,1487.80,899.80
86,806.55,339.77,0.00,1492.40,906.20
87,806.71,342.16,0.88,1497.40,902.00
88,806.86,344.55,0.00,1503.60,914.00
89,807.02,346.94,0.01,1511.00,910.60
90,807.17,349.32,5.10,1517.00,904.20
91,807.33,351.71,11.81,1531.40,908.20
92,807.48,354.10,0.21,1526.60,911.80
93,807.64,356.48,0.00,1529.60,912.20
94,807.80,358.87,0.63,1546.00,919.20
95,807.95,361.25,0.21,1537.60,908.40
96,808.11,363.63,0.00,1542.00,909.80
97,808.26,366.02,10.39,1553.20,902.40
98,808.42,368.40,3.65,1554.60,907.40
