ENLIGHTEN Version,4.1.22
Measurement ID,20250220-195655-717989-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,tert-butyl methyl ether
Declared Match,
Declared Score,0
Scan Averaging,7
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,165
Timestamp,2025-02-20 19:56:55.717989
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,890.43,880.57
1,793.43,134.69,NA,894.00,880.14
2,793.58,137.12,NA,895.71,886.00
3,793.73,139.56,NA,901.00,879.57
4,793.89,141.99,NA,896.86,881.86
5,794.04,144.42,NA,899.86,882.86
6,794.19,146.86,NA,899.00,881.29
7,794.35,149.29,NA,890.71,879.00
8,794.50,151.72,NA,902.43,888.14
9,794.65,154.15,NA,899.43,882.29
10,794.81,156.58,NA,905.00,889.14
11,794.96,159.01,NA,905.86,889.86
12,795.12,161.44,NA,894.86,880.00
13,795.27,163.87,NA,909.43,890.86
14,795.42,166.30,NA,901.71,881.14
15,795.58,168.73,NA,899.29,885.14
16,795.73,171.16,NA,898.43,880.29
17,795.88,173.58,NA,902.00,883.86
18,796.04,176.01,NA,906.43,886.29
19,796.19,178.44,NA,908.14,892.43
20,796.35,180.86,NA,904.57,886.86
21,796.50,183.29,NA,900.43,885.43
22,796.65,185.71,NA,914.57,896.00
23,796.81,188.14,NA,910.57,888.86
24,796.96,190.56,NA,908.71,888.00
25,797.11,192.98,NA,915.43,890.57
26,797.27,195.41,NA,912.57,896.43
27,797.42,197.83,NA,910.57,891.00
28,797.58,200.25,NA,912.43,896.86
29,797.73,202.67,NA,909.71,889.43
30,797.88,205.09,NA,909.43,884.71
31,798.04,207.51,NA,908.86,887.14
32,798.19,209.93,NA,909.86,885.71
33,798.35,212.35,NA,912.00,889.00
34,798.50,214.77,NA,910.43,886.00
35,798.66,217.18,NA,917.29,890.57
36,798.81,219.60,NA,913.43,888.00
37,798.96,222.02,NA,925.14,894.00
38,799.12,224.43,NA,923.86,885.71
39,799.27,226.85,NA,946.29,889.14
40,799.43,229.27,NA,983.00,897.00
41,799.58,231.68,NA,1060.29,886.86
42,799.74,234.09,NA,1190.71,889.86
43,799.89,236.51,NA,1369.29,903.29
44,800.04,238.92,NA,1529.14,899.00
45,800.20,241.33,NA,1623.29,885.71
46,800.35,243.75,NA,1700.86,886.29
47,800.51,246.16,13.65,1759.14,892.43
48,800.66,248.57,79.98,1809.29,893.14
49,800.82,250.98,167.11,1875.43,901.00
50,800.97,253.39,205.26,1920.86,898.71
51,801.13,255.80,240.73,1975.86,893.57
52,801.28,258.21,298.16,2056.57,895.57
53,801.43,260.61,345.35,2109.57,888.86
54,801.59,263.02,400.77,2191.71,897.86
55,801.74,265.43,462.94,2264.14,885.43
56,801.90,267.83,522.76,2353.71,895.57
57,802.05,270.24,618.68,2470.86,893.71
58,802.21,272.65,713.81,2583.86,895.71
59,802.36,275.05,823.31,2712.00,891.00
60,802.52,277.46,887.58,2797.71,896.43
61,802.67,279.86,973.26,2903.14,898.43
62,802.83,282.26,1045.75,2985.29,902.43
63,802.98,284.66,1084.23,3015.86,894.86
64,803.14,287.07,1069.64,3004.14,900.86
65,803.29,289.47,1020.99,2945.29,895.00
66,803.45,291.87,940.62,2857.57,898.14
67,803.60,294.27,840.52,2728.14,886.29
68,803.76,296.67,733.54,2612.43,902.00
69,803.91,299.07,640.03,2473.86,882.14
70,804.07,301.47,538.76,2353.14,893.43
71,804.22,303.87,463.68,2253.43,890.00
72,804.38,306.26,384.86,2154.00,893.71
73,804.53,308.66,328.44,2074.71,893.86
74,804.69,311.06,299.78,2030.00,895.29
75,804.84,313.45,283.49,1997.14,888.86
76,805.00,315.85,247.81,1949.71,893.29
77,805.15,318.24,252.90,1956.29,898.00
78,805.31,320.64,264.43,1966.14,895.43
79,805.46,323.03,251.89,1948.00,890.86
80,805.62,325.42,272.12,1990.86,898.43
81,805.77,327.82,304.84,2031.86,888.29
82,805.93,330.21,361.62,2125.29,895.29
83,806.09,332.60,440.79,2247.43,896.86
84,806.24,334.99,563.57,2416.00,885.14
85,806.40,337.38,739.71,2655.57,883.00
86,806.55,339.77,968.13,2948.71,892.14
87,806.71,342.16,1255.94,3269.00,890.29
88,806.86,344.55,1541.36,3567.57,898.14
89,807.02,346.94,1717.28,3745.14,897.43
90,807.17,349.32,1689.05,3733.14,891.57
91,807.33,351.71,1516.64,3603.86,898.14
92,807.48,354.10,1298.99,3403.57,894.43
93,807.64,356.48,1126.92,3233.00,895.29
94,807.80,358.87,1042.51,3147.71,899.43
95,807.95,361.25,1058.44,3161.00,892.14
96,808.11,363.63,1167.84,3286.86,896.29
97,808.26,366.02,1356.88,3477.86,892.00
98,808.42,368.40,1596.63,3708.43,891.71
99,808.57,370.78,1783.51,3870.57,892.86
100,808.73,373.16,1813.02,3877.00,891.43
101,808.89,375.55,1663.18,3728.71,898.29
102,809.04,377.93,1383.92,3432.57,892.14
103,809.20,380.31,1074.93,3082.57,892.14
104,809.35,382.68,818.16,2753.86,890.57
105,809.51,385.06,633.69,2494.57,897.14
106,809.66,387.44,506.99,2291.57,894.00
107,809.82,389.82,416.37,2135.57,886.29
108,809.98,392.19,342.42,2019.29,891.57
109,810.13,394.57,306.81,1959.57,892.71
110,810.29,396.95,274.21,1909.57,895.29
111,810.44,399.32,258.54,1882.43,891.57
112,810.60,401.70,262.85,1890.14,891.43
113,810.76,404.07,278.59,1911.71,891.57
114,810.91,406.44,326.58,1972.57,892.29
115,811.07,408.82,397.04,2046.00,889.71
116,811.22,411.19,475.39,2120.14,891.29
117,811.38,413.56,542.08,2180.29,891.29
118,811.54,415.93,529.83,2164.57,896.00
119,811.69,418.30,464.37,2091.86,891.43
120,811.85,420.67,381.83,2001.29,886.43
121,812.00,423.04,288.02,1896.71,895.86
122,812.16,425.41,224.97,1804.86,892.43
123,812.32,427.77,193.09,1753.71,896.14
124,812.47,430.14,177.52,1717.57,893.57
125,812.63,432.51,169.87,1696.86,892.57
126,812.79,434.87,168.00,1681.14,887.71
127,812.94,437.24,187.79,1707.29,892.29
128,813.10,439.60,204.26,1719.29,883.29
129,813.26,441.97,216.68,1747.43,888.86
130,813.41,444.33,238.29,1789.57,894.14
131,813.57,446.69,292.40,1866.43,891.29
132,813.72,449.06,352.85,1943.43,887.71
133,813.88,451.42,433.07,2044.29,883.29
134,814.04,453.78,509.42,2142.71,890.57
135,814.19,456.14,603.64,2242.57,882.43
136,814.35,458.50,662.99,2309.14,888.00
137,814.51,460.86,665.72,2314.71,893.43
138,814.66,463.22,621.13,2258.57,886.29
139,814.82,465.58,546.59,2182.29,896.43
140,814.98,467.93,464.46,2072.57,888.57
141,815.13,470.29,386.40,1963.00,885.00
142,815.29,472.65,329.77,1878.14,884.86
143,815.45,475.00,291.67,1823.00,893.43
144,815.60,477.36,272.22,1783.29,889.71
145,815.76,479.71,256.70,1747.00,882.43
146,815.92,482.06,256.62,1742.71,883.29
147,816.07,484.42,277.24,1765.43,879.29
148,816.23,486.77,296.75,1806.71,894.00
149,816.39,489.12,339.17,1869.71,888.00
150,816.54,491.47,389.84,1975.43,898.57
151,816.70,493.82,457.70,2119.43,900.71
152,816.86,496.17,565.24,2322.43,883.00
153,817.01,498.52,766.66,2700.43,892.57
154,817.17,500.87,1094.37,3212.57,893.00
155,817.33,503.22,1620.87,3899.14,891.86
156,817.48,505.57,2306.76,4645.29,887.71
157,817.64,507.91,2882.90,5195.43,895.43
158,817.80,510.26,3031.70,5326.29,886.29
159,817.95,512.60,2593.13,4910.43,883.71
160,818.11,514.95,1936.82,4248.43,888.00
161,818.27,517.29,1308.62,3482.29,892.43
162,818.42,519.64,888.41,2871.29,895.14
163,818.58,521.98,615.90,2398.43,892.14
164,818.74,524.32,442.83,2066.00,890.57
165,818.90,526.66,338.45,1847.00,879.86
166,819.05,529.00,248.52,1688.14,896.71
167,819.21,531.34,205.21,1586.71,885.14
168,819.37,533.68,161.73,1502.14,886.29
169,819.52,536.02,135.40,1452.71,887.71
170,819.68,538.36,103.83,1402.29,891.14
171,819.84,540.70,79.79,1353.86,884.00
172,819.99,543.04,59.40,1323.71,893.00
173,820.15,545.37,52.75,1304.71,891.71
174,820.31,547.71,41.66,1279.71,889.71
175,820.47,550.04,29.69,1259.86,892.86
176,820.62,552.38,24.19,1238.00,884.29
177,820.78,554.71,19.66,1225.57,885.71
178,820.94,557.05,19.32,1220.43,889.43
179,821.10,559.38,17.82,1208.71,888.29
180,821.25,561.71,13.89,1192.14,879.71
181,821.41,564.04,5.08,1187.71,883.71
182,821.57,566.37,0.10,1171.71,887.14
183,821.72,568.70,0.00,1162.57,889.00
184,821.88,571.03,0.00,1157.43,887.14
185,822.04,573.36,0.00,1161.57,895.00
186,822.20,575.69,0.00,1149.14,889.86
187,822.35,578.02,0.00,1150.71,893.71
188,822.51,580.34,0.00,1133.14,885.29
189,822.67,582.67,0.00,1125.29,884.00
