ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200823-789974-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,tetrahydrofuran
Declared Match,
Declared Score,0
Scan Averaging,6
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,168
Timestamp,2025-02-20 20:08:23.789974
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,888.33,879.17
1,793.43,134.69,NA,888.83,883.50
2,793.58,137.12,NA,892.33,885.33
3,793.73,139.56,NA,894.00,882.00
4,793.89,141.99,NA,890.33,883.83
5,794.04,144.42,NA,889.33,883.33
6,794.19,146.86,NA,890.00,883.83
7,794.35,149.29,NA,885.67,878.67
8,794.50,151.72,NA,896.50,890.00
9,794.65,154.15,NA,890.83,881.17
10,794.81,156.58,NA,895.67,887.83
11,794.96,159.01,NA,895.67,888.67
12,795.12,161.44,NA,890.67,881.83
13,795.27,163.87,NA,897.00,888.00
14,795.42,166.30,NA,886.33,882.67
15,795.58,168.73,NA,895.00,887.17
16,795.73,171.16,NA,890.17,880.33
17,795.88,173.58,NA,893.17,885.33
18,796.04,176.01,NA,899.17,891.17
19,796.19,178.44,NA,898.83,891.17
20,796.35,180.86,NA,897.83,889.83
21,796.50,183.29,NA,893.33,883.33
22,796.65,185.71,NA,909.17,896.33
23,796.81,188.14,NA,899.33,891.50
24,796.96,190.56,NA,898.00,892.50
25,797.11,192.98,NA,903.00,890.17
26,797.27,195.41,NA,907.33,894.83
27,797.42,197.83,NA,903.00,898.00
28,797.58,200.25,NA,904.17,891.67
29,797.73,202.67,NA,900.67,889.33
30,797.88,205.09,NA,894.50,889.17
31,798.04,207.51,NA,901.67,888.67
32,798.19,209.93,NA,900.83,889.33
33,798.35,212.35,NA,901.17,887.00
34,798.50,214.77,NA,896.83,888.83
35,798.66,217.18,NA,904.67,891.33
36,798.81,219.60,NA,902.33,885.17
37,798.96,222.02,NA,912.67,894.00
38,799.12,224.43,NA,911.33,889.33
39,799.27,226.85,NA,928.83,890.67
40,799.43,229.27,NA,965.67,894.50
41,799.58,231.68,NA,1017.00,883.17
42,799.74,234.09,NA,1130.00,892.00
43,799.89,236.51,NA,1279.33,905.67
44,800.04,238.92,NA,1398.83,899.17
45,800.20,241.33,NA,1486.00,888.33
46,800.35,243.75,NA,1530.50,886.00
47,800.51,246.16,26.27,1557.67,887.67
48,800.66,248.57,93.96,1579.00,891.67
49,800.82,250.98,134.68,1606.67,901.83
50,800.97,253.39,154.28,1636.67,896.83
51,801.13,255.80,149.09,1641.67,894.00
52,801.28,258.21,167.59,1679.17,904.67
53,801.43,260.61,184.34,1679.00,887.00
54,801.59,263.02,210.87,1714.50,893.17
55,801.74,265.43,231.12,1733.33,888.33
56,801.90,267.83,249.85,1764.50,898.17
57,802.05,270.24,287.16,1798.17,890.00
58,802.21,272.65,322.10,1839.50,892.50
59,802.36,275.05,335.85,1856.67,894.33
60,802.52,277.46,367.76,1896.33,894.67
61,802.67,279.86,389.38,1916.33,890.83
62,802.83,282.26,406.10,1940.67,899.33
63,802.98,284.66,428.52,1958.67,894.67
64,803.14,287.07,431.31,1961.17,898.50
65,803.29,289.47,424.48,1944.33,894.00
66,803.45,291.87,414.65,1935.67,899.50
67,803.60,294.27,388.74,1890.67,886.00
68,803.76,296.67,346.36,1850.00,899.33
69,803.91,299.07,327.30,1804.33,880.67
70,804.07,301.47,297.96,1776.50,893.83
71,804.22,303.87,259.19,1720.00,890.83
72,804.38,306.26,242.72,1694.67,891.67
73,804.53,308.66,215.06,1656.17,896.83
74,804.69,311.06,197.78,1625.17,894.33
75,804.84,313.45,172.87,1583.17,887.00
76,805.00,315.85,145.25,1552.83,893.00
77,805.15,318.24,123.73,1527.50,899.17
78,805.31,320.64,114.23,1502.00,893.50
79,805.46,323.03,111.47,1482.00,885.67
80,805.62,325.42,99.54,1473.00,899.17
81,805.77,327.82,95.41,1449.17,884.50
82,805.93,330.21,78.75,1436.50,897.33
83,806.09,332.60,75.78,1428.67,896.83
84,806.24,334.99,64.64,1401.17,889.00
85,806.40,337.38,62.55,1387.33,883.00
86,806.55,339.77,55.10,1383.50,895.17
87,806.71,342.16,56.84,1372.17,886.67
88,806.86,344.55,45.42,1362.67,897.33
89,807.02,346.94,44.28,1351.83,892.67
90,807.17,349.32,38.45,1334.33,888.33
91,807.33,351.71,29.51,1327.17,898.67
92,807.48,354.10,27.93,1317.17,894.17
93,807.64,356.48,16.15,1299.17,894.67
94,807.80,358.87,9.12,1289.83,900.83
95,807.95,361.25,4.08,1269.83,894.00
96,808.11,363.63,6.40,1274.67,894.00
97,808.26,366.02,0.00,1246.83,891.33
98,808.42,368.40,0.00,1234.00,891.17
99,808.57,370.78,0.00,1238.00,893.67
100,808.73,373.16,0.00,1236.50,888.33
101,808.89,375.55,0.00,1235.67,900.67
102,809.04,377.93,0.00,1223.50,886.00
103,809.20,380.31,0.00,1215.33,889.50
104,809.35,382.68,0.00,1221.67,889.67
105,809.51,385.06,0.00,1226.17,894.83
106,809.66,387.44,0.00,1214.17,896.33
107,809.82,389.82,0.00,1220.17,890.33
108,809.98,392.19,0.00,1211.33,884.33
109,810.13,394.57,0.00,1222.83,899.33
110,810.29,396.95,0.00,1220.17,897.67
111,810.44,399.32,3.18,1236.00,889.67
112,810.60,401.70,16.59,1247.67,887.67
113,810.76,404.07,25.23,1258.00,893.67
114,810.91,406.44,48.03,1288.33,892.67
115,811.07,408.82,83.87,1325.00,887.83
