ENLIGHTEN Version,4.1.22
Measurement ID,20250220-200904-961908-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,thiamine HCl
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,712
Timestamp,2025-02-20 20:09:04.961908
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1090.00,1002.00
1,793.43,134.69,NA,1103.00,1021.00
2,793.58,137.12,NA,1118.50,1026.50
3,793.73,139.56,NA,1098.50,1006.50
4,793.89,141.99,NA,1098.50,1020.50
5,794.04,144.42,NA,1104.50,1019.00
6,794.19,146.86,NA,1113.50,1020.00
7,794.35,149.29,NA,1091.00,996.00
8,794.50,151.72,NA,1130.00,1042.00
9,794.65,154.15,NA,1117.50,1022.00
10,794.81,156.58,NA,1137.00,1039.00
11,794.96,159.01,NA,1126.00,1041.00
12,795.12,161.44,NA,1097.50,1013.50
13,795.27,163.87,NA,1146.00,1049.50
14,795.42,166.30,NA,1117.50,1011.50
15,795.58,168.73,NA,1133.50,1033.00
16,795.73,171.16,NA,1114.50,1021.00
17,795.88,173.58,NA,1129.00,1020.00
18,796.04,176.01,NA,1154.00,1051.50
19,796.19,178.44,NA,1145.00,1042.50
20,796.35,180.86,NA,1152.50,1030.00
21,796.50,183.29,NA,1150.00,1027.50
22,796.65,185.71,NA,1183.00,1082.50
23,796.81,188.14,NA,1164.00,1058.00
24,796.96,190.56,NA,1167.00,1039.00
25,797.11,192.98,NA,1173.50,1063.00
26,797.27,195.41,NA,1186.00,1069.00
27,797.42,197.83,NA,1186.50,1057.00
28,797.58,200.25,NA,1187.00,1045.50
29,797.73,202.67,NA,1181.00,1036.00
30,797.88,205.09,NA,1174.00,1026.50
31,798.04,207.51,NA,1192.50,1024.50
32,798.19,209.93,NA,1189.00,1033.00
33,798.35,212.35,NA,1202.50,1041.00
34,798.50,214.77,NA,1187.00,1030.50
35,798.66,217.18,NA,1225.50,1056.00
36,798.81,219.60,NA,1212.50,1026.50
37,798.96,222.02,NA,1282.00,1065.50
38,799.12,224.43,NA,1347.50,1041.50
39,799.27,226.85,NA,1502.50,1050.50
40,799.43,229.27,NA,1896.00,1080.00
41,799.58,231.68,NA,2617.50,1048.00
42,799.74,234.09,NA,3891.50,1048.50
43,799.89,236.51,NA,5521.00,1120.50
44,800.04,238.92,NA,6984.50,1091.00
45,800.20,241.33,NA,8119.50,1037.00
46,800.35,243.75,NA,9220.00,1059.00
47,800.51,246.16,520.36,10040.50,1050.00
48,800.66,248.57,2369.38,10635.50,1073.00
49,800.82,250.98,3549.76,10867.00,1088.50
50,800.97,253.39,2608.23,10298.50,1073.00
51,801.13,255.80,1373.83,9517.50,1073.00
52,801.28,258.21,429.14,8661.00,1084.50
53,801.43,260.61,55.26,7959.50,1044.50
54,801.59,263.02,0.48,7430.00,1077.00
55,801.74,265.43,0.00,7015.00,1032.50
56,801.90,267.83,0.00,6832.50,1072.50
57,802.05,270.24,0.00,6774.00,1064.50
58,802.21,272.65,0.00,6790.50,1080.50
59,802.36,275.05,0.00,6837.00,1059.00
60,802.52,277.46,0.24,7083.50,1063.50
61,802.67,279.86,42.38,7433.50,1077.00
62,802.83,282.26,393.82,7934.00,1094.00
63,802.98,284.66,1041.97,8344.00,1080.50
64,803.14,287.07,1584.59,8761.00,1098.50
65,803.29,289.47,1778.70,8949.50,1059.50
66,803.45,291.87,1596.52,8915.50,1097.00
67,803.60,294.27,1281.26,8643.00,1044.50
68,803.76,296.67,968.84,8374.50,1087.00
69,803.91,299.07,850.78,8170.00,1036.00
70,804.07,301.47,823.71,8098.50,1068.50
71,804.22,303.87,889.70,8092.00,1063.00
72,804.38,306.26,916.23,8064.00,1056.00
73,804.53,308.66,856.73,8007.00,1072.50
74,804.69,311.06,749.52,7878.00,1061.50
75,804.84,313.45,739.50,7861.00,1044.50
76,805.00,315.85,703.21,7822.00,1052.00
77,805.15,318.24,725.01,7877.00,1077.00
78,805.31,320.64,776.48,7917.00,1069.00
79,805.46,323.03,944.86,8078.00,1050.50
80,805.62,325.42,1129.80,8315.50,1079.50
81,805.77,327.82,1264.30,8520.00,1048.00
82,805.93,330.21,1332.37,8822.50,1079.00
83,806.09,332.60,1523.42,9337.50,1083.50
84,806.24,334.99,2104.83,10348.50,1051.00
85,806.40,337.38,3352.57,12079.50,1029.50
86,806.55,339.77,5376.55,14392.50,1073.50
87,806.71,342.16,7945.86,16799.50,1045.50
88,806.86,344.55,9774.07,18340.50,1078.00
89,807.02,346.94,9954.54,18495.00,1069.00
90,807.17,349.32,8328.99,17119.50,1057.00
91,807.33,351.71,5919.65,14867.50,1083.00
92,807.48,354.10,3742.41,12391.50,1056.00
93,807.64,356.48,2242.31,10379.00,1071.00
94,807.80,358.87,1328.97,8948.50,1083.50
95,807.95,361.25,759.16,7924.50,1062.50
96,808.11,363.63,382.20,7254.50,1069.00
97,808.26,366.02,153.58,6856.00,1043.50
98,808.42,368.40,38.25,6654.50,1043.50
99,808.57,370.78,0.27,6443.50,1073.50
