ENLIGHTEN Version,4.1.22
Measurement ID,20250220-201055-517587-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,vinyl acetate
Declared Match,
Declared Score,0
Scan Averaging,6
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,193
Timestamp,2025-02-20 20:10:55.517587
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,905.67,883.17
1,793.43,134.69,NA,909.17,894.33
2,793.58,137.12,NA,915.00,894.00
3,793.73,139.56,NA,910.83,887.67
4,793.89,141.99,NA,909.17,891.00
5,794.04,144.42,NA,909.50,888.33
6,794.19,146.86,NA,910.50,889.00
7,794.35,149.29,NA,903.17,887.67
8,794.50,151.72,NA,918.67,896.17
9,794.65,154.15,NA,913.83,890.83
10,794.81,156.58,NA,918.17,895.00
11,794.96,159.01,NA,918.17,896.50
12,795.12,161.44,NA,910.50,894.00
13,795.27,163.87,NA,922.00,898.00
14,795.42,166.30,NA,915.00,891.33
15,795.58,168.73,NA,916.83,895.17
16,795.73,171.16,NA,917.17,890.33
17,795.88,173.58,NA,920.17,893.00
18,796.04,176.01,NA,927.33,894.17
19,796.19,178.44,NA,923.17,895.67
20,796.35,180.86,NA,924.00,896.50
21,796.50,183.29,NA,922.17,889.33
22,796.65,185.71,NA,933.83,903.50
23,796.81,188.14,NA,933.83,899.33
24,796.96,190.56,NA,927.67,896.00
25,797.11,192.98,NA,938.67,896.67
26,797.27,195.41,NA,937.17,903.33
27,797.42,197.83,NA,935.67,897.33
28,797.58,200.25,NA,939.33,901.17
29,797.73,202.67,NA,934.67,895.00
30,797.88,205.09,NA,932.83,894.00
31,798.04,207.51,NA,940.33,896.33
32,798.19,209.93,NA,938.50,896.33
33,798.35,212.35,NA,945.67,894.00
34,798.50,214.77,NA,942.50,891.50
35,798.66,217.18,NA,952.50,900.17
36,798.81,219.60,NA,958.33,895.17
37,798.96,222.02,NA,984.00,902.00
38,799.12,224.43,NA,1028.67,899.00
39,799.27,226.85,NA,1145.17,896.33
40,799.43,229.27,NA,1404.50,902.50
41,799.58,231.68,NA,1924.67,897.50
42,799.74,234.09,NA,2826.33,905.17
43,799.89,236.51,NA,3940.67,917.00
44,800.04,238.92,NA,4845.33,917.67
45,800.20,241.33,NA,5329.33,894.00
46,800.35,243.75,NA,5465.00,898.00
47,800.51,246.16,655.47,5344.33,894.17
48,800.66,248.57,1514.94,5159.33,908.00
49,800.82,250.98,1329.06,4909.17,909.33
50,800.97,253.39,909.37,4693.17,908.17
51,801.13,255.80,647.19,4419.50,907.00
52,801.28,258.21,548.29,4211.00,909.00
53,801.43,260.61,460.43,3976.33,895.83
54,801.59,263.02,371.03,3784.33,908.50
55,801.74,265.43,270.93,3564.17,894.00
56,801.90,267.83,185.45,3390.17,899.67
57,802.05,270.24,98.23,3228.33,903.83
58,802.21,272.65,30.26,3087.83,902.00
59,802.36,275.05,2.21,2952.17,901.00
60,802.52,277.46,0.00,2836.17,905.67
61,802.67,279.86,0.00,2722.17,907.67
62,802.83,282.26,0.00,2655.50,911.17
63,802.98,284.66,0.00,2565.50,899.33
64,803.14,287.07,0.00,2494.83,911.83
65,803.29,289.47,0.00,2403.33,901.17
66,803.45,291.87,0.00,2364.50,909.33
67,803.60,294.27,0.00,2293.17,898.83
68,803.76,296.67,0.00,2264.33,908.17
69,803.91,299.07,0.00,2184.33,890.00
70,804.07,301.47,0.00,2147.33,901.50
71,804.22,303.87,0.00,2132.17,900.67
72,804.38,306.26,0.00,2083.83,903.33
73,804.53,308.66,0.00,2059.83,905.67
74,804.69,311.06,0.00,2032.33,900.17
75,804.84,313.45,0.00,1998.83,894.17
76,805.00,315.85,0.00,1972.17,903.33
77,805.15,318.24,0.00,1964.00,907.33
78,805.31,320.64,0.00,1944.00,903.00
79,805.46,323.03,0.00,1916.50,898.33
80,805.62,325.42,0.00,1894.17,903.67
81,805.77,327.82,0.00,1869.00,894.67
82,805.93,330.21,0.00,1850.83,905.50
83,806.09,332.60,0.00,1840.83,907.17
84,806.24,334.99,0.00,1819.67,893.67
85,806.40,337.38,0.00,1799.17,887.00
86,806.55,339.77,0.00,1794.00,903.83
87,806.71,342.16,0.00,1774.67,897.00
88,806.86,344.55,0.00,1772.83,904.83
89,807.02,346.94,0.00,1774.67,910.50
90,807.17,349.32,0.00,1771.33,902.00
91,807.33,351.71,0.00,1763.17,904.33
92,807.48,354.10,5.02,1786.33,896.83
93,807.64,356.48,0.00,1772.83,903.50
94,807.80,358.87,10.70,1795.00,908.67
95,807.95,361.25,16.16,1792.50,902.17
96,808.11,363.63,27.28,1802.67,901.83
97,808.26,366.02,42.44,1815.17,898.00
